#timestamp,interval,socket,domain,energy,power
0.005074,0.005182,N0,package,0.4946,95.4508
0.005085,0.005192,N0,ram,0.0173,3.3239
0.005101,0.005115,N1,package,0.4237,82.8355
0.005112,0.005112,N1,ram,0.0283,5.5371
0.010183,0.005109,N0,package,0.5237,102.5051
0.010192,0.005107,N0,ram,0.0203,3.9798
0.010322,0.005221,N1,package,0.4915,94.1324
0.010333,0.005221,N1,ram,0.0318,6.0964
0.015404,0.005221,N0,package,0.6028,115.4624
0.015413,0.005221,N0,ram,0.0220,4.2201
0.015546,0.005224,N1,package,0.4283,81.9957
0.015713,0.005380,N1,ram,0.0272,5.0485
0.020792,0.005388,N0,package,0.5137,95.3472
0.020800,0.005387,N0,ram,0.0193,3.5748
0.020816,0.005270,N1,package,0.4274,81.1060
0.020827,0.005114,N1,ram,0.0264,5.1648
0.025899,0.005107,N0,package,0.6116,119.7535
0.025907,0.005107,N0,ram,0.0223,4.3740
0.025920,0.005104,N1,package,0.4005,78.4694
0.025928,0.005101,N1,ram,0.0259,5.0733
0.030999,0.005100,N0,package,0.5157,101.1147
0.031007,0.005100,N0,ram,0.0185,3.6202
0.031020,0.005100,N1,package,0.4448,87.2083
0.031029,0.005101,N1,ram,0.0269,5.2797
0.036100,0.005101,N0,package,0.5666,111.0749
0.036108,0.005101,N0,ram,0.0196,3.8469
0.036122,0.005102,N1,package,0.4385,85.9435
0.036133,0.005104,N1,ram,0.0268,5.2466
0.041204,0.005104,N0,package,0.5349,104.8012
0.041212,0.005104,N0,ram,0.0172,3.3604
0.041342,0.005220,N1,package,0.4365,83.6224
0.041353,0.005220,N1,ram,0.0260,4.9811
0.046428,0.005224,N0,package,0.5676,108.6461
0.046436,0.005224,N0,ram,0.0187,3.5867
0.046759,0.005417,N1,package,0.5679,104.8451
0.046869,0.005516,N1,ram,0.0317,5.7538
0.051942,0.005514,N0,package,0.6108,110.7817
0.051951,0.005515,N0,ram,0.0210,3.7989
0.051963,0.005204,N1,package,0.4651,89.3836
0.051972,0.005103,N1,ram,0.0277,5.4333
0.057072,0.005130,N0,package,0.6306,122.9257
0.057097,0.005146,N0,ram,0.0209,4.0652
0.057143,0.005180,N1,package,0.5228,100.9295
0.057176,0.005204,N1,ram,0.0300,5.7675
0.062287,0.005215,N0,package,0.5043,96.7096
0.062312,0.005215,N0,ram,0.0188,3.6107
0.062410,0.005267,N1,package,0.6937,131.7141
0.062438,0.005262,N1,ram,0.0305,5.7995
0.067568,0.005281,N0,package,0.5967,112.9932
0.067592,0.005280,N0,ram,0.0200,3.7829
0.067830,0.005420,N1,package,0.8810,162.5436
0.067937,0.005499,N1,ram,0.0385,7.0094
0.073054,0.005486,N0,package,0.5415,98.7106
0.073079,0.005487,N0,ram,0.0198,3.6068
0.073167,0.005337,N1,package,0.7260,136.0340
0.073203,0.005266,N1,ram,0.0328,6.2212
0.078318,0.005264,N0,package,0.5474,103.9815
0.078343,0.005264,N0,ram,0.0179,3.4060
