#timestamp,interval,socket,domain,energy,power
0.005120,0.005470,N0,package,0.5955,108.8583
0.005139,0.005310,N0,ram,0.0213,4.0031
0.005151,0.005164,N1,package,0.4306,83.3832
0.005160,0.005160,N1,ram,0.0235,4.5512
0.010369,0.005249,N0,package,0.4701,89.5581
0.010406,0.005267,N0,ram,0.0184,3.4995
0.010437,0.005286,N1,package,0.4419,83.5975
0.010456,0.005296,N1,ram,0.0275,5.1917
0.015653,0.005284,N0,package,0.5592,105.8330
0.015689,0.005283,N0,ram,0.0211,3.9917
0.015720,0.005283,N1,package,0.5145,97.3835
0.015740,0.005284,N1,ram,0.0308,5.8219
0.020823,0.005170,N0,package,0.5270,101.9396
0.020834,0.005145,N0,ram,0.0199,3.8614
0.020972,0.005252,N1,package,0.4442,84.5780
0.020985,0.005245,N1,ram,0.0266,5.0620
0.026095,0.005272,N0,package,0.4699,89.1346
0.026125,0.005291,N0,ram,0.0191,3.6107
0.026254,0.005282,N1,package,0.4573,86.5736
0.026263,0.005278,N1,ram,0.0284,5.3743
0.031376,0.005281,N0,package,0.5895,111.6345
0.031408,0.005283,N0,ram,0.0193,3.6507
0.031505,0.005251,N1,package,0.4750,90.4555
0.031515,0.005252,N1,ram,0.0266,5.0583
0.036590,0.005214,N0,package,0.4902,94.0231
0.036601,0.005193,N0,ram,0.0178,3.4290
0.036672,0.005167,N1,package,0.5665,109.6316
0.036681,0.005166,N1,ram,0.0311,6.0107
0.041872,0.005282,N0,package,0.5876,111.2395
0.041885,0.005284,N0,ram,0.0217,4.0978
0.041955,0.005283,N1,package,0.5362,101.4919
0.041964,0.005283,N1,ram,0.0279,5.2854
0.047097,0.005225,N0,package,0.5107,97.7508
0.047146,0.005261,N0,ram,0.0198,3.7587
0.047357,0.005402,N1,package,0.4753,87.9922
0.047468,0.005504,N1,ram,0.0258,4.6853
0.052556,0.005459,N0,package,0.5864,107.4223
0.052567,0.005421,N0,ram,0.0253,4.6726
0.052659,0.005302,N1,package,0.5270,99.3931
0.052669,0.005201,N1,ram,0.0292,5.6211
0.057781,0.005225,N0,package,0.5164,98.8255
0.057812,0.005245,N0,ram,0.0213,4.0700
0.057880,0.005221,N1,package,0.6140,117.5954
0.057906,0.005237,N1,ram,0.0307,5.8712
0.063098,0.005317,N0,package,0.5150,96.8624
0.063164,0.005352,N0,ram,0.0221,4.1254
0.063209,0.005329,N1,package,0.7750,145.4316
0.063229,0.005323,N1,ram,0.0328,6.1658
0.068422,0.005324,N0,package,0.4935,92.6970
0.068453,0.005289,N0,ram,0.0216,4.0765
0.068493,0.005284,N1,package,0.8081,152.9393
0.068514,0.005285,N1,ram,0.0334,6.3232
0.073718,0.005296,N0,package,0.5676,107.1805
0.073730,0.005277,N0,ram,0.0253,4.7856
0.073746,0.005253,N1,package,0.9274,176.5381
0.073761,0.005247,N1,ram,0.0392,7.4707
0.078961,0.005243,N0,package,0.4854,92.5861
0.079101,0.005371,N0,ram,0.0212,3.9489
0.079319,0.005573,N1,package,0.8026,144.0062
0.079346,0.005585,N1,ram,0.0342,6.1254
0.084537,0.005576,N0,package,0.4908,88.0260
0.084678,0.005577,N0,ram,0.0212,3.8086
0.084723,0.005404,N1,package,0.7947,147.0537
0.084746,0.005400,N1,ram,0.0347,6.4201
0.089953,0.005416,N0,package,0.5905,109.0220
0.089964,0.005286,N0,ram,0.0256,4.8496
0.089990,0.005267,N1,package,0.8808,167.2326
0.090008,0.005262,N1,ram,0.0364,6.9217
0.095154,0.005201,N0,package,0.4827,92.8007
0.095186,0.005222,N0,ram,0.0218,4.1667
0.095237,0.005247,N1,package,0.8143,155.1843
0.095272,0.005264,N1,ram,0.0339,6.4467
