#timestamp,interval,socket,domain,energy,power
0.005177,0.005783,N0,package,0.6385,110.4214
0.005356,0.005784,N0,ram,0.0274,4.7433
0.005793,0.005909,N1,package,0.4556,77.0975
0.005951,0.005951,N1,ram,0.0317,5.3203
0.011116,0.005939,N0,package,0.5814,97.8884
0.011129,0.005773,N0,ram,0.0257,4.4589
0.011279,0.005486,N1,package,0.4935,89.9616
0.011301,0.005350,N1,ram,0.0256,4.7802
0.016475,0.005359,N0,package,0.5608,104.6460
0.016488,0.005359,N0,ram,0.0246,4.5899
0.016780,0.005501,N1,package,0.5502,100.0123
0.016985,0.005684,N1,ram,0.0319,5.6078
0.022160,0.005685,N0,package,0.6401,112.5992
0.022383,0.005895,N0,ram,0.0271,4.5945
0.022399,0.005619,N1,package,0.4150,73.8520
0.022409,0.005424,N1,ram,0.0271,4.9936
0.027785,0.005625,N0,package,0.5526,98.2420
0.027904,0.005521,N0,ram,0.0228,4.1346
0.028078,0.005679,N1,package,0.4972,87.5509
0.028088,0.005679,N1,ram,0.0324,5.7095
0.033277,0.005492,N0,package,0.5660,103.0557
0.033420,0.005516,N0,ram,0.0228,4.1272
0.033516,0.005438,N1,package,0.4317,79.3848
0.033544,0.005456,N1,ram,0.0256,4.6985
0.038872,0.005595,N0,package,0.5115,91.4278
0.038907,0.005487,N0,ram,0.0226,4.1241
0.038985,0.005469,N1,package,0.5353,97.8778
0.038996,0.005452,N1,ram,0.0326,5.9838
0.044185,0.005313,N0,package,0.5748,108.1782
0.044231,0.005324,N0,ram,0.0260,4.8865
0.044318,0.005333,N1,package,0.4957,92.9442
0.044342,0.005346,N1,ram,0.0278,5.1947
0.049569,0.005384,N0,package,0.4891,90.8504
0.049727,0.005496,N0,ram,0.0233,4.2341
0.049820,0.005502,N1,package,0.5146,93.5235
0.049844,0.005502,N1,ram,0.0264,4.8034
0.055045,0.005476,N0,package,0.6081,111.0470
0.055065,0.005338,N0,ram,0.0258,4.8250
0.055141,0.005321,N1,package,0.5305,99.6951
0.055150,0.005306,N1,ram,0.0296,5.5876
0.060339,0.005294,N0,package,0.4915,92.8352
0.060562,0.005497,N0,ram,0.0214,3.9001
0.060624,0.005483,N1,package,0.6384,116.4233
0.060651,0.005501,N1,ram,0.0310,5.6419
0.065854,0.005515,N0,package,0.4955,89.8413
0.066055,0.005493,N0,ram,0.0215,3.9196
