#timestamp,interval,socket,domain,energy,power
0.005262,0.005383,N0,package,0.4413,81.9921
0.005342,0.005435,N0,ram,0.0219,4.0316
0.005424,0.005429,N1,package,0.4415,81.3161
0.005432,0.005432,N1,ram,0.0242,4.4609
0.010595,0.005333,N0,package,0.4413,82.7431
0.010615,0.005273,N0,ram,0.0219,4.1467
0.010724,0.005300,N1,package,0.5641,106.4421
0.010736,0.005304,N1,ram,0.0309,5.8284
0.015901,0.005306,N0,package,0.5458,102.8601
0.015921,0.005306,N0,ram,0.0262,4.9406
0.016027,0.005303,N1,package,0.4819,90.8695
0.016039,0.005303,N1,ram,0.0278,5.2427
0.021257,0.005356,N0,package,0.4475,83.5556
0.021364,0.005443,N0,ram,0.0205,3.7734
0.021483,0.005456,N1,package,0.4675,85.6913
0.021491,0.005452,N1,ram,0.0263,4.8165
0.026627,0.005370,N0,package,0.4502,83.8331
0.026743,0.005379,N0,ram,0.0218,4.0509
0.026858,0.005375,N1,package,0.4858,90.3750
0.026866,0.005375,N1,ram,0.0270,5.0305
0.032006,0.005379,N0,package,0.5154,95.8255
0.032338,0.005595,N0,ram,0.0249,4.4508
0.032464,0.005606,N1,package,0.5827,103.9439
0.032474,0.005608,N1,ram,0.0320,5.7084
0.037624,0.005618,N0,package,0.5018,89.3132
0.037643,0.005305,N0,ram,0.0210,3.9606
0.037758,0.005294,N1,package,0.5424,102.4461
0.037766,0.005292,N1,ram,0.0320,6.0551
0.042918,0.005294,N0,package,0.5072,95.8098
0.042940,0.005297,N0,ram,0.0220,4.1626
0.043040,0.005282,N1,package,0.5758,109.0144
0.043047,0.005281,N1,ram,0.0259,4.9120
0.048344,0.005426,N0,package,0.5624,103.6464
0.048442,0.005502,N0,ram,0.0262,4.7701
0.048566,0.005526,N1,package,0.4739,85.7641
0.048574,0.005527,N1,ram,0.0250,4.5221
0.053737,0.005393,N0,package,0.4921,91.2410
0.053760,0.005318,N0,ram,0.0220,4.1345
0.053863,0.005297,N1,package,0.6219,117.4049
0.053883,0.005309,N1,ram,0.0322,6.0557
0.059034,0.005297,N0,package,0.5728,108.1357
0.059051,0.005291,N0,ram,0.0258,4.8767
0.059298,0.005435,N1,package,0.5112,94.0516
0.059416,0.005533,N1,ram,0.0271,4.9006
0.064522,0.005488,N0,package,0.5094,92.8220
0.064536,0.005485,N0,ram,0.0225,4.1033
0.064608,0.005310,N1,package,0.5559,104.6897
0.064614,0.005198,N1,ram,0.0297,5.7184
0.069719,0.005197,N0,package,0.5005,96.3024
0.069733,0.005197,N0,ram,0.0252,4.8476
0.069806,0.005198,N1,package,0.3647,70.1587
0.069813,0.005199,N1,ram,0.0280,5.3886
0.074920,0.005201,N0,package,0.6129,117.8487
0.074934,0.005201,N0,ram,0.0338,6.4953
0.075011,0.005205,N1,package,0.5308,101.9732
0.075018,0.005205,N1,ram,0.0243,4.6642
0.080163,0.005243,N0,package,0.5241,99.9623
0.080202,0.005268,N0,ram,0.0277,5.2600
0.080385,0.005374,N1,package,0.4396,81.8087
0.080428,0.005410,N1,ram,0.0251,4.6369
0.085554,0.005391,N0,package,0.4916,91.1981
0.085586,0.005384,N0,ram,0.0224,4.1633
0.085713,0.005328,N1,package,0.5151,96.6745
0.085731,0.005303,N1,ram,0.0315,5.9416
0.090841,0.005287,N0,package,0.5252,99.3362
0.090854,0.005268,N0,ram,0.0246,4.6606
0.090938,0.005225,N1,package,0.4644,88.8688
0.090946,0.005215,N1,ram,0.0273,5.2375
0.096067,0.005226,N0,package,0.4830,92.4305
0.096099,0.005245,N0,ram,0.0165,3.1449
0.096338,0.005400,N1,package,0.4172,77.2555
0.096454,0.005508,N1,ram,0.0255,4.6348
0.101579,0.005512,N0,package,0.6028,109.3694
0.101610,0.005511,N0,ram,0.0265,4.8066
0.101712,0.005374,N1,package,0.4409,82.0358
0.101732,0.005278,N1,ram,0.0254,4.8192
0.106846,0.005267,N0,package,0.4882,92.6801
0.106860,0.005250,N0,ram,0.0180,3.4296
0.106940,0.005228,N1,package,0.5237,100.1678
0.106948,0.005216,N1,ram,0.0334,6.4126
0.112053,0.005207,N0,package,0.6093,117.0222
0.112066,0.005206,N0,ram,0.0207,3.9685
0.112320,0.005380,N1,package,0.4323,80.3567
0.112432,0.005484,N1,ram,0.0254,4.6271
0.117548,0.005495,N0,package,0.5027,91.4793
0.117580,0.005514,N0,ram,0.0187,3.3927
0.117683,0.005363,N1,package,0.4350,81.1111
0.117702,0.005270,N1,ram,0.0257,4.8817
0.122815,0.005267,N0,package,0.4924,93.4955
0.122829,0.005249,N0,ram,0.0172,3.2762
0.122910,0.005227,N1,package,0.5156,98.6331
0.122918,0.005216,N1,ram,0.0308,5.9036
0.128031,0.005216,N0,package,0.4874,93.4462
0.128062,0.005233,N0,ram,0.0213,4.0734
0.128298,0.005388,N1,package,0.4318,80.1338
0.128414,0.005496,N1,ram,0.0271,4.9280
0.133540,0.005509,N0,package,0.6329,114.8931
0.133570,0.005508,N0,ram,0.0169,3.0667
0.133678,0.005380,N1,package,0.4420,82.1492
0.133698,0.005284,N1,ram,0.0258,4.8860
0.138810,0.005270,N0,package,0.4941,93.7532
0.138823,0.005253,N0,ram,0.0183,3.4799
0.138903,0.005225,N1,package,0.4298,82.2611
0.138911,0.005213,N1,ram,0.0251,4.8150
0.144014,0.005204,N0,package,0.5850,112.4017
0.144031,0.005208,N0,ram,0.0204,3.9143
0.144107,0.005204,N1,package,0.5092,97.8472
0.144115,0.005204,N1,ram,0.0309,5.9317
0.149228,0.005214,N0,package,0.5030,96.4697
0.149260,0.005229,N0,ram,0.0179,3.4317
0.149447,0.005340,N1,package,0.4393,82.2624
0.149563,0.005448,N1,ram,0.0263,4.8257
0.154688,0.005460,N0,package,0.5036,92.2342
0.154719,0.005459,N0,ram,0.0195,3.5778
