#timestamp,interval,socket,domain,energy,power
0.005163,0.005568,N0,package,0.4792,86.0714
0.005196,0.005590,N0,ram,0.0175,3.1253
0.005302,0.005410,N1,package,0.5227,96.6191
0.005313,0.005313,N1,ram,0.0279,5.2443
0.010478,0.005315,N0,package,0.5250,98.7804
0.010497,0.005301,N0,ram,0.0230,4.3379
0.010606,0.005304,N1,package,0.5632,106.1767
0.010616,0.005303,N1,ram,0.0305,5.7431
0.015706,0.005228,N0,package,0.4464,85.3761
0.015723,0.005226,N0,ram,0.0183,3.5067
0.015838,0.005232,N1,package,0.4803,91.8002
0.015855,0.005239,N1,ram,0.0269,5.1377
0.021012,0.005306,N0,package,0.4499,84.7889
0.021035,0.005312,N0,ram,0.0187,3.5131
0.021155,0.005317,N1,package,0.4653,87.5182
0.021167,0.005312,N1,ram,0.0268,5.0442
0.026330,0.005318,N0,package,0.4614,86.7565
0.026350,0.005315,N0,ram,0.0179,3.3733
0.026468,0.005313,N1,package,0.4973,93.5891
0.026479,0.005312,N1,ram,0.0283,5.3199
0.031574,0.005244,N0,package,0.4487,85.5584
0.031588,0.005238,N0,ram,0.0186,3.5510
0.031776,0.005308,N1,package,0.5305,99.9484
0.031892,0.005413,N1,ram,0.0288,5.3221
0.037050,0.005476,N0,package,0.6538,119.3953
0.037190,0.005602,N0,ram,0.0254,4.5298
0.037287,0.005511,N1,package,0.4456,80.8479
0.037296,0.005404,N1,ram,0.0264,4.8877
0.042459,0.005409,N0,package,0.4828,89.2677
0.042473,0.005283,N0,ram,0.0180,3.4081
0.042587,0.005300,N1,package,0.5347,100.8914
0.042614,0.005318,N1,ram,0.0307,5.7644
0.047872,0.005413,N0,package,0.6345,117.2093
0.047953,0.005480,N0,ram,0.0236,4.3105
0.048047,0.005460,N1,package,0.4822,88.3106
0.048064,0.005450,N1,ram,0.0272,4.9920
0.053234,0.005362,N0,package,0.5201,96.9975
0.053364,0.005411,N0,ram,0.0190,3.5164
0.053463,0.005416,N1,package,0.4116,75.9908
0.053484,0.005420,N1,ram,0.0253,4.6762
0.058756,0.005522,N0,package,0.5876,106.4078
0.058900,0.005536,N0,ram,0.0215,3.8892
0.059028,0.005565,N1,package,0.4626,83.1361
0.059037,0.005553,N1,ram,0.0272,4.9049
0.064220,0.005464,N0,package,0.6037,110.4850
0.064359,0.005459,N0,ram,0.0206,3.7650
0.064473,0.005445,N1,package,0.5137,94.3494
0.064481,0.005444,N1,ram,0.0314,5.7710
0.069801,0.005581,N0,package,0.6224,111.5250
0.069973,0.005614,N0,ram,0.0228,4.0661
0.070120,0.005647,N1,package,0.5284,93.5655
0.070128,0.005647,N1,ram,0.0324,5.7339
0.075298,0.005497,N0,package,0.5439,98.9535
0.075335,0.005362,N0,ram,0.0229,4.2743
0.075369,0.005249,N1,package,0.4023,76.6546
0.075391,0.005263,N1,ram,0.0225,4.2705
0.080578,0.005280,N0,package,0.5435,102.9387
0.080596,0.005261,N0,ram,0.0239,4.5391
0.080808,0.005439,N1,package,0.4675,85.9580
0.080915,0.005524,N1,ram,0.0357,6.4693
0.086117,0.005539,N0,package,0.5524,99.7245
0.086308,0.005712,N0,ram,0.0337,5.9037
0.086406,0.005598,N1,package,0.5400,96.4688
0.086427,0.005512,N1,ram,0.0234,4.2438
0.091560,0.005443,N0,package,0.3740,68.7070
0.091575,0.005267,N0,ram,0.0074,1.4109
0.091842,0.005436,N1,package,0.4277,78.6863
0.091967,0.005540,N1,ram,0.0255,4.6080
0.097082,0.005522,N0,package,1.3046,236.2592
0.097113,0.005538,N0,ram,0.0426,7.6983
0.097247,0.005405,N1,package,0.5364,99.2381
0.097268,0.005301,N1,ram,0.0311,5.8692
0.102386,0.005304,N0,package,1.0375,195.5989
0.102418,0.005305,N0,ram,0.0194,3.6557
0.102520,0.005273,N1,package,0.4366,82.8062
0.102540,0.005272,N1,ram,0.0262,4.9694
0.107671,0.005285,N0,package,0.9982,188.8674
0.107703,0.005285,N0,ram,0.0196,3.7129
0.108004,0.005484,N1,package,0.5377,98.0506
0.108122,0.005582,N1,ram,0.0308,5.5192
0.113246,0.005575,N0,package,1.2853,230.5456
0.113278,0.005575,N0,ram,0.0244,4.3792
0.113376,0.005372,N1,package,0.4291,79.8757
0.113402,0.005280,N1,ram,0.0265,5.0227
0.118530,0.005284,N0,package,1.0415,197.1026
0.118562,0.005284,N0,ram,0.0196,3.7020
0.118814,0.005438,N1,package,0.3998,73.5261
0.118931,0.005529,N1,ram,0.0258,4.6694
0.124057,0.005527,N0,package,1.2668,229.1985
0.124088,0.005526,N0,ram,0.0223,4.0425
0.124189,0.005375,N1,package,0.5121,95.2732
0.124207,0.005276,N1,ram,0.0318,6.0243
0.129328,0.005271,N0,package,1.0687,202.7458
0.129359,0.005271,N0,ram,0.0191,3.6273
0.129462,0.005273,N1,package,0.4311,81.7529
0.129495,0.005288,N1,ram,0.0270,5.0989
0.134634,0.005306,N0,package,1.0673,201.1535
0.134664,0.005305,N0,ram,0.0202,3.8082
0.134717,0.005255,N1,package,0.4092,77.8767
0.134874,0.005379,N1,ram,0.0269,4.9927
0.139989,0.005355,N0,package,1.2436,232.2351
0.140021,0.005357,N0,ram,0.0227,4.2355
0.140123,0.005406,N1,package,0.4735,87.5914
0.140156,0.005282,N1,ram,0.0305,5.7833
0.145277,0.005288,N0,package,1.0921,206.5197
0.145309,0.005288,N0,ram,0.0204,3.8523
0.145411,0.005288,N1,package,0.4021,76.0382
0.145445,0.005289,N1,ram,0.0249,4.7142
0.150574,0.005297,N0,package,1.0464,197.5453
0.150614,0.005305,N0,ram,0.0188,3.5522
0.150826,0.005415,N1,package,0.4052,74.8320
0.151011,0.005566,N1,ram,0.0267,4.7892
0.156126,0.005552,N0,package,1.2764,229.8910
0.156158,0.005544,N0,ram,0.0230,4.1505
0.156260,0.005434,N1,package,0.4900,90.1706
0.156294,0.005283,N1,ram,0.0307,5.8114
0.161415,0.005289,N0,package,1.0219,193.2204
0.161448,0.005290,N0,ram,0.0196,3.7007
0.161549,0.005289,N1,package,0.4291,81.1367
0.161583,0.005289,N1,ram,0.0273,5.1641
0.166670,0.005255,N0,package,0.9888,188.1499
0.166702,0.005254,N0,ram,0.0183,3.4880
0.166922,0.005373,N1,package,0.4085,76.0298
0.167044,0.005461,N1,ram,0.0245,4.4790
0.172168,0.005498,N0,package,1.3004,236.5169
0.172200,0.005498,N0,ram,0.0226,4.1103
0.172298,0.005376,N1,package,0.4880,90.7717
0.172317,0.005273,N1,ram,0.0318,6.0305
0.177438,0.005270,N0,package,1.0251,194.5248
0.177470,0.005270,N0,ram,0.0188,3.5758
0.177574,0.005276,N1,package,0.3791,71.8521
0.177614,0.005297,N1,ram,0.0246,4.6523
0.182735,0.005297,N0,package,1.0536,198.9050
0.182767,0.005297,N0,ram,0.0189,3.5634
0.182993,0.005419,N1,package,0.4329,79.8782
0.183109,0.005495,N1,ram,0.0276,5.0260
0.188234,0.005499,N0,package,1.2910,234.7675
0.188265,0.005498,N0,ram,0.0242,4.4099
0.188369,0.005376,N1,package,0.4698,87.3958
0.188389,0.005280,N1,ram,0.0309,5.8434
0.193517,0.005283,N0,package,1.0247,193.9583
0.193547,0.005282,N0,ram,0.0193,3.6544
0.193825,0.005456,N1,package,0.4116,75.4330
0.193941,0.005552,N1,ram,0.0253,4.5651
0.199066,0.005549,N0,package,1.2596,227.0056
0.199097,0.005550,N0,ram,0.0240,4.3248
0.199201,0.005376,N1,package,0.4915,91.4302
0.199234,0.005293,N1,ram,0.0315,5.9558
0.204356,0.005290,N0,package,1.0445,197.4458
0.204387,0.005290,N0,ram,0.0225,4.2603
0.204488,0.005287,N1,package,0.4455,84.2597
0.204522,0.005288,N1,ram,0.0276,5.2143
0.209617,0.005261,N0,package,1.0226,194.3725
0.209632,0.005245,N0,ram,0.0224,4.2649
0.209800,0.005312,N1,package,0.3850,72.4797
0.209912,0.005390,N1,ram,0.0248,4.6030
0.215026,0.005409,N0,package,1.0416,192.5727
0.215058,0.005426,N0,ram,0.0223,4.1084
0.215160,0.005360,N1,package,0.4606,85.9407
0.215193,0.005281,N1,ram,0.0308,5.8395
0.220313,0.005287,N0,package,1.2836,242.7706
0.220344,0.005286,N0,ram,0.0291,5.4991
0.220448,0.005288,N1,package,0.4089,77.3194
0.220468,0.005275,N1,ram,0.0270,5.1229
0.225597,0.005284,N0,package,1.0219,193.3919
0.225637,0.005293,N0,ram,0.0211,3.9957
0.225690,0.005242,N1,package,0.3918,74.7414
0.225719,0.005251,N1,ram,0.0259,4.9401
0.230841,0.005244,N0,package,1.0682,203.6943
0.230873,0.005236,N0,ram,0.0238,4.5492
0.230976,0.005286,N1,package,0.3836,72.5705
0.231009,0.005290,N1,ram,0.0255,4.8286
0.236122,0.005281,N0,package,1.2380,234.4220
0.236135,0.005262,N0,ram,0.0262,4.9759
0.236211,0.005235,N1,package,0.4973,94.9944
0.236219,0.005210,N1,ram,0.0317,6.0919
0.241297,0.005175,N0,package,1.0414,201.2288
0.241310,0.005175,N0,ram,0.0224,4.3286
0.241422,0.005211,N1,package,0.3922,75.2562
0.241430,0.005211,N1,ram,0.0268,5.1359
0.246542,0.005245,N0,package,1.0634,202.7496
0.246574,0.005264,N0,ram,0.0224,4.2611
0.246798,0.005376,N1,package,0.3928,73.0683
0.246914,0.005484,N1,ram,0.0260,4.7414
0.252039,0.005497,N0,package,1.0833,197.0743
0.252069,0.005495,N0,ram,0.0223,4.0597
0.252179,0.005381,N1,package,0.4811,89.4168
0.252200,0.005286,N1,ram,0.0321,6.0764
0.257320,0.005281,N0,package,1.1892,225.1875
0.257350,0.005281,N0,ram,0.0261,4.9351
0.257450,0.005271,N1,package,0.3920,74.3637
0.257475,0.005275,N1,ram,0.0260,4.9291
0.262633,0.005313,N0,package,1.0829,203.8121
0.262664,0.005314,N0,ram,0.0231,4.3415
0.262889,0.005439,N1,package,0.3918,72.0431
0.263003,0.005528,N1,ram,0.0256,4.6318
0.268128,0.005495,N0,package,1.0154,184.7883
0.268159,0.005495,N0,ram,0.0220,4.0043
0.268284,0.005395,N1,package,0.4820,89.3381
0.268296,0.005293,N1,ram,0.0311,5.8664
0.273408,0.005280,N0,package,1.2598,238.5912
0.273439,0.005280,N0,ram,0.0273,5.1701
0.273544,0.005260,N1,package,0.4341,82.5252
0.273563,0.005267,N1,ram,0.0279,5.2901
0.278671,0.005263,N0,package,1.0322,196.1256
0.278703,0.005264,N0,ram,0.0225,4.2785
0.278921,0.005377,N1,package,0.3678,68.4044
0.279039,0.005476,N1,ram,0.0240,4.3804
0.284156,0.005485,N0,package,1.0269,187.2096
0.284170,0.005467,N0,ram,0.0218,3.9913
0.284245,0.005324,N1,package,0.4819,90.5074
0.284253,0.005214,N1,ram,0.0312,5.9818
0.289357,0.005201,N0,package,1.3005,250.0618
0.289370,0.005200,N0,ram,0.0266,5.1145
0.289445,0.005200,N1,package,0.4091,78.6663
0.289454,0.005201,N1,ram,0.0262,5.0373
0.294612,0.005255,N0,package,1.0172,193.5709
0.294644,0.005274,N0,ram,0.0223,4.2300
0.294698,0.005253,N1,package,0.4010,76.3364
0.294854,0.005400,N1,ram,0.0262,4.8490
0.299966,0.005354,N0,package,1.0638,198.6830
0.299980,0.005336,N0,ram,0.0227,4.2493
0.300054,0.005356,N1,package,0.4732,88.3493
0.300062,0.005208,N1,ram,0.0315,6.0502
0.305168,0.005202,N0,package,1.0846,208.5031
0.305181,0.005201,N0,ram,0.0216,4.1571
0.305262,0.005208,N1,package,0.3922,75.2976
0.305270,0.005208,N1,ram,0.0261,5.0130
0.310374,0.005206,N0,package,1.0203,195.9861
0.310387,0.005206,N0,ram,0.0226,4.3468
0.310465,0.005203,N1,package,0.4009,77.0592
0.310472,0.005202,N1,ram,0.0257,4.9307
0.315592,0.005218,N0,package,1.2888,246.9933
0.315642,0.005255,N0,ram,0.0283,5.3834
0.315863,0.005398,N1,package,0.4004,74.1767
0.315979,0.005507,N1,ram,0.0263,4.7713
0.321095,0.005503,N0,package,0.9837,178.7597
0.321109,0.005467,N0,ram,0.0195,3.5725
0.321184,0.005321,N1,package,0.3998,75.1437
0.321192,0.005213,N1,ram,0.0255,4.8999
0.326304,0.005209,N0,package,1.2577,241.4471
0.326336,0.005227,N0,ram,0.0243,4.6446
0.326465,0.005281,N1,package,0.4821,91.2932
0.326498,0.005306,N1,ram,0.0327,6.1570
0.331656,0.005352,N0,package,1.0638,198.7741
0.331687,0.005351,N0,ram,0.0201,3.7555
0.331909,0.005444,N1,package,0.3919,71.9881
0.332027,0.005529,N1,ram,0.0251,4.5454
0.337143,0.005487,N0,package,1.0858,197.8789
0.337157,0.005470,N0,ram,0.0197,3.6069
0.337233,0.005324,N1,package,0.4001,75.1458
0.337241,0.005214,N1,ram,0.0337,6.4617
0.342353,0.005210,N0,package,1.2105,232.3471
0.342384,0.005227,N0,ram,0.0207,3.9527
0.342512,0.005279,N1,package,0.4898,92.7871
0.342545,0.005304,N1,ram,0.0251,4.7352
0.347670,0.005317,N0,package,1.0604,199.4325
0.347701,0.005317,N0,ram,0.0201,3.7708
0.347928,0.005416,N1,package,0.3953,72.9899
0.348045,0.005500,N1,ram,0.0258,4.6832
0.353161,0.005491,N0,package,1.0631,193.6090
0.353174,0.005473,N0,ram,0.0184,3.3596
0.353250,0.005322,N1,package,0.4912,92.2985
0.353258,0.005213,N1,ram,0.0310,5.9390
0.358362,0.005201,N0,package,1.0187,195.8786
0.358375,0.005201,N0,ram,0.0193,3.7053
0.358449,0.005199,N1,package,0.3876,74.5483
0.358457,0.005199,N1,ram,0.0245,4.7163
0.363577,0.005215,N0,package,1.2364,237.0865
0.363623,0.005248,N0,ram,0.0228,4.3498
0.363831,0.005382,N1,package,0.4012,74.5410
0.363948,0.005491,N1,ram,0.0272,4.9605
0.369065,0.005488,N0,package,1.1057,201.4614
0.369079,0.005456,N0,ram,0.0187,3.4260
0.369155,0.005324,N1,package,0.4163,78.1872
0.369163,0.005215,N1,ram,0.0268,5.1319
0.374241,0.005176,N0,package,1.0166,196.4133
0.374254,0.005175,N0,ram,0.0196,3.7888
0.374331,0.005176,N1,package,0.4633,89.5116
0.374340,0.005177,N1,ram,0.0305,5.9007
0.379443,0.005202,N0,package,1.2487,240.0433
0.379457,0.005203,N0,ram,0.0242,4.6424
0.379531,0.005200,N1,package,0.3968,76.3070
