#timestamp,interval,socket,domain,energy,power
0.005075,0.005179,N0,package,0.5497,106.1383
0.005089,0.005192,N0,ram,0.0202,3.8911
0.005299,0.005310,N1,package,0.5060,95.2989
0.005388,0.005388,N1,ram,0.0315,5.8480
0.010463,0.005388,N0,package,0.5384,99.9237
0.010470,0.005381,N0,ram,0.0197,3.6523
0.010606,0.005307,N1,package,0.4877,91.9042
0.010627,0.005239,N1,ram,0.0294,5.6125
0.015698,0.005235,N0,package,0.5136,98.1073
0.015706,0.005236,N0,ram,0.0188,3.5962
0.015844,0.005238,N1,package,0.4040,77.1263
0.015864,0.005237,N1,ram,0.0269,5.1396
0.020936,0.005238,N0,package,0.5588,106.6929
0.020944,0.005238,N0,ram,0.0193,3.6938
0.021015,0.005171,N1,package,0.4019,77.7242
0.021028,0.005164,N1,ram,0.0264,5.1031
0.026104,0.005168,N0,package,0.5174,100.1159
0.026112,0.005168,N0,ram,0.0207,4.0066
0.026441,0.005426,N1,package,0.4052,74.6807
0.026516,0.005488,N1,ram,0.0254,4.6320
0.031590,0.005486,N0,package,0.5467,99.6520
0.031598,0.005486,N0,ram,0.0185,3.3683
0.031683,0.005242,N1,package,0.4681,89.3077
0.031695,0.005179,N1,ram,0.0309,5.9663
0.036766,0.005176,N0,package,0.6681,129.0731
0.036774,0.005176,N0,ram,0.0198,3.8176
0.036857,0.005174,N1,package,0.4440,85.8052
0.036870,0.005175,N1,ram,0.0262,5.0716
0.041941,0.005175,N0,package,0.5600,108.2097
0.041949,0.005175,N0,ram,0.0193,3.7389
0.042089,0.005232,N1,package,0.4246,81.1491
0.042110,0.005240,N1,ram,0.0263,5.0203
0.047161,0.005220,N0,package,0.6728,128.8886
0.047169,0.005220,N0,ram,0.0229,4.3877
0.047384,0.005295,N1,package,0.4506,85.1028
0.047591,0.005481,N1,ram,0.0265,4.8274
0.052665,0.005504,N0,package,0.5793,105.2500
0.052673,0.005504,N0,ram,0.0205,3.7287
0.052756,0.005372,N1,package,0.4288,79.8154
0.052768,0.005177,N1,ram,0.0265,5.1255
0.057840,0.005175,N0,package,0.5804,112.1489
0.057848,0.005175,N0,ram,0.0180,3.4764
0.057933,0.005177,N1,package,0.5187,100.1883
0.057945,0.005177,N1,ram,0.0323,6.2426
0.063020,0.005180,N0,package,0.5029,97.0811
0.063028,0.005180,N0,ram,0.0173,3.3374
0.063316,0.005383,N1,package,0.4160,77.2717
0.063527,0.005582,N1,ram,0.0249,4.4666
0.068601,0.005581,N0,package,0.6810,122.0126
0.068609,0.005581,N0,ram,0.0266,4.7656
0.068747,0.005431,N1,package,0.5305,97.6844
