#timestamp,interval,socket,domain,energy,power
0.005166,0.005725,N0,package,0.5430,94.8539
0.005190,0.005533,N0,ram,0.0185,3.3452
0.005283,0.005371,N1,package,0.5345,99.5271
0.005291,0.005291,N1,ram,0.0224,4.2336
0.010451,0.005285,N0,package,0.5523,104.5042
0.010473,0.005283,N0,ram,0.0237,4.4796
0.010582,0.005299,N1,package,0.5891,111.1721
0.010601,0.005310,N1,ram,0.0316,5.9598
0.015820,0.005369,N0,package,0.4609,85.8373
0.015918,0.005445,N0,ram,0.0181,3.3180
0.016042,0.005460,N1,package,0.4694,85.9631
0.016050,0.005449,N1,ram,0.0263,4.8279
0.021208,0.005388,N0,package,0.4740,87.9727
0.021225,0.005307,N0,ram,0.0197,3.7119
0.021393,0.005351,N1,package,0.4995,93.3408
0.021404,0.005354,N1,ram,0.0274,5.1213
0.026575,0.005367,N0,package,0.5490,102.2976
0.026600,0.005375,N0,ram,0.0233,4.3378
0.026847,0.005454,N1,package,0.4667,85.5758
0.026959,0.005555,N1,ram,0.0342,6.1585
0.032109,0.005534,N0,package,0.5670,102.4573
0.032123,0.005523,N0,ram,0.0245,4.4370
0.032235,0.005388,N1,package,0.5504,102.1553
0.032247,0.005288,N1,ram,0.0234,4.4294
0.037410,0.005301,N0,package,0.5662,106.8144
0.037425,0.005302,N0,ram,0.0194,3.6577
0.037541,0.005306,N1,package,0.5418,102.1124
0.037553,0.005306,N1,ram,0.0307,5.7831
0.042851,0.005441,N0,package,0.6609,121.4657
0.042867,0.005442,N0,ram,0.0265,4.8648
0.042955,0.005414,N1,package,0.4537,83.8076
0.042963,0.005410,N1,ram,0.0266,4.9244
0.048145,0.005294,N0,package,0.5789,109.3453
0.048177,0.005310,N0,ram,0.0222,4.1724
0.048279,0.005324,N1,package,0.4365,81.9897
0.048312,0.005349,N1,ram,0.0262,4.8924
0.053493,0.005348,N0,package,0.5687,106.3395
0.053805,0.005628,N0,ram,0.0250,4.4492
0.053925,0.005646,N1,package,0.5462,96.7419
0.053932,0.005620,N1,ram,0.0327,5.8184
0.059047,0.005554,N0,package,0.6949,125.1153
0.059081,0.005276,N0,ram,0.0243,4.6072
0.059183,0.005258,N1,package,0.4375,83.2090
0.059216,0.005284,N1,ram,0.0266,5.0304
0.064356,0.005309,N0,package,0.8056,151.7467
0.064397,0.005316,N0,ram,0.0352,6.6161
0.064506,0.005323,N1,package,0.4431,83.2464
0.064518,0.005302,N1,ram,0.0264,4.9789
0.069693,0.005337,N0,package,0.9269,173.6706
0.069729,0.005332,N0,ram,0.0400,7.5092
0.069831,0.005325,N1,package,0.5225,98.1247
0.069865,0.005347,N1,ram,0.0290,5.4277
0.075020,0.005327,N0,package,0.8506,159.6863
0.075061,0.005332,N0,ram,0.0364,6.8338
0.075158,0.005327,N1,package,0.4861,91.2493
0.075178,0.005313,N1,ram,0.0278,5.2299
0.080326,0.005306,N0,package,0.8355,157.4650
0.080390,0.005329,N0,ram,0.0338,6.3336
0.080487,0.005329,N1,package,0.4398,82.5197
0.080520,0.005342,N1,ram,0.0257,4.8130
0.085840,0.005514,N0,package,0.9496,172.2200
0.085859,0.005469,N0,ram,0.0433,7.9212
0.085947,0.005460,N1,package,0.5537,101.4118
0.085955,0.005435,N1,ram,0.0319,5.8761
0.091080,0.005240,N0,package,0.8362,159.5778
0.091115,0.005256,N0,ram,0.0361,6.8744
0.091215,0.005268,N1,package,0.4086,77.5589
0.091236,0.005281,N1,ram,0.0241,4.5623
0.096370,0.005290,N0,package,0.7780,147.0604
0.096407,0.005292,N0,ram,0.0325,6.1474
0.096506,0.005291,N1,package,0.4670,88.2711
0.096538,0.005302,N1,ram,0.0275,5.1774
0.101706,0.005336,N0,package,1.0014,187.6678
0.101772,0.005365,N0,ram,0.0444,8.2681
0.101873,0.005367,N1,package,0.5355,99.7798
0.101894,0.005356,N1,ram,0.0311,5.8089
0.107051,0.005345,N0,package,0.8397,157.1080
0.107125,0.005353,N0,ram,0.0362,6.7554
0.107223,0.005350,N1,package,0.4587,85.7440
0.107243,0.005349,N1,ram,0.0280,5.2347
0.112394,0.005343,N0,package,0.8020,150.1044
0.112430,0.005305,N0,ram,0.0349,6.5812
0.112532,0.005309,N1,package,0.4092,77.0863
0.112552,0.005309,N1,ram,0.0222,4.1875
0.117774,0.005380,N0,package,0.9530,177.1330
0.117803,0.005373,N0,ram,0.0408,7.5854
0.117937,0.005405,N1,package,0.5699,105.4377
0.117949,0.005397,N1,ram,0.0349,6.4630
0.123077,0.005303,N0,package,0.8092,152.5963
0.123143,0.005340,N0,ram,0.0345,6.4634
0.123240,0.005303,N1,package,0.4501,84.8806
0.123261,0.005312,N1,ram,0.0249,4.6822
0.128401,0.005324,N0,package,0.8551,160.6090
0.128480,0.005337,N0,ram,0.0359,6.7359
0.128578,0.005338,N1,package,0.4398,82.3833
0.128623,0.005362,N1,ram,0.0268,4.9971
0.133835,0.005434,N0,package,0.9528,175.3506
0.133855,0.005375,N0,ram,0.0430,8.0000
0.133943,0.005365,N1,package,0.5383,100.3431
0.133952,0.005329,N1,ram,0.0323,6.0532
0.139087,0.005252,N0,package,0.8214,156.3960
0.139123,0.005268,N0,ram,0.0360,6.8327
0.139221,0.005278,N1,package,0.4674,88.5558
0.139242,0.005290,N1,ram,0.0260,4.9209
0.144384,0.005297,N0,package,0.8194,154.6924
0.144427,0.005304,N0,ram,0.0354,6.6687
0.144524,0.005303,N1,package,0.4128,77.8405
0.144544,0.005302,N1,ram,0.0254,4.7860
0.149764,0.005380,N0,package,0.9538,177.2884
0.149787,0.005360,N0,ram,0.0420,7.8342
0.149873,0.005349,N1,package,0.5413,101.1860
0.149881,0.005337,N1,ram,0.0325,6.0869
0.155011,0.005247,N0,package,0.8716,166.1069
0.155066,0.005279,N0,ram,0.0377,7.1423
0.155163,0.005290,N1,package,0.4513,85.3103
0.155183,0.005302,N1,ram,0.0258,4.8666
0.160358,0.005347,N0,package,0.7856,146.9201
0.160403,0.005337,N0,ram,0.0352,6.5901
0.160500,0.005337,N1,package,0.4272,80.0422
0.160520,0.005337,N1,ram,0.0261,4.8947
0.165765,0.005407,N0,package,0.9578,177.1309
0.165937,0.005534,N0,ram,0.0414,7.4833
0.166084,0.005584,N1,package,0.5336,95.5532
0.166092,0.005572,N1,ram,0.0331,5.9315
