#timestamp,interval,socket,domain,energy,power
0.005167,0.005461,N0,package,0.4780,87.5351
0.005189,0.005306,N0,ram,0.0187,3.5171
0.005271,0.005276,N1,package,0.4680,88.7075
0.005278,0.005278,N1,ram,0.0288,5.4610
0.010448,0.005281,N0,package,0.5770,109.2652
0.010468,0.005279,N0,ram,0.0230,4.3559
0.010582,0.005311,N1,package,0.4478,84.3182
0.010590,0.005312,N1,ram,0.0265,4.9925
0.015762,0.005314,N0,package,0.5352,100.7162
0.015800,0.005332,N0,ram,0.0203,3.8004
0.015907,0.005325,N1,package,0.5233,98.2737
0.015928,0.005338,N1,ram,0.0316,5.9172
0.021050,0.005288,N0,package,0.5496,103.9398
0.021081,0.005281,N0,ram,0.0216,4.0914
0.021184,0.005277,N1,package,0.4431,83.9608
0.021218,0.005290,N1,ram,0.0261,4.9266
0.026340,0.005290,N0,package,0.5367,101.4631
0.026371,0.005290,N0,ram,0.0201,3.7902
0.026475,0.005291,N1,package,0.4120,77.8659
0.026495,0.005277,N1,ram,0.0245,4.6497
0.031590,0.005250,N0,package,0.6404,121.9895
0.031605,0.005234,N0,ram,0.0201,3.8424
0.031725,0.005250,N1,package,0.4530,86.2866
0.031736,0.005241,N1,ram,0.0281,5.3656
0.036815,0.005225,N0,package,0.5626,107.6684
0.036829,0.005224,N0,ram,0.0192,3.6745
0.036954,0.005229,N1,package,0.5067,96.8929
0.036965,0.005229,N1,ram,0.0300,5.7458
0.042129,0.005314,N0,package,0.5553,104.4950
0.042144,0.005315,N0,ram,0.0183,3.4508
0.042257,0.005303,N1,package,0.4277,80.6567
0.042273,0.005308,N1,ram,0.0265,4.9963
0.047352,0.005223,N0,package,0.5692,108.9697
0.047366,0.005222,N0,ram,0.0188,3.6086
0.047495,0.005238,N1,package,0.4358,83.1971
0.047506,0.005233,N1,ram,0.0259,4.9424
0.052813,0.005461,N0,package,0.5610,102.7241
0.052829,0.005463,N0,ram,0.0205,3.7540
0.052918,0.005423,N1,package,0.5284,97.4364
0.052925,0.005419,N1,ram,0.0323,5.9610
0.058057,0.005244,N0,package,0.7766,148.0831
0.058102,0.005273,N0,ram,0.0240,4.5518
0.058203,0.005285,N1,package,0.4600,87.0425
0.058235,0.005310,N1,ram,0.0267,5.0261
0.063366,0.005309,N0,package,0.9854,185.6164
0.063404,0.005302,N0,ram,0.0410,7.7417
0.063507,0.005304,N1,package,0.4186,78.9162
0.063540,0.005305,N1,ram,0.0264,4.9702
0.068664,0.005298,N0,package,0.8729,164.7607
0.068690,0.005286,N0,ram,0.0382,7.2224
0.068755,0.005248,N1,package,0.4443,84.6549
0.068764,0.005224,N1,ram,0.0262,5.0123
0.073890,0.005226,N0,package,0.8104,155.0669
0.073937,0.005247,N0,ram,0.0345,6.5841
0.074023,0.005268,N1,package,0.4423,83.9661
0.074034,0.005270,N1,ram,0.0271,5.1393
0.079193,0.005303,N0,package,0.8738,164.7778
0.079241,0.005304,N0,ram,0.0374,7.0539
0.079345,0.005322,N1,package,0.5081,95.4638
0.079356,0.005322,N1,ram,0.0313,5.8862
0.084522,0.005329,N0,package,0.8602,161.4160
0.084566,0.005325,N0,ram,0.0358,6.7166
0.084819,0.005474,N1,package,0.4344,79.3533
0.084937,0.005581,N1,ram,0.0261,4.6779
0.090094,0.005572,N0,package,1.0358,185.8851
0.090134,0.005568,N0,ram,0.0424,7.6211
0.090254,0.005435,N1,package,0.5329,98.0495
0.090265,0.005328,N1,ram,0.0316,5.9369
0.095400,0.005306,N0,package,0.8569,161.4911
0.095430,0.005296,N0,ram,0.0377,7.1137
0.095529,0.005275,N1,package,0.4356,82.5795
0.095540,0.005275,N1,ram,0.0256,4.8539
0.100680,0.005280,N0,package,1.0356,196.1326
0.100731,0.005301,N0,ram,0.0418,7.8784
0.100858,0.005329,N1,package,0.4280,80.3243
0.100891,0.005351,N1,ram,0.0258,4.8305
0.106050,0.005370,N0,package,0.8595,160.0583
0.106127,0.005396,N0,ram,0.0353,6.5465
0.106241,0.005383,N1,package,0.4514,83.8480
0.106248,0.005357,N1,ram,0.0274,5.1157
0.111386,0.005336,N0,package,0.8231,154.2566
0.111414,0.005287,N0,ram,0.0369,6.9729
0.111510,0.005269,N1,package,0.5341,101.3575
0.111520,0.005272,N1,ram,0.0322,6.1100
0.116686,0.005300,N0,package,0.8292,156.4444
0.116877,0.005463,N0,ram,0.0437,8.0049
0.117019,0.005509,N1,package,0.4286,77.8104
0.117051,0.005531,N1,ram,0.0247,4.4692
0.122269,0.005583,N0,package,1.0723,192.0656
0.122316,0.005439,N0,ram,0.0352,6.4693
0.122422,0.005403,N1,package,0.5209,96.4038
0.122433,0.005382,N1,ram,0.0302,5.6138
0.127565,0.005296,N0,package,0.9833,185.6559
0.127595,0.005279,N0,ram,0.0426,8.0705
0.127773,0.005351,N1,package,0.4526,84.5767
0.127876,0.005443,N1,ram,0.0267,4.9086
0.133052,0.005487,N0,package,0.8614,156.9883
0.133155,0.005560,N0,ram,0.0334,6.0128
0.133282,0.005509,N1,package,0.5143,93.3659
0.133302,0.005426,N1,ram,0.0315,5.8016
0.138482,0.005430,N0,package,0.8403,154.7465
0.138520,0.005365,N0,ram,0.0433,8.0661
0.138551,0.005269,N1,package,0.4339,82.3486
0.138560,0.005258,N1,ram,0.0255,4.8492
0.143703,0.005221,N0,package,1.0439,199.9437
0.143769,0.005249,N0,ram,0.0362,6.8983
0.143881,0.005330,N1,package,0.4532,85.0242
0.143914,0.005354,N1,ram,0.0260,4.8536
0.149076,0.005373,N0,package,0.8516,158.5005
0.149161,0.005392,N0,ram,0.0330,6.1153
0.149259,0.005378,N1,package,0.5144,95.6496
0.149291,0.005377,N1,ram,0.0316,5.8855
0.154435,0.005359,N0,package,0.8580,160.1125
0.154505,0.005344,N0,ram,0.0376,7.0356
0.154729,0.005470,N1,package,0.4285,78.3298
0.154844,0.005553,N1,ram,0.0249,4.4845
0.159980,0.005545,N0,package,1.0143,182.9138
0.160023,0.005518,N0,ram,0.0424,7.6931
0.160121,0.005392,N1,package,0.5181,96.0835
0.160154,0.005310,N1,ram,0.0320,6.0287
0.165360,0.005380,N0,package,0.8832,164.1735
0.165381,0.005358,N0,ram,0.0368,6.8633
0.165487,0.005366,N1,package,0.4446,82.8613
0.165498,0.005344,N1,ram,0.0258,4.8256
0.170817,0.005457,N0,package,1.0031,183.8158
0.170894,0.005513,N0,ram,0.0414,7.5004
0.171014,0.005527,N1,package,0.4443,80.3824
0.171035,0.005537,N1,ram,0.0261,4.7096
0.176178,0.005361,N0,package,0.8636,161.1030
0.176233,0.005339,N0,ram,0.0355,6.6506
0.176333,0.005319,N1,package,0.5236,98.4342
0.176367,0.005332,N1,ram,0.0318,5.9639
0.181563,0.005385,N0,package,0.8617,160.0128
0.181786,0.005553,N0,ram,0.0352,6.3475
0.181927,0.005594,N1,package,0.4343,77.6412
0.181959,0.005592,N1,ram,0.0256,4.5786
0.187123,0.005560,N0,package,1.0361,186.3575
0.187176,0.005390,N0,ram,0.0440,8.1702
0.187276,0.005349,N1,package,0.5430,101.5168
0.187309,0.005350,N1,ram,0.0322,6.0181
0.192459,0.005336,N0,package,0.8447,158.2943
0.192508,0.005332,N0,ram,0.0349,6.5391
0.192625,0.005349,N1,package,0.4351,81.3472
0.192819,0.005510,N1,ram,0.0266,4.8296
0.198031,0.005572,N0,package,1.0189,182.8587
0.198076,0.005568,N0,ram,0.0421,7.5554
0.198174,0.005549,N1,package,0.5133,92.5049
0.198207,0.005388,N1,ram,0.0306,5.6781
0.203351,0.005320,N0,package,0.8796,165.3319
0.203388,0.005312,N0,ram,0.0364,6.8539
0.203476,0.005302,N1,package,0.4460,84.1284
0.203487,0.005280,N1,ram,0.0260,4.9217
0.208674,0.005323,N0,package,0.9841,184.8736
0.208718,0.005330,N0,ram,0.0425,7.9814
0.208852,0.005376,N1,package,0.4431,82.4118
0.208885,0.005398,N1,ram,0.0264,4.8959
0.214029,0.005355,N0,package,0.8760,163.5888
0.214109,0.005391,N0,ram,0.0354,6.5639
0.214210,0.005358,N1,package,0.4256,79.4326
0.214230,0.005345,N1,ram,0.0260,4.8644
0.219381,0.005352,N0,package,0.8602,160.7299
0.219410,0.005301,N0,ram,0.0384,7.2422
0.219505,0.005295,N1,package,0.5226,98.7045
0.219516,0.005286,N1,ram,0.0309,5.8484
0.224825,0.005444,N0,package,0.9993,183.5635
0.224883,0.005473,N0,ram,0.0393,7.1790
0.224997,0.005492,N1,package,0.4448,80.9954
0.225030,0.005514,N1,ram,0.0275,4.9923
0.230195,0.005370,N0,package,0.8963,166.9120
0.230252,0.005369,N0,ram,0.0367,6.8408
0.230349,0.005352,N1,package,0.5155,96.3193
0.230382,0.005352,N1,ram,0.0298,5.5595
0.235492,0.005297,N0,package,0.8089,152.7104
0.235525,0.005273,N0,ram,0.0343,6.5050
0.235802,0.005453,N1,package,0.4454,81.6769
0.235918,0.005536,N1,ram,0.0264,4.7628
0.241041,0.005549,N0,package,1.0457,188.4527
0.241076,0.005551,N0,ram,0.0427,7.6887
0.241164,0.005362,N1,package,0.4373,81.5580
0.241175,0.005257,N1,ram,0.0263,5.0041
0.246326,0.005285,N0,package,0.8525,161.3122
0.246374,0.005298,N0,ram,0.0363,6.8573
0.246492,0.005328,N1,package,0.5408,101.5042
0.246526,0.005351,N1,ram,0.0322,6.0253
0.251687,0.005361,N0,package,0.8448,157.5779
0.251734,0.005360,N0,ram,0.0336,6.2688
0.251851,0.005359,N1,package,0.4125,76.9811
0.251884,0.005358,N1,ram,0.0247,4.6192
0.256993,0.005306,N0,package,1.0303,194.1827
0.257014,0.005280,N0,ram,0.0409,7.7536
0.257087,0.005236,N1,package,0.4367,83.4060
0.257095,0.005211,N1,ram,0.0271,5.2091
0.262231,0.005238,N0,package,0.8796,167.9323
0.262269,0.005255,N0,ram,0.0358,6.8120
0.262367,0.005280,N1,package,0.5481,103.8057
0.262386,0.005291,N1,ram,0.0342,6.4629
0.267541,0.005310,N0,package,0.8358,157.4094
0.267588,0.005319,N0,ram,0.0350,6.5836
0.267805,0.005438,N1,package,0.4465,82.1121
0.267923,0.005537,N1,ram,0.0257,4.6435
0.273070,0.005529,N0,package,1.0244,185.2636
0.273114,0.005526,N0,ram,0.0427,7.7263
0.273213,0.005408,N1,package,0.4105,75.9095
0.273246,0.005323,N1,ram,0.0244,4.5780
0.278402,0.005332,N0,package,0.8391,157.3615
0.278443,0.005329,N0,ram,0.0370,6.9377
0.278541,0.005328,N1,package,0.5377,100.9131
0.278583,0.005337,N1,ram,0.0331,6.1984
0.283748,0.005346,N0,package,0.8591,160.6921
0.283813,0.005370,N0,ram,0.0350,6.5213
0.283916,0.005375,N1,package,0.4518,84.0539
0.283949,0.005366,N1,ram,0.0261,4.8596
0.289148,0.005400,N0,package,1.0317,191.0647
0.289214,0.005401,N0,ram,0.0430,7.9696
0.289312,0.005396,N1,package,0.4357,80.7486
0.289332,0.005383,N1,ram,0.0262,4.8670
0.294476,0.005328,N0,package,0.8638,162.1207
0.294520,0.005306,N0,ram,0.0371,6.9996
0.294755,0.005443,N1,package,0.5152,94.6557
0.294873,0.005541,N1,ram,0.0311,5.6124
0.300015,0.005539,N0,package,0.8581,154.9201
0.300060,0.005540,N0,ram,0.0349,6.2992
0.300158,0.005403,N1,package,0.4366,80.8148
0.300191,0.005318,N1,ram,0.0262,4.9323
0.305335,0.005320,N0,package,1.0006,188.0821
0.305384,0.005324,N0,ram,0.0439,8.2486
0.305482,0.005324,N1,package,0.4539,85.2569
0.305515,0.005324,N1,ram,0.0270,5.0670
0.310839,0.005504,N0,package,0.8962,162.8375
0.310905,0.005521,N0,ram,0.0372,6.7463
0.311021,0.005539,N1,package,0.5146,92.9146
0.311054,0.005539,N1,ram,0.0315,5.6860
0.316240,0.005401,N0,package,1.0002,185.1802
0.316300,0.005395,N0,ram,0.0413,7.6620
0.316398,0.005377,N1,package,0.4465,83.0442
0.316431,0.005377,N1,ram,0.0256,4.7618
0.321592,0.005352,N0,package,0.8225,153.6821
0.321821,0.005521,N0,ram,0.0358,6.4920
0.321968,0.005570,N1,package,0.5314,95.4110
0.322000,0.005569,N1,ram,0.0314,5.6443
0.327157,0.005565,N0,package,1.0327,185.5646
0.327203,0.005382,N0,ram,0.0428,7.9497
0.327301,0.005333,N1,package,0.4713,88.3777
0.327334,0.005334,N1,ram,0.0273,5.1092
0.332473,0.005316,N0,package,0.8929,167.9609
0.332491,0.005288,N0,ram,0.0386,7.2919
0.332757,0.005456,N1,package,0.5056,92.6607
0.332794,0.005460,N1,ram,0.0314,5.7458
0.337899,0.005426,N0,package,0.8231,151.7012
0.337923,0.005432,N0,ram,0.0344,6.3343
0.338028,0.005271,N1,package,0.4446,84.3568
0.338039,0.005245,N1,ram,0.0248,4.7333
0.343176,0.005277,N0,package,1.0137,192.0867
0.343232,0.005309,N0,ram,0.0412,7.7546
0.343331,0.005303,N1,package,0.4681,88.2759
0.343364,0.005325,N1,ram,0.0275,5.1722
0.348544,0.005368,N0,package,0.8420,156.8519
0.348569,0.005337,N0,ram,0.0374,7.0047
0.348803,0.005472,N1,package,0.5117,93.5168
0.348906,0.005542,N1,ram,0.0325,5.8645
0.354074,0.005530,N0,package,0.8949,161.8294
0.354096,0.005527,N0,ram,0.0361,6.5402
0.354198,0.005395,N1,package,0.4533,84.0247
0.354209,0.005303,N1,ram,0.0248,4.6787
0.359342,0.005268,N0,package,0.9910,188.1188
0.359380,0.005284,N0,ram,0.0426,8.0711
0.359479,0.005281,N1,package,0.5106,96.6790
0.359500,0.005291,N1,ram,0.0327,6.1716
0.364668,0.005326,N0,package,0.8502,159.6233
0.364712,0.005332,N0,ram,0.0379,7.1114
0.364843,0.005364,N1,package,0.4370,81.4685
0.364854,0.005354,N1,ram,0.0252,4.6995
0.369995,0.005327,N0,package,0.8588,161.2217
0.370028,0.005316,N0,ram,0.0353,6.6477
