#timestamp,interval,socket,domain,energy,power
0.005174,0.005511,N0,package,0.5264,95.5113
0.005218,0.005345,N0,ram,0.0230,4.3078
0.005316,0.005321,N1,package,0.5134,96.4789
0.005341,0.005341,N1,ram,0.0309,5.7881
0.010526,0.005352,N0,package,0.4671,87.2758
0.010573,0.005355,N0,ram,0.0206,3.8525
0.010819,0.005503,N1,package,0.4279,77.7616
0.010937,0.005596,N1,ram,0.0251,4.4910
0.016109,0.005583,N0,package,0.6299,112.8206
0.016123,0.005550,N0,ram,0.0257,4.6298
0.016235,0.005416,N1,package,0.5238,96.7156
0.016250,0.005313,N1,ram,0.0329,6.1978
0.021327,0.005218,N0,package,0.5308,101.7286
0.021341,0.005218,N0,ram,0.0233,4.4568
0.021416,0.005181,N1,package,0.4355,84.0650
0.021424,0.005174,N1,ram,0.0263,5.0812
0.026544,0.005217,N0,package,0.6263,120.0501
0.026809,0.005468,N0,ram,0.0228,4.1746
0.026966,0.005550,N1,package,0.4312,77.6974
0.026999,0.005575,N1,ram,0.0253,4.5407
0.032203,0.005659,N0,package,0.5785,102.2231
0.032241,0.005432,N0,ram,0.0221,4.0704
0.032339,0.005373,N1,package,0.5262,97.9311
0.032373,0.005374,N1,ram,0.0313,5.8236
0.037560,0.005357,N0,package,0.6733,125.6814
0.037847,0.005606,N0,ram,0.0282,5.0299
0.038001,0.005662,N1,package,0.4368,77.1482
0.038033,0.005660,N1,ram,0.0267,4.7151
0.043202,0.005642,N0,package,0.6479,114.8452
0.043216,0.005369,N0,ram,0.0219,4.0755
0.043327,0.005326,N1,package,0.5198,97.5958
0.043338,0.005305,N1,ram,0.0313,5.8992
0.048493,0.005291,N0,package,0.6002,113.4304
0.048514,0.005298,N0,ram,0.0226,4.2742
0.048766,0.005439,N1,package,0.4652,85.5316
0.048888,0.005550,N1,ram,0.0275,4.9544
0.054076,0.005583,N0,package,0.6580,117.8494
0.054197,0.005683,N0,ram,0.0245,4.3066
0.054293,0.005527,N1,package,0.4861,87.9579
0.054299,0.005411,N1,ram,0.0291,5.3777
0.059403,0.005327,N0,package,0.6638,124.6142
0.059416,0.005219,N0,ram,0.0301,5.7685
0.059508,0.005215,N1,package,0.4481,85.9185
0.059519,0.005220,N1,ram,0.0263,5.0364
0.064652,0.005249,N0,package,0.6591,125.5581
0.064686,0.005270,N0,ram,0.0307,5.8227
0.064923,0.005415,N1,package,0.4276,78.9652
0.065039,0.005520,N1,ram,0.0259,4.6966
0.070154,0.005502,N0,package,0.8676,157.6912
0.070192,0.005506,N0,ram,0.0402,7.3026
0.070291,0.005368,N1,package,0.5149,95.9190
0.070324,0.005285,N1,ram,0.0310,5.8581
0.075445,0.005291,N0,package,0.6621,125.1391
0.075479,0.005287,N0,ram,0.0317,5.9942
0.075775,0.005484,N1,package,0.4349,79.3009
0.075893,0.005569,N1,ram,0.0259,4.6525
0.081010,0.005565,N0,package,0.7819,140.5088
0.081025,0.005546,N0,ram,0.0377,6.7932
0.081104,0.005329,N1,package,0.5070,95.1410
0.081113,0.005220,N1,ram,0.0318,6.0977
0.086217,0.005207,N0,package,0.7048,135.3495
0.086230,0.005205,N0,ram,0.0345,6.6310
0.086314,0.005210,N1,package,0.4528,86.9032
0.086323,0.005210,N1,ram,0.0269,5.1603
0.091427,0.005210,N0,package,0.6802,130.5656
0.091441,0.005211,N0,ram,0.0326,6.2606
0.091517,0.005203,N1,package,0.4272,82.1152
0.091525,0.005202,N1,ram,0.0264,5.0688
0.096665,0.005238,N0,package,0.6280,119.8900
0.096699,0.005258,N0,ram,0.0311,5.9084
0.096801,0.005284,N1,package,0.4357,82.4610
0.096835,0.005310,N1,ram,0.0259,4.8851
0.101955,0.005290,N0,package,0.7679,145.1682
0.101986,0.005287,N0,ram,0.0386,7.2990
0.102089,0.005288,N1,package,0.4168,78.8234
0.102109,0.005274,N1,ram,0.0254,4.8171
0.107226,0.005271,N0,package,0.6483,122.9861
0.107242,0.005256,N0,ram,0.0325,6.1895
0.107316,0.005227,N1,package,0.5253,100.5014
0.107325,0.005216,N1,ram,0.0320,6.1288
0.112438,0.005212,N0,package,0.6235,119.6330
0.112474,0.005232,N0,ram,0.0329,6.2965
0.112577,0.005261,N1,package,0.4473,85.0162
0.112619,0.005294,N1,ram,0.0265,5.0007
0.117743,0.005305,N0,package,0.7797,146.9662
0.117773,0.005299,N0,ram,0.0388,7.3168
0.117879,0.005302,N1,package,0.4292,80.9512
0.117912,0.005293,N1,ram,0.0261,4.9353
0.123034,0.005291,N0,package,0.6340,119.8212
0.123066,0.005293,N0,ram,0.0329,6.2241
0.123169,0.005290,N1,package,0.4290,81.0990
0.123202,0.005290,N1,ram,0.0259,4.8922
0.128315,0.005281,N0,package,0.6600,124.9835
0.128331,0.005265,N0,ram,0.0326,6.1963
0.128406,0.005237,N1,package,0.5180,98.9107
0.128414,0.005212,N1,ram,0.0305,5.8522
0.133534,0.005219,N0,package,0.6216,119.1119
0.133593,0.005262,N0,ram,0.0312,5.9215
0.133809,0.005403,N1,package,0.4393,81.3041
0.133926,0.005512,N1,ram,0.0270,4.8971
0.139051,0.005517,N0,package,0.7888,142.9794
0.139088,0.005495,N0,ram,0.0399,7.2641
0.139186,0.005377,N1,package,0.4297,79.9227
0.139220,0.005294,N1,ram,0.0257,4.8623
0.144331,0.005280,N0,package,0.6754,127.9075
0.144347,0.005259,N0,ram,0.0348,6.6153
0.144419,0.005233,N1,package,0.5180,98.9873
0.144427,0.005207,N1,ram,0.0312,5.9927
