#timestamp,interval,socket,domain,energy,power
0.005171,0.005703,N0,package,0.4696,82.3438
0.005194,0.005543,N0,ram,0.0177,3.1850
0.005294,0.005393,N1,package,0.5436,100.8042
0.005305,0.005305,N1,ram,0.0290,5.4736
0.010464,0.005293,N0,package,0.5616,106.1132
0.010487,0.005293,N0,ram,0.0236,4.4539
0.010783,0.005489,N1,package,0.4769,86.8901
0.010892,0.005587,N1,ram,0.0255,4.5666
0.016052,0.005588,N0,package,0.4623,82.7265
0.016072,0.005585,N0,ram,0.0198,3.5463
0.016181,0.005398,N1,package,0.4893,90.6363
0.016199,0.005307,N1,ram,0.0271,5.1148
0.021358,0.005306,N0,package,0.5655,106.5756
0.021378,0.005306,N0,ram,0.0226,4.2676
0.021500,0.005319,N1,package,0.5945,111.7748
0.021512,0.005313,N1,ram,0.0319,5.9968
0.026839,0.005481,N0,package,0.4601,83.9414
0.026863,0.005485,N0,ram,0.0179,3.2715
0.026962,0.005462,N1,package,0.5063,92.7049
0.026970,0.005458,N1,ram,0.0278,5.0994
0.032162,0.005323,N0,package,0.4837,90.8716
0.032194,0.005331,N0,ram,0.0198,3.7125
0.032299,0.005337,N1,package,0.4587,85.9547
0.032332,0.005362,N1,ram,0.0267,4.9771
0.037506,0.005344,N0,package,0.5200,97.3063
0.037538,0.005344,N0,ram,0.0207,3.8774
0.037747,0.005448,N1,package,0.5060,92.8882
0.037882,0.005550,N1,ram,0.0302,5.4408
0.043062,0.005556,N0,package,0.6144,110.5931
0.043094,0.005556,N0,ram,0.0216,3.8917
0.043198,0.005451,N1,package,0.4573,83.8964
0.043218,0.005336,N1,ram,0.0278,5.2132
0.048395,0.005333,N0,package,0.6646,124.6237
0.048434,0.005340,N0,ram,0.0236,4.4261
0.048544,0.005346,N1,package,0.5204,97.3444
0.048570,0.005352,N1,ram,0.0311,5.8133
0.053902,0.005507,N0,package,0.5636,102.3424
0.053924,0.005490,N0,ram,0.0194,3.5409
0.054009,0.005465,N1,package,0.4466,81.7185
0.054018,0.005448,N1,ram,0.0254,4.6577
0.059156,0.005254,N0,package,0.5737,109.1982
0.059170,0.005246,N0,ram,0.0219,4.1769
0.059273,0.005264,N1,package,0.4500,85.4763
0.059282,0.005264,N1,ram,0.0262,4.9857
0.064425,0.005269,N0,package,0.7902,149.9743
0.064471,0.005301,N0,ram,0.0306,5.7742
0.064611,0.005338,N1,package,0.5511,103.2393
0.064632,0.005350,N1,ram,0.0318,5.9411
0.069769,0.005344,N0,package,0.8740,163.5549
0.069817,0.005346,N0,ram,0.0370,6.9186
0.069914,0.005303,N1,package,0.4296,81.0135
0.069934,0.005302,N1,ram,0.0262,4.9357
0.075077,0.005308,N0,package,0.7981,150.3529
0.075113,0.005296,N0,ram,0.0351,6.6239
0.075212,0.005298,N1,package,0.5106,96.3816
0.075245,0.005311,N1,ram,0.0321,6.0506
0.080375,0.005298,N0,package,1.0103,190.6895
0.080421,0.005308,N0,ram,0.0432,8.1383
0.080518,0.005306,N1,package,0.4845,91.3111
0.080538,0.005293,N1,ram,0.0258,4.8805
0.085706,0.005331,N0,package,0.8694,163.0798
0.085758,0.005337,N0,ram,0.0372,6.9732
0.085858,0.005340,N1,package,0.4351,81.4701
0.085878,0.005340,N1,ram,0.0259,4.8492
0.090991,0.005285,N0,package,0.8173,154.6486
0.091012,0.005254,N0,ram,0.0356,6.7784
0.091116,0.005258,N1,package,0.4332,82.3964
0.091128,0.005250,N1,ram,0.0257,4.8884
