#timestamp,interval,socket,domain,energy,power
0.005154,0.005445,N0,package,0.4522,83.0504
0.005187,0.005312,N0,ram,0.0218,4.1048
0.005270,0.005275,N1,package,0.4601,87.2349
0.005278,0.005278,N1,ram,0.0269,5.0996
0.010438,0.005284,N0,package,0.4214,79.7582
0.010461,0.005274,N0,ram,0.0222,4.2096
0.010564,0.005294,N1,package,0.5618,106.1238
0.010582,0.005304,N1,ram,0.0308,5.8140
0.015879,0.005441,N0,package,0.5190,95.3844
0.015963,0.005502,N0,ram,0.0244,4.4290
0.016056,0.005492,N1,package,0.4676,85.1407
0.016073,0.005491,N1,ram,0.0267,4.8686
0.021212,0.005333,N0,package,0.4641,87.0272
0.021226,0.005263,N0,ram,0.0231,4.3894
0.021329,0.005273,N1,package,0.5161,97.8766
0.021337,0.005264,N1,ram,0.0277,5.2584
0.026488,0.005276,N0,package,0.4338,82.2291
0.026508,0.005282,N0,ram,0.0248,4.6973
0.026616,0.005287,N1,package,0.4709,89.0776
0.026624,0.005287,N1,ram,0.0261,4.9293
0.031941,0.005453,N0,package,0.5484,100.5666
0.032029,0.005521,N0,ram,0.0202,3.6647
0.032046,0.005430,N1,package,0.5458,100.5116
0.032052,0.005428,N1,ram,0.0301,5.5437
0.037191,0.005250,N0,package,0.4501,85.7402
0.037308,0.005279,N0,ram,0.0212,4.0235
0.037412,0.005366,N1,package,0.5707,106.3605
0.037420,0.005368,N1,ram,0.0287,5.3554
0.042580,0.005389,N0,package,0.4940,91.6608
0.042596,0.005288,N0,ram,0.0226,4.2794
0.042708,0.005296,N1,package,0.5844,110.3498
0.042716,0.005296,N1,ram,0.0313,5.9122
0.047971,0.005391,N0,package,0.5527,102.5313
0.048072,0.005476,N0,ram,0.0255,4.6562
0.048168,0.005460,N1,package,0.5073,92.9049
0.048186,0.005470,N1,ram,0.0269,4.9207
0.053335,0.005364,N0,package,0.5382,100.3337
0.053460,0.005388,N0,ram,0.0241,4.4802
0.053581,0.005413,N1,package,0.5309,98.0790
0.053587,0.005401,N1,ram,0.0277,5.1304
0.058933,0.005598,N0,package,0.4332,77.3811
0.058961,0.005501,N0,ram,0.0235,4.2800
0.059127,0.005546,N1,package,0.5632,101.5548
0.059139,0.005552,N1,ram,0.0287,5.1780
0.064254,0.005321,N0,package,0.5813,109.2456
0.064285,0.005324,N0,ram,0.0194,3.6428
0.064390,0.005263,N1,package,0.4592,87.2429
0.064410,0.005271,N1,ram,0.0263,4.9877
0.069521,0.005267,N0,package,0.5272,100.0847
0.069535,0.005250,N0,ram,0.0251,4.7869
0.069612,0.005222,N1,package,0.5433,104.0387
0.069620,0.005210,N1,ram,0.0303,5.8078
0.074736,0.005215,N0,package,0.5983,114.7336
0.074753,0.005218,N0,ram,0.0267,5.1204
0.074856,0.005244,N1,package,0.4454,84.9298
0.074864,0.005244,N1,ram,0.0271,5.1677
0.079977,0.005241,N0,package,0.4925,93.9707
0.080008,0.005255,N0,ram,0.0199,3.7893
0.080111,0.005255,N1,package,0.4514,85.9025
0.080131,0.005267,N1,ram,0.0256,4.8671
0.085252,0.005275,N0,package,0.5349,101.3934
0.085283,0.005275,N0,ram,0.0223,4.2233
0.085385,0.005274,N1,package,0.4267,80.9048
