#timestamp,interval,socket,domain,energy,power
0.005165,0.005707,N0,package,0.5297,92.8197
0.005198,0.005527,N0,ram,0.0267,4.8396
0.005297,0.005393,N1,package,0.5980,110.8881
0.005309,0.005309,N1,ram,0.0316,5.9496
0.010471,0.005306,N0,package,0.4615,86.9859
0.010494,0.005296,N0,ram,0.0226,4.2613
0.010609,0.005312,N1,package,0.4350,81.8901
0.010617,0.005308,N1,ram,0.0248,4.6770
0.015826,0.005355,N0,package,0.4424,82.6093
0.015926,0.005432,N0,ram,0.0215,3.9552
0.016063,0.005454,N1,package,0.5669,103.9398
0.016076,0.005459,N1,ram,0.0306,5.6073
0.021236,0.005410,N0,package,0.5408,99.9699
0.021252,0.005326,N0,ram,0.0257,4.8332
0.021385,0.005322,N1,package,0.4484,84.2591
0.021396,0.005320,N1,ram,0.0243,4.5747
0.026597,0.005361,N0,package,0.4929,91.9441
0.026853,0.005601,N0,ram,0.0236,4.2118
0.026961,0.005576,N1,package,0.5890,105.6313
0.026970,0.005574,N1,ram,0.0366,6.5590
0.032189,0.005592,N0,package,0.4728,84.5475
0.032334,0.005481,N0,ram,0.0215,3.9309
0.032433,0.005472,N1,package,0.4537,82.9092
0.032453,0.005483,N1,ram,0.0257,4.6837
0.037793,0.005604,N0,package,0.6002,107.1050
0.037928,0.005594,N0,ram,0.0250,4.4680
0.038040,0.005607,N1,package,0.5226,93.2106
0.038051,0.005598,N1,ram,0.0312,5.5687
0.043227,0.005434,N0,package,0.6661,122.5749
0.043347,0.005419,N0,ram,0.0279,5.1473
0.043455,0.005415,N1,package,0.4314,79.6675
0.043476,0.005425,N1,ram,0.0247,4.5453
0.048802,0.005575,N0,package,0.5557,99.6717
0.048893,0.005546,N0,ram,0.0229,4.1352
0.048985,0.005530,N1,package,0.5452,98.5812
0.048996,0.005520,N1,ram,0.0324,5.8767
0.054210,0.005408,N0,package,0.5500,101.6980
0.054338,0.005445,N0,ram,0.0222,4.0858
0.054472,0.005487,N1,package,0.4301,78.3773
0.054492,0.005496,N1,ram,0.0251,4.5698
0.059760,0.005550,N0,package,0.7059,127.1972
0.059871,0.005533,N0,ram,0.0266,4.8096
0.059988,0.005516,N1,package,0.4528,82.0802
0.059996,0.005504,N1,ram,0.0271,4.9209
0.065196,0.005436,N0,package,0.5153,94.7986
0.065367,0.005496,N0,ram,0.0203,3.6925
0.065491,0.005503,N1,package,0.5017,91.1711
0.065511,0.005515,N1,ram,0.0316,5.7299
0.070652,0.005456,N0,package,0.6348,116.3494
0.070697,0.005330,N0,ram,0.0307,5.7659
0.070796,0.005305,N1,package,0.4338,81.7783
0.070820,0.005309,N1,ram,0.0244,4.6016
0.076000,0.005348,N0,package,0.5285,98.8232
0.076117,0.005420,N0,ram,0.0253,4.6706
0.076228,0.005432,N1,package,0.5188,95.5098
0.076247,0.005427,N1,ram,0.0325,5.9943
0.081445,0.005445,N0,package,0.6794,124.7829
0.081575,0.005458,N0,ram,0.0339,6.2035
0.081799,0.005571,N1,package,0.4283,76.8898
0.081915,0.005668,N1,ram,0.0253,4.4716
0.087090,0.005645,N0,package,0.5556,98.4233
0.087202,0.005627,N0,ram,0.0292,5.1822
0.087302,0.005503,N1,package,0.5155,93.6737
0.087311,0.005396,N1,ram,0.0316,5.8591
0.092481,0.005391,N0,package,0.6664,123.6241
0.092643,0.005441,N0,ram,0.0338,6.2116
0.092755,0.005453,N1,package,0.4568,83.7812
0.092776,0.005465,N1,ram,0.0271,4.9589
0.097957,0.005476,N0,package,0.5663,103.4121
0.098076,0.005433,N0,ram,0.0304,5.5892
0.098183,0.005428,N1,package,0.5120,94.3176
0.098203,0.005427,N1,ram,0.0305,5.6147
0.103391,0.005434,N0,package,0.6329,116.4647
0.103507,0.005431,N0,ram,0.0350,6.4424
0.103628,0.005445,N1,package,0.4415,81.0775
0.103659,0.005456,N1,ram,0.0266,4.8803
0.108833,0.005442,N0,package,0.5436,99.8877
0.108950,0.005443,N0,ram,0.0299,5.4973
0.109073,0.005445,N1,package,0.5010,92.0067
0.109084,0.005425,N1,ram,0.0315,5.8026
0.114259,0.005426,N0,package,0.5314,97.9277
0.114375,0.005425,N0,ram,0.0280,5.1529
0.114484,0.005411,N1,package,0.4329,80.0092
0.114504,0.005420,N1,ram,0.0255,4.7100
0.119825,0.005566,N0,package,0.6550,117.6756
0.119929,0.005554,N0,ram,0.0348,6.2668
0.120065,0.005581,N1,package,0.4244,76.0378
0.120085,0.005581,N1,ram,0.0255,4.5740
0.125265,0.005440,N0,package,0.5341,98.1836
0.125408,0.005479,N0,ram,0.0282,5.1437
0.125506,0.005441,N1,package,0.5394,99.1424
0.125527,0.005442,N1,ram,0.0320,5.8715
0.130814,0.005549,N0,package,0.6434,115.9447
0.131011,0.005603,N0,ram,0.0338,6.0266
0.131153,0.005647,N1,package,0.4073,72.1253
0.131182,0.005655,N1,ram,0.0253,4.4710
0.136355,0.005541,N0,package,0.6508,117.4421
0.136483,0.005472,N0,ram,0.0343,6.2631
0.136585,0.005432,N1,package,0.5246,96.5730
0.136617,0.005435,N1,ram,0.0310,5.7049
0.141876,0.005521,N0,package,0.5555,100.6113
