#timestamp,interval,socket,domain,energy,power
0.005296,0.005423,N0,package,0.4601,84.8419
0.005335,0.005442,N0,ram,0.0229,4.2143
0.005419,0.005425,N1,package,0.4127,76.0664
0.005426,0.005426,N1,ram,0.0246,4.5415
0.010602,0.005306,N0,package,0.5723,107.8639
0.010615,0.005280,N0,ram,0.0286,5.4215
0.010723,0.005304,N1,package,0.5065,95.4980
0.010735,0.005309,N1,ram,0.0316,5.9467
0.015905,0.005303,N0,package,0.4740,89.3807
0.015936,0.005321,N0,ram,0.0214,4.0233
0.016041,0.005318,N1,package,0.4418,83.0723
0.016072,0.005337,N1,ram,0.0262,4.9090
0.021267,0.005362,N0,package,0.5536,103.2537
0.021305,0.005369,N0,ram,0.0256,4.7690
0.021404,0.005363,N1,package,0.5025,93.6982
0.021425,0.005353,N1,ram,0.0307,5.7353
0.026538,0.005271,N0,package,0.5412,102.6756
0.026552,0.005247,N0,ram,0.0261,4.9669
0.026641,0.005237,N1,package,0.4360,83.2589
0.026648,0.005223,N1,ram,0.0258,4.9372
0.031763,0.005225,N0,package,0.6088,116.5112
0.031793,0.005241,N0,ram,0.0223,4.2595
0.031897,0.005256,N1,package,0.4465,84.9462
0.031918,0.005270,N1,ram,0.0274,5.2059
0.037060,0.005297,N0,package,0.5352,101.0426
0.037090,0.005297,N0,ram,0.0217,4.0963
0.037314,0.005417,N1,package,0.4349,80.2782
0.037451,0.005533,N1,ram,0.0251,4.5366
0.042625,0.005565,N0,package,0.6240,112.1193
0.042639,0.005549,N0,ram,0.0271,4.8782
0.042750,0.005436,N1,package,0.4951,91.0821
0.042761,0.005310,N1,ram,0.0315,5.9397
0.047932,0.005307,N0,package,0.5657,106.5910
0.047971,0.005332,N0,ram,0.0213,4.0007
0.048246,0.005496,N1,package,0.4510,82.0684
0.048364,0.005603,N1,ram,0.0271,4.8366
0.053562,0.005630,N0,package,0.5469,97.1464
0.053593,0.005622,N0,ram,0.0215,3.8295
0.053709,0.005463,N1,package,0.4316,79.0021
0.053720,0.005356,N1,ram,0.0266,4.9715
0.058836,0.005274,N0,package,0.6498,123.2087
0.058870,0.005277,N0,ram,0.0253,4.7856
0.058974,0.005265,N1,package,0.5193,98.6417
0.058994,0.005274,N1,ram,0.0310,5.8732
0.064272,0.005436,N0,package,0.5023,92.4030
0.064303,0.005433,N0,ram,0.0207,3.8083
0.064395,0.005421,N1,package,0.4190,77.2909
0.064403,0.005409,N1,ram,0.0254,4.7026
0.069575,0.005303,N0,package,0.6807,128.3683
0.069613,0.005310,N0,ram,0.0317,5.9770
0.069712,0.005317,N1,package,0.5177,97.3675
0.069732,0.005329,N1,ram,0.0325,6.1074
0.074914,0.005339,N0,package,0.5491,102.8504
0.074946,0.005333,N0,ram,0.0276,5.1674
0.075063,0.005351,N1,package,0.4503,84.1470
0.075227,0.005495,N1,ram,0.0260,4.7374
0.080399,0.005485,N0,package,0.5759,105.0040
0.080520,0.005574,N0,ram,0.0284,5.0945
0.080638,0.005575,N1,package,0.5185,93.0003
0.080649,0.005422,N1,ram,0.0321,5.9154
0.085728,0.005329,N0,package,0.4590,86.1274
0.085742,0.005222,N0,ram,0.0253,4.8478
0.085867,0.005229,N1,package,0.4265,81.5670
0.085878,0.005229,N1,ram,0.0260,4.9725
0.091001,0.005273,N0,package,0.9299,176.3617
0.091016,0.005274,N0,ram,0.0331,6.2811
0.091274,0.005407,N1,package,0.4630,85.6344
0.091378,0.005500,N1,ram,0.0263,4.7829
0.096495,0.005494,N0,package,0.8568,155.9507
0.096530,0.005514,N0,ram,0.0367,6.6468
0.096632,0.005358,N1,package,0.4975,92.8517
0.096652,0.005274,N1,ram,0.0298,5.6506
0.101741,0.005246,N0,package,0.8026,152.9857
0.101755,0.005225,N0,ram,0.0361,6.9125
0.101875,0.005243,N1,package,0.4435,84.5844
0.101886,0.005234,N1,ram,0.0265,5.0639
0.107012,0.005271,N0,package,1.0608,201.2520
0.107079,0.005324,N0,ram,0.0442,8.3002
0.107179,0.005304,N1,package,0.4255,80.2165
0.107200,0.005314,N1,ram,0.0265,4.9933
0.112292,0.005280,N0,package,0.8763,165.9619
0.112309,0.005230,N0,ram,0.0392,7.4862
0.112421,0.005242,N1,package,0.4247,81.0290
0.112432,0.005232,N1,ram,0.0261,4.9814
0.117544,0.005252,N0,package,0.9009,171.5382
0.117567,0.005258,N0,ram,0.0357,6.7909
0.117677,0.005256,N1,package,0.5400,102.7437
0.117688,0.005256,N1,ram,0.0267,5.0745
0.122799,0.005255,N0,package,0.8706,165.6723
0.122824,0.005257,N0,ram,0.0353,6.7193
0.122936,0.005259,N1,package,0.4351,82.7413
0.122947,0.005259,N1,ram,0.0311,5.9189
0.128099,0.005300,N0,package,1.0923,206.1013
0.128139,0.005315,N0,ram,0.0414,7.7947
0.128278,0.005342,N1,package,0.4445,83.2120
0.128299,0.005352,N1,ram,0.0262,4.9040
0.133421,0.005322,N0,package,0.8704,163.5409
0.133454,0.005315,N0,ram,0.0356,6.7006
0.133555,0.005277,N1,package,0.4254,80.6029
0.133589,0.005290,N1,ram,0.0256,4.8314
