#timestamp,interval,socket,domain,energy,power
0.005168,0.005455,N0,package,0.4954,90.8196
0.005186,0.005297,N0,ram,0.0190,3.5863
0.005304,0.005309,N1,package,0.4732,89.1310
0.005316,0.005316,N1,ram,0.0295,5.5455
0.010475,0.005307,N0,package,0.5876,110.7198
0.010724,0.005538,N0,ram,0.0223,4.0227
0.010877,0.005573,N1,package,0.4503,80.7954
0.010910,0.005594,N1,ram,0.0257,4.5853
0.016079,0.005604,N0,package,0.5151,91.9117
0.016094,0.005370,N0,ram,0.0183,3.4098
0.016211,0.005334,N1,package,0.5486,102.8440
0.016227,0.005317,N1,ram,0.0314,5.8975
0.021340,0.005261,N0,package,0.6068,115.3311
0.021372,0.005278,N0,ram,0.0233,4.4174
0.021679,0.005468,N1,package,0.4235,77.4452
0.021785,0.005558,N1,ram,0.0252,4.5326
0.026899,0.005559,N0,package,0.5016,90.2264
0.026929,0.005557,N0,ram,0.0163,2.9382
0.027033,0.005354,N1,package,0.5179,96.7253
0.027054,0.005269,N1,ram,0.0317,6.0148
0.032166,0.005267,N0,package,0.6476,122.9648
0.032180,0.005251,N0,ram,0.0222,4.2250
0.032259,0.005226,N1,package,0.4286,82.0242
0.032267,0.005213,N1,ram,0.0259,4.9701
0.037372,0.005206,N0,package,0.5664,108.8015
0.037386,0.005206,N0,ram,0.0182,3.5026
0.037467,0.005208,N1,package,0.4465,85.7396
0.037475,0.005208,N1,ram,0.0264,5.0718
0.042770,0.005398,N0,package,0.7042,130.4479
0.042811,0.005425,N0,ram,0.0236,4.3512
0.042923,0.005456,N1,package,0.4449,81.5410
0.042944,0.005469,N1,ram,0.0270,4.9383
0.048065,0.005295,N0,package,0.6401,120.8937
0.048096,0.005285,N0,ram,0.0204,3.8515
0.048200,0.005277,N1,package,0.5040,95.5157
0.048220,0.005276,N1,ram,0.0309,5.8624
0.053334,0.005269,N0,package,0.5831,110.6708
0.053348,0.005252,N0,ram,0.0174,3.3062
0.053425,0.005225,N1,package,0.4379,83.7992
0.053433,0.005213,N1,ram,0.0256,4.9174

libgomp: Invalid value for environment variable OMP_NUM_THREADS
0.058518,0.005184,N0,package,0.4872,93.9793
0.058535,0.005187,N0,ram,0.0193,3.7213
0.058653,0.005228,N1,package,0.4442,84.9597
0.058661,0.005228,N1,ram,0.0266,5.0930
0.063803,0.005285,N0,package,0.9745,184.3865
0.063851,0.005316,N0,ram,0.0373,7.0126
0.063951,0.005298,N1,package,0.5126,96.7459
0.063971,0.005310,N1,ram,0.0307,5.7759
0.069108,0.005305,N0,package,0.8506,160.3466
0.069166,0.005315,N0,ram,0.0341,6.4078
0.069269,0.005318,N1,package,0.4461,83.8872
0.069290,0.005319,N1,ram,0.0273,5.1323
0.074449,0.005341,N0,package,0.8831,165.3338
0.074503,0.005337,N0,ram,0.0363,6.7988
0.074754,0.005485,N1,package,0.4557,83.0782
0.074858,0.005568,N1,ram,0.0269,4.8396
0.080012,0.005563,N0,package,1.0428,187.4605
0.080063,0.005560,N0,ram,0.0421,7.5743
0.080158,0.005404,N1,package,0.5154,95.3816
0.080184,0.005326,N1,ram,0.0298,5.6010
0.085322,0.005310,N0,package,0.8277,155.8806
0.085376,0.005313,N0,ram,0.0336,6.3271
0.085479,0.005321,N1,package,0.4157,78.1260
0.085510,0.005326,N1,ram,0.0266,4.9965
0.090670,0.005348,N0,package,1.0236,191.3923
0.090751,0.005375,N0,ram,0.0418,7.7700
0.090852,0.005373,N1,package,0.4360,81.1530
0.090873,0.005363,N1,ram,0.0262,4.8852
0.096019,0.005349,N0,package,0.8475,158.4311
0.096085,0.005334,N0,ram,0.0343,6.4392
0.096189,0.005337,N1,package,0.5333,99.9298
0.096211,0.005338,N1,ram,0.0305,5.7142
0.101354,0.005335,N0,package,0.8776,164.4962
0.101398,0.005313,N0,ram,0.0372,6.9991
0.101491,0.005302,N1,package,0.4432,83.5989
0.101515,0.005304,N1,ram,0.0267,5.0315
0.106720,0.005366,N0,package,0.8669,161.5483
0.106758,0.005360,N0,ram,0.0435,8.1078
0.106873,0.005382,N1,package,0.4257,79.0885
0.106887,0.005372,N1,ram,0.0266,4.9508
0.112039,0.005319,N0,package,1.0228,192.2926
0.112135,0.005377,N0,ram,0.0346,6.4360
0.112236,0.005363,N1,package,0.5056,94.2787
0.112257,0.005370,N1,ram,0.0313,5.8337
0.117431,0.005392,N0,package,0.8467,157.0413
0.117466,0.005331,N0,ram,0.0360,6.7463
0.117704,0.005468,N1,package,0.4531,82.8590
0.117823,0.005566,N1,ram,0.0260,4.6770
0.122957,0.005526,N0,package,1.0543,190.7795
0.123004,0.005538,N0,ram,0.0435,7.8553
0.123105,0.005401,N1,package,0.5374,99.5003
0.123126,0.005303,N1,ram,0.0327,6.1661
0.128272,0.005315,N0,package,0.8588,161.5833
0.128319,0.005315,N0,ram,0.0363,6.8212
0.128406,0.005301,N1,package,0.4355,82.1517
0.128417,0.005291,N1,ram,0.0258,4.8738
0.133748,0.005476,N0,package,0.8393,153.2679
0.133792,0.005473,N0,ram,0.0422,7.7174
0.133902,0.005496,N1,package,0.4259,77.4930
0.133914,0.005497,N1,ram,0.0254,4.6273
0.139050,0.005302,N0,package,1.0536,198.7172
0.139115,0.005323,N0,ram,0.0353,6.6388
0.139217,0.005315,N1,package,0.5048,94.9837
0.139238,0.005324,N1,ram,0.0313,5.8755
0.144395,0.005345,N0,package,0.8297,155.2238
0.144451,0.005336,N0,ram,0.0347,6.5115
0.144556,0.005339,N1,package,0.4416,82.7079
0.144577,0.005339,N1,ram,0.0259,4.8470
0.149713,0.005318,N0,package,0.8808,165.6207
0.149786,0.005335,N0,ram,0.0428,8.0311
0.149890,0.005334,N1,package,0.4327,81.1300
0.149910,0.005333,N1,ram,0.0262,4.9070
0.155058,0.005345,N0,package,1.0052,188.0660
0.155125,0.005339,N0,ram,0.0356,6.6678
0.155224,0.005334,N1,package,0.5117,95.9328
0.155244,0.005334,N1,ram,0.0311,5.8301
0.160379,0.005321,N0,package,0.8599,161.5973
0.160401,0.005276,N0,ram,0.0362,6.8688
0.160494,0.005270,N1,package,0.4376,83.0286
0.160517,0.005273,N1,ram,0.0266,5.0466
0.165723,0.005344,N0,package,1.0211,191.0720
0.165777,0.005376,N0,ram,0.0435,8.0834
0.165878,0.005384,N1,package,0.4447,82.5975
0.165899,0.005382,N1,ram,0.0263,4.8792
0.171083,0.005360,N0,package,0.8660,161.5757
0.171129,0.005352,N0,ram,0.0368,6.8681
0.171259,0.005381,N1,package,0.5414,100.6237
0.171276,0.005377,N1,ram,0.0323,6.0132
0.176416,0.005333,N0,package,0.8842,165.7911
0.176447,0.005318,N0,ram,0.0347,6.5248
0.176538,0.005279,N1,package,0.4504,85.3141
0.176548,0.005272,N1,ram,0.0261,4.9551
0.181733,0.005317,N0,package,0.8108,152.4911
0.181807,0.005360,N0,ram,0.0352,6.5674
0.181910,0.005372,N1,package,0.4068,75.7252
0.181930,0.005382,N1,ram,0.0249,4.6184
0.187081,0.005348,N0,package,1.0571,197.6605
0.187133,0.005326,N0,ram,0.0444,8.3427
0.187234,0.005324,N1,package,0.5239,98.4104
0.187267,0.005337,N1,ram,0.0321,6.0155
0.192418,0.005337,N0,package,0.8459,158.5061
0.192477,0.005344,N0,ram,0.0353,6.6044
0.192614,0.005380,N1,package,0.4528,84.1648
0.192635,0.005368,N1,ram,0.0266,4.9517
0.197769,0.005351,N0,package,0.8624,161.1649
0.197795,0.005318,N0,ram,0.0366,6.8835
0.197894,0.005280,N1,package,0.4113,77.9005
0.197906,0.005271,N1,ram,0.0248,4.7071
0.203069,0.005300,N0,package,1.0395,196.1285
0.203122,0.005327,N0,ram,0.0426,7.9975
0.203233,0.005339,N1,package,0.5356,100.3171
0.203254,0.005348,N1,ram,0.0320,5.9860
0.208400,0.005331,N0,package,0.8463,158.7521
0.208451,0.005329,N0,ram,0.0340,6.3794
0.208687,0.005454,N1,package,0.4576,83.8972
0.208804,0.005550,N1,ram,0.0269,4.8444
0.213966,0.005566,N0,package,1.0255,184.2498
0.214014,0.005563,N0,ram,0.0434,7.7981
0.214126,0.005439,N1,package,0.4375,80.4405
0.214146,0.005342,N1,ram,0.0254,4.7473
0.219294,0.005328,N0,package,0.8453,158.6426
0.219346,0.005332,N0,ram,0.0362,6.7938
0.219447,0.005321,N1,package,0.5333,100.2183
0.219468,0.005322,N1,ram,0.0320,6.0038
0.224694,0.005400,N0,package,0.8660,160.3772
0.224733,0.005387,N0,ram,0.0358,6.6538
0.224854,0.005407,N1,package,0.4581,84.7163
0.224866,0.005398,N1,ram,0.0279,5.1729
0.230107,0.005413,N0,package,1.0396,192.0564
0.230157,0.005424,N0,ram,0.0417,7.6828
0.230256,0.005402,N1,package,0.4955,91.7207
