#timestamp,interval,socket,domain,energy,power
0.005172,0.005656,N0,package,0.5954,105.2683
0.005190,0.005493,N0,ram,0.0267,4.8697
0.005311,0.005420,N1,package,0.5463,100.7874
0.005323,0.005323,N1,ram,0.0333,6.2578
0.010485,0.005313,N0,package,0.4870,91.6633
0.010529,0.005339,N0,ram,0.0191,3.5724
0.010778,0.005467,N1,package,0.4195,76.7330
0.010895,0.005572,N1,ram,0.0250,4.4938
0.016073,0.005588,N0,package,0.6199,110.9392
0.016087,0.005558,N0,ram,0.0219,3.9423
0.016205,0.005427,N1,package,0.5159,95.0651
0.016222,0.005327,N1,ram,0.0294,5.5255
0.021336,0.005263,N0,package,0.5612,106.6212
0.021367,0.005280,N0,ram,0.0197,3.7338
0.021471,0.005266,N1,package,0.4592,87.1955
0.021480,0.005258,N1,ram,0.0278,5.2845
0.026583,0.005247,N0,package,0.5732,109.2540
0.026615,0.005248,N0,ram,0.0205,3.9050
0.026836,0.005365,N1,package,0.4294,80.0356
0.026959,0.005479,N1,ram,0.0265,4.8432
0.032076,0.005493,N0,package,0.5704,103.8490
0.032090,0.005475,N0,ram,0.0190,3.4726
0.032168,0.005332,N1,package,0.5232,98.1234
0.032176,0.005217,N1,ram,0.0327,6.2620
0.037341,0.005265,N0,package,0.6483,123.1369
0.037356,0.005266,N0,ram,0.0202,3.8394
0.037471,0.005303,N1,package,0.4393,82.8435
0.037483,0.005307,N1,ram,0.0250,4.7125
0.042758,0.005417,N0,package,0.5820,107.4319
0.042800,0.005444,N0,ram,0.0199,3.6549
0.042914,0.005443,N1,package,0.4240,77.8911
0.042936,0.005453,N1,ram,0.0260,4.7683
0.048058,0.005300,N0,package,0.6907,130.3147
0.048090,0.005290,N0,ram,0.0218,4.1248
0.048195,0.005281,N1,package,0.4532,85.8149
0.048215,0.005279,N1,ram,0.0267,5.0583
0.053337,0.005279,N0,package,0.5991,113.4836
0.053369,0.005279,N0,ram,0.0205,3.8819
0.053473,0.005278,N1,package,0.5067,96.0029
0.053507,0.005292,N1,ram,0.0313,5.9081
0.058604,0.005267,N0,package,0.6503,123.4575
0.058652,0.005283,N0,ram,0.0285,5.4012
0.058751,0.005278,N1,package,0.4413,83.6218
0.058774,0.005267,N1,ram,0.0254,4.8206
