#timestamp,interval,socket,domain,energy,power
0.005169,0.005387,N0,package,0.3505,65.0678
0.005206,0.005329,N0,ram,0.0530,9.9499
0.005288,0.005294,N1,package,0.2914,55.0391
0.005296,0.005296,N1,ram,0.0436,8.2258
0.010528,0.005359,N0,package,0.2339,43.6443
0.010629,0.005423,N0,ram,0.0399,7.3493
0.010760,0.005472,N1,package,0.3154,57.6449
0.010768,0.005472,N1,ram,0.0445,8.1255
0.015928,0.005400,N0,package,0.2545,47.1332
0.015954,0.005325,N0,ram,0.0409,7.6798
0.016045,0.005285,N1,package,0.3038,57.4779
0.016057,0.005289,N1,ram,0.0411,7.7638
0.021216,0.005288,N0,package,0.2500,47.2757
0.021393,0.005439,N0,ram,0.0375,6.9013
0.021634,0.005589,N1,package,0.3139,56.1645
0.021803,0.005746,N1,ram,0.0450,7.8364
0.026967,0.005751,N0,package,0.3507,60.9832
0.026989,0.005596,N0,ram,0.0529,9.4592
0.027106,0.005472,N1,package,0.3145,57.4776
0.027114,0.005311,N1,ram,0.0416,7.8319
0.032271,0.005304,N0,package,0.2722,51.3105
0.032630,0.005641,N0,ram,0.0405,7.1790
0.032773,0.005667,N1,package,0.4286,75.6400
0.032781,0.005667,N1,ram,0.0519,9.1521
0.037928,0.005657,N0,package,0.3295,58.2412
0.038060,0.005430,N0,ram,0.0467,8.5933
0.038072,0.005299,N1,package,0.3608,68.0947
0.038079,0.005298,N1,ram,0.0403,7.6007
0.043236,0.005308,N0,package,0.2575,48.5139
0.043258,0.005198,N0,ram,0.0378,7.2771
0.043361,0.005289,N1,package,0.3582,67.7158
0.043369,0.005290,N1,ram,0.0425,8.0274
0.048591,0.005355,N0,package,0.2627,49.0550
0.048685,0.005427,N0,ram,0.0383,7.0543
0.048776,0.005415,N1,package,0.4316,79.7126
0.048796,0.005427,N1,ram,0.0479,8.8312
0.053949,0.005358,N0,package,0.3767,70.3080
0.053971,0.005286,N0,ram,0.0435,8.2270
0.054077,0.005301,N1,package,0.3212,60.5976
0.054085,0.005289,N1,ram,0.0374,7.0800
0.059239,0.005290,N0,package,0.2690,50.8469
0.059259,0.005288,N0,ram,0.0341,6.4577
0.059377,0.005300,N1,package,0.3553,67.0375
0.059652,0.005567,N1,ram,0.0427,7.6745
0.064775,0.005536,N0,package,0.4001,72.2718
0.064807,0.005548,N0,ram,0.0445,8.0227
0.064909,0.005532,N1,package,0.3605,65.1612
0.064921,0.005269,N1,ram,0.0435,8.2476
0.070035,0.005260,N0,package,0.3384,64.3423
0.070067,0.005260,N0,ram,0.0451,8.5722
0.070174,0.005265,N1,package,0.3959,75.1898
0.070208,0.005287,N1,ram,0.0503,9.5156
0.075339,0.005304,N0,package,0.3871,72.9785
0.075374,0.005307,N0,ram,0.0326,6.1415
0.075619,0.005445,N1,package,0.2675,49.1195
0.075738,0.005530,N1,ram,0.0340,6.1561
0.080862,0.005523,N0,package,0.3786,68.5503
0.080895,0.005521,N0,ram,0.0390,7.0669
0.081000,0.005381,N1,package,0.3956,73.5220
0.081034,0.005296,N1,ram,0.0533,10.0578
0.086146,0.005284,N0,package,0.4512,85.3834
0.086160,0.005265,N0,ram,0.0448,8.5090
0.086238,0.005238,N1,package,0.3577,68.2822
0.086246,0.005212,N1,ram,0.0439,8.4318
0.091367,0.005221,N0,package,0.3767,72.1542
0.091424,0.005264,N0,ram,0.0381,7.2412
0.091653,0.005415,N1,package,0.2567,47.3970
0.091772,0.005526,N1,ram,0.0343,6.2155
0.096897,0.005530,N0,package,0.3557,64.3228
0.096929,0.005505,N0,ram,0.0344,6.2503
0.097035,0.005382,N1,package,0.4317,80.2112
0.097055,0.005283,N1,ram,0.0510,9.6586
0.102177,0.005280,N0,package,0.5082,96.2456
0.102209,0.005280,N0,ram,0.0478,9.0570
0.102312,0.005277,N1,package,0.3571,67.6637
0.102332,0.005277,N1,ram,0.0448,8.4865
0.107457,0.005280,N0,package,0.4174,79.0449
0.107490,0.005281,N0,ram,0.0379,7.1830
0.107736,0.005424,N1,package,0.3392,62.5315
0.107855,0.005523,N1,ram,0.0405,7.3242
0.112969,0.005512,N0,package,0.4636,84.1116
0.112983,0.005493,N0,ram,0.0402,7.3253
0.113062,0.005326,N1,package,0.3884,72.9186
0.113070,0.005215,N1,ram,0.0426,8.1693
0.118182,0.005213,N0,package,0.3941,75.5999
0.118212,0.005229,N0,ram,0.0350,6.6854
0.118317,0.005255,N1,package,0.3331,63.3931
0.118337,0.005267,N1,ram,0.0374,7.0976
0.123450,0.005268,N0,package,0.4908,93.1773
0.123482,0.005270,N0,ram,0.0404,7.6641
0.123704,0.005387,N1,package,0.4229,78.5086
0.123823,0.005486,N1,ram,0.0474,8.6474
0.128939,0.005489,N0,package,0.5128,93.4134
0.128953,0.005471,N0,ram,0.0414,7.5611
0.129031,0.005327,N1,package,0.4229,79.3756
0.129039,0.005216,N1,ram,0.0420,8.0508
0.134151,0.005212,N0,package,0.4476,85.8876
0.134182,0.005229,N0,ram,0.0427,8.1620
0.134289,0.005258,N1,package,0.3605,68.5592
0.134298,0.005259,N1,ram,0.0374,7.1056
0.139433,0.005282,N0,package,0.5469,103.5324
0.139465,0.005283,N0,ram,0.0339,6.4205
0.139692,0.005403,N1,package,0.4565,84.4861
0.139810,0.005512,N1,ram,0.0479,8.6813
0.144925,0.005492,N0,package,0.4861,88.5192
0.144938,0.005473,N0,ram,0.0372,6.7917
