#timestamp,interval,socket,domain,energy,power
0.005172,0.005370,N0,package,0.3389,63.1049
0.005209,0.005238,N0,ram,0.0348,6.6476
0.005222,0.005228,N1,package,0.2990,57.1821
0.005230,0.005230,N1,ram,0.0448,8.5569
0.010468,0.005296,N0,package,0.2357,44.4972
0.010567,0.005358,N0,ram,0.0383,7.1567
0.010666,0.005444,N1,package,0.3429,62.9854
0.010688,0.005458,N1,ram,0.0476,8.7199
0.015850,0.005382,N0,package,0.2266,42.0959
0.015874,0.005307,N0,ram,0.0358,6.7482
0.015969,0.005303,N1,package,0.3339,62.9584
0.015977,0.005289,N1,ram,0.0434,8.2077
0.021138,0.005288,N0,package,0.2285,43.2130
0.021160,0.005286,N0,ram,0.0355,6.7086
0.021178,0.005209,N1,package,0.2196,42.1589
0.021186,0.005209,N1,ram,0.0320,6.1340
0.026513,0.005375,N0,package,0.3522,65.5216
0.026541,0.005381,N0,ram,0.0532,9.8883
0.026562,0.005384,N1,package,0.3962,73.5931
0.026569,0.005383,N1,ram,0.0471,8.7533
0.031735,0.005222,N0,package,0.2831,54.2085
0.031770,0.005229,N0,ram,0.0364,6.9568
0.031800,0.005238,N1,package,0.3266,62.3540
0.031819,0.005250,N1,ram,0.0445,8.4752
0.037009,0.005274,N0,package,0.3022,57.2991
0.037044,0.005274,N0,ram,0.0413,7.8347
0.037070,0.005270,N1,package,0.3125,59.2979
0.037085,0.005266,N1,ram,0.0434,8.2380
0.042282,0.005273,N0,package,0.3410,64.6684
0.042586,0.005542,N0,ram,0.0434,7.8386
0.042652,0.005582,N1,package,0.3019,54.0800
0.042671,0.005586,N1,ram,0.0392,7.0228
0.047857,0.005575,N0,package,0.4176,74.9071
0.047897,0.005311,N0,ram,0.0451,8.4956
0.047993,0.005341,N1,package,0.3540,66.2798
0.048016,0.005345,N1,ram,0.0495,9.2668
0.053201,0.005344,N0,package,0.3831,71.6891
0.053526,0.005629,N0,ram,0.0390,6.9367
0.053680,0.005687,N1,package,0.3052,53.6620
0.053698,0.005682,N1,ram,0.0413,7.2722
0.058908,0.005707,N0,package,0.3828,67.0695
0.059072,0.005546,N0,ram,0.0411,7.4095
0.059102,0.005422,N1,package,0.3810,70.2674
0.059114,0.005416,N1,ram,0.0507,9.3674
0.064273,0.005365,N0,package,0.3648,67.9959
0.064293,0.005221,N0,ram,0.0364,6.9673
0.064308,0.005206,N1,package,0.2777,53.3431
0.064318,0.005204,N1,ram,0.0339,6.5064
0.069633,0.005360,N0,package,0.4546,84.8133
0.069735,0.005442,N0,ram,0.0507,9.3119
0.069780,0.005472,N1,package,0.3618,66.1221
0.069796,0.005478,N1,ram,0.0437,7.9861
0.074970,0.005337,N0,package,0.4078,76.4169
0.075090,0.005355,N0,ram,0.0437,8.1692
0.075206,0.005426,N1,package,0.3850,70.9574
0.075214,0.005418,N1,ram,0.0481,8.8797
0.080464,0.005494,N0,package,0.4449,80.9859
0.080542,0.005452,N0,ram,0.0459,8.4104
0.080662,0.005456,N1,package,0.3320,60.8453
0.080677,0.005463,N1,ram,0.0437,7.9913
0.085850,0.005386,N0,package,0.4150,77.0606
0.085970,0.005428,N0,ram,0.0461,8.5007
0.086081,0.005419,N1,package,0.3389,62.5442
0.086100,0.005423,N1,ram,0.0409,7.5435
0.091451,0.005601,N0,package,0.5182,92.5144
0.091530,0.005560,N0,ram,0.0578,10.4041
0.091627,0.005546,N1,package,0.4159,74.9886
0.091640,0.005540,N1,ram,0.0459,8.2933
0.096815,0.005364,N0,package,0.3730,69.5358
0.096931,0.005401,N0,ram,0.0403,7.4671
0.097047,0.005420,N1,package,0.3561,65.7089
0.097066,0.005426,N1,ram,0.0434,8.0004
0.102252,0.005437,N0,package,0.5075,93.3450
0.102463,0.005532,N0,ram,0.0553,9.9904
0.102569,0.005522,N1,package,0.3794,68.7058
0.102578,0.005512,N1,ram,0.0428,7.7595
0.107749,0.005497,N0,package,0.4924,89.5711
0.107865,0.005402,N0,ram,0.0515,9.5415
0.107975,0.005406,N1,package,0.3731,69.0186
0.107995,0.005417,N1,ram,0.0463,8.5549
0.113176,0.005427,N0,package,0.4779,88.0587
0.113292,0.005427,N0,ram,0.0510,9.4019
0.113498,0.005523,N1,package,0.3748,67.8622
0.113603,0.005608,N1,ram,0.0389,6.9436
0.118778,0.005602,N0,package,0.5610,100.1403
0.118906,0.005614,N0,ram,0.0591,10.5217
0.119005,0.005507,N1,package,0.3991,72.4731
0.119024,0.005421,N1,ram,0.0477,8.7991
0.124196,0.005418,N0,package,0.5222,96.3732
0.124317,0.005411,N0,ram,0.0489,9.0405
0.124519,0.005514,N1,package,0.3774,68.4526
0.124673,0.005649,N1,ram,0.0402,7.1174
0.129846,0.005650,N0,package,0.6415,113.5353
0.129962,0.005645,N0,ram,0.0606,10.7392
0.130071,0.005552,N1,package,0.4648,83.7137
0.130090,0.005417,N1,ram,0.0476,8.7803
0.135271,0.005425,N0,package,0.5805,107.0061
0.135489,0.005527,N0,ram,0.0521,9.4257
0.135603,0.005532,N1,package,0.4324,78.1692
0.135610,0.005520,N1,ram,0.0423,7.6652
0.140782,0.005511,N0,package,0.5356,97.1947
0.140900,0.005411,N0,ram,0.0482,8.8995
0.141007,0.005404,N1,package,0.4258,78.8014
0.141026,0.005416,N1,ram,0.0453,8.3705
0.146206,0.005424,N0,package,0.5461,100.6783
0.146321,0.005421,N0,ram,0.0487,8.9876
0.146526,0.005519,N1,package,0.4408,79.8701
0.146632,0.005606,N1,ram,0.0427,7.6101
0.151807,0.005601,N0,package,0.6450,115.1521
0.151923,0.005602,N0,ram,0.0581,10.3775
0.152035,0.005509,N1,package,0.4094,74.3094
0.152054,0.005422,N1,ram,0.0428,7.8913
0.157224,0.005417,N0,package,0.5586,103.1166
0.157456,0.005533,N0,ram,0.0497,8.9876
0.157561,0.005526,N1,package,0.5040,91.1982
0.157570,0.005516,N1,ram,0.0486,8.8050
0.162745,0.005521,N0,package,0.6174,111.8369
0.162863,0.005407,N0,ram,0.0556,10.2753
0.162973,0.005412,N1,package,0.3598,66.4811
0.162992,0.005422,N1,ram,0.0394,7.2722
0.168172,0.005427,N0,package,0.4982,91.8037
0.168285,0.005422,N0,ram,0.0451,8.3187
0.168520,0.005547,N1,package,0.5266,94.9244
0.168638,0.005646,N1,ram,0.0499,8.8429
0.173817,0.005645,N0,package,0.6767,119.8746
0.173937,0.005652,N0,ram,0.0609,10.7828
0.174061,0.005541,N1,package,0.4412,79.6310
0.174072,0.005434,N1,ram,0.0440,8.0955
0.179242,0.005425,N0,package,0.5229,96.3966
0.179450,0.005513,N0,ram,0.0467,8.4695
0.179604,0.005543,N1,package,0.4003,72.2226
0.179627,0.005555,N1,ram,0.0408,7.3394
0.184815,0.005573,N0,package,0.6205,111.3367
0.184933,0.005483,N0,ram,0.0556,10.1324
0.185053,0.005449,N1,package,0.4932,90.5045
0.185063,0.005436,N1,ram,0.0476,8.7495
0.190247,0.005432,N0,package,0.5676,104.4990
0.190462,0.005529,N0,ram,0.0511,9.2371
0.190615,0.005562,N1,package,0.4328,77.8129
0.190637,0.005574,N1,ram,0.0402,7.2133
0.195815,0.005568,N0,package,0.5135,92.2319
0.195930,0.005468,N0,ram,0.0464,8.4835
0.196042,0.005427,N1,package,0.4673,86.1056
0.196061,0.005424,N1,ram,0.0449,8.2764
0.201233,0.005418,N0,package,0.6760,124.7613
0.201442,0.005512,N0,ram,0.0625,11.3361
0.201546,0.005504,N1,package,0.4941,89.7652
0.201553,0.005492,N1,ram,0.0451,8.2073
0.206724,0.005491,N0,package,0.5120,93.2475
0.206835,0.005393,N0,ram,0.0548,10.1546
0.206938,0.005392,N1,package,0.3640,67.5007
0.206945,0.005392,N1,ram,0.0345,6.3983
0.212120,0.005396,N0,package,0.6407,118.7473
0.212241,0.005406,N0,ram,0.0481,8.8937
0.212494,0.005556,N1,package,0.5476,98.5596
0.212611,0.005666,N1,ram,0.0495,8.7335
0.217795,0.005675,N0,package,0.4902,86.3730
0.217909,0.005668,N0,ram,0.0459,8.0925
0.218020,0.005526,N1,package,0.4501,81.4566
0.218044,0.005433,N1,ram,0.0452,8.3219
0.223213,0.005418,N0,package,0.6323,116.6954
0.223445,0.005536,N0,ram,0.0578,10.4434
0.223556,0.005536,N1,package,0.5430,98.0935
