#timestamp,interval,socket,domain,energy,power
0.005169,0.005520,N0,package,0.2719,49.2605
0.005208,0.005346,N0,ram,0.0422,7.8862
0.005296,0.005304,N1,package,0.3223,60.7694
0.005304,0.005304,N1,ram,0.0451,8.5038
0.010470,0.005301,N0,package,0.2770,52.2616
0.010502,0.005294,N0,ram,0.0306,5.7818
0.010550,0.005254,N1,package,0.3094,58.8857
0.010559,0.005255,N1,ram,0.0419,7.9648
0.015782,0.005312,N0,package,0.2469,46.4890
0.015882,0.005380,N0,ram,0.0605,11.2372
0.015979,0.005429,N1,package,0.3282,60.4615
0.015999,0.005440,N1,ram,0.0446,8.1904
0.021163,0.005381,N0,package,0.2180,40.5040
0.021199,0.005317,N0,ram,0.0359,6.7498
0.021300,0.005321,N1,package,0.3260,61.2757
0.021311,0.005312,N1,ram,0.0441,8.3074
0.026476,0.005313,N0,package,0.3136,59.0257
0.026513,0.005314,N0,ram,0.0519,9.7627
0.026560,0.005260,N1,package,0.3002,57.0784
0.026840,0.005529,N1,ram,0.0389,7.0320
0.032011,0.005535,N0,package,0.2614,47.2171
0.032033,0.005520,N0,ram,0.0403,7.3062
0.032145,0.005585,N1,package,0.3893,69.7129
0.032153,0.005313,N1,ram,0.0470,8.8401
0.037314,0.005303,N0,package,0.2695,50.8156
0.037350,0.005317,N0,ram,0.0391,7.3611
0.037458,0.005313,N1,package,0.3518,66.2172
0.037466,0.005313,N1,ram,0.0459,8.6358
0.042816,0.005502,N0,package,0.2621,47.6346
0.042925,0.005575,N0,ram,0.0381,6.8316
0.043042,0.005584,N1,package,0.3482,62.3577
0.043050,0.005584,N1,ram,0.0412,7.3835
0.048210,0.005394,N0,package,0.2044,37.8953
0.048231,0.005306,N0,ram,0.0323,6.0966
0.048324,0.005282,N1,package,0.4531,85.7878
0.048332,0.005282,N1,ram,0.0439,8.3199
0.053490,0.005280,N0,package,0.3798,71.9357
0.053831,0.005600,N0,ram,0.0499,8.9124
0.053939,0.005615,N1,package,0.3117,55.5132
0.053947,0.005615,N1,ram,0.0441,7.8617
0.059102,0.005612,N0,package,0.3284,58.5214
0.059122,0.005291,N0,ram,0.0399,7.5328
0.059242,0.005303,N1,package,0.4508,85.0072
0.059251,0.005304,N1,ram,0.0500,9.4244
0.064360,0.005258,N0,package,0.3660,69.6040
