#timestamp,interval,socket,domain,energy,power
0.005144,0.005312,N0,package,0.2951,55.5548
0.005433,0.005576,N0,ram,0.0501,8.9783
0.005543,0.005549,N1,package,0.2893,52.1371
0.005554,0.005554,N1,ram,0.0496,8.9235
0.010734,0.005590,N0,package,0.3683,65.8835
0.010776,0.005343,N0,ram,0.0493,9.2245
0.010877,0.005334,N1,package,0.2356,44.1675
0.010930,0.005376,N1,ram,0.0356,6.6273
0.016047,0.005313,N0,package,0.2699,50.8002
0.016066,0.005290,N0,ram,0.0389,7.3553
0.016181,0.005304,N1,package,0.3141,59.2186
0.016191,0.005261,N1,ram,0.0468,8.8897
0.021417,0.005370,N0,package,0.3085,57.4534
0.021454,0.005388,N0,ram,0.0423,7.8588
0.021558,0.005377,N1,package,0.2009,37.3676
0.021594,0.005403,N1,ram,0.0343,6.3486
0.026721,0.005304,N0,package,0.3163,59.6328
0.026757,0.005303,N0,ram,0.0428,8.0712
0.026860,0.005302,N1,package,0.3456,65.1915
0.026881,0.005287,N1,ram,0.0515,9.7494
0.032008,0.005287,N0,package,0.3381,63.9538
0.032042,0.005285,N0,ram,0.0438,8.2804
0.032145,0.005285,N1,package,0.3022,57.1776
0.032172,0.005291,N1,ram,0.0427,8.0634
0.037297,0.005289,N0,package,0.3215,60.7947
0.037331,0.005289,N0,ram,0.0387,7.3191
0.037435,0.005290,N1,package,0.2306,43.5897
0.037457,0.005285,N1,ram,0.0341,6.4528
0.042572,0.005275,N0,package,0.4080,77.3496
0.042589,0.005258,N0,ram,0.0489,9.3041
0.042702,0.005267,N1,package,0.2829,53.7124
0.042712,0.005255,N1,ram,0.0393,7.4799
0.047886,0.005314,N0,package,0.4153,78.1472
0.047919,0.005330,N0,ram,0.0491,9.2038
0.048022,0.005320,N1,package,0.3613,67.9179
0.048043,0.005331,N1,ram,0.0501,9.3939
0.053192,0.005306,N0,package,0.3131,59.0106
0.053227,0.005308,N0,ram,0.0370,6.9683
0.053482,0.005460,N1,package,0.2803,51.3431
0.053620,0.005577,N1,ram,0.0425,7.6252
0.058715,0.005523,N0,package,0.4357,78.8831
0.058731,0.005504,N0,ram,0.0479,8.7021
0.058841,0.005359,N1,package,0.3646,68.0404
0.058850,0.005230,N1,ram,0.0452,8.6389
0.064027,0.005312,N0,package,0.4266,80.3160
0.064066,0.005335,N0,ram,0.0477,8.9463
0.064176,0.005335,N1,package,0.3120,58.4829
0.064203,0.005353,N1,ram,0.0421,7.8732
0.069480,0.005453,N0,package,0.3837,70.3605
0.069524,0.005458,N0,ram,0.0490,8.9827
0.069638,0.005462,N1,package,0.2387,43.7040
0.069660,0.005457,N1,ram,0.0347,6.3614
0.074840,0.005360,N0,package,0.4680,87.3033
0.074879,0.005355,N0,ram,0.0442,8.2490
0.074978,0.005340,N1,package,0.3568,66.8174
0.075028,0.005368,N1,ram,0.0499,9.2866
0.080172,0.005332,N0,package,0.4528,84.9136
0.080419,0.005540,N0,ram,0.0522,9.4281
0.080573,0.005595,N1,package,0.2407,43.0139
0.080595,0.005567,N1,ram,0.0349,6.2712
0.085776,0.005604,N0,package,0.4003,71.4251
0.085811,0.005392,N0,ram,0.0483,8.9650
0.085914,0.005341,N1,package,0.3938,73.7306
0.085949,0.005354,N1,ram,0.0542,10.1233
0.091139,0.005363,N0,package,0.4520,84.2749
0.091164,0.005353,N0,ram,0.0556,10.3930
0.091372,0.005458,N1,package,0.3429,62.8258
0.091480,0.005531,N1,ram,0.0451,8.1521
0.096654,0.005515,N0,package,0.4351,78.8850
0.096770,0.005606,N0,ram,0.0528,9.4205
0.096882,0.005510,N1,package,0.3322,60.2920
0.096903,0.005423,N1,ram,0.0430,7.9205
0.102083,0.005429,N0,package,0.3953,72.8200
0.102348,0.005578,N0,ram,0.0457,8.2011
0.102501,0.005619,N1,package,0.3356,59.7312
0.102534,0.005631,N1,ram,0.0438,7.7852
0.107713,0.005630,N0,package,0.5322,94.5229
0.107833,0.005485,N0,ram,0.0599,10.9161
0.107943,0.005442,N1,package,0.3722,68.3938
0.107963,0.005429,N1,ram,0.0449,8.2688
0.113075,0.005362,N0,package,0.3917,73.0437
0.113088,0.005255,N0,ram,0.0407,7.7528
0.113168,0.005225,N1,package,0.3644,69.7385
0.113177,0.005214,N1,ram,0.0465,8.9259
0.118291,0.005216,N0,package,0.4255,81.5811
0.118325,0.005237,N0,ram,0.0435,8.3041
0.118432,0.005264,N1,package,0.2105,39.9902
0.118453,0.005276,N1,ram,0.0249,4.7257
0.123575,0.005284,N0,package,0.3978,75.2798
0.123608,0.005283,N0,ram,0.0413,7.8097
0.123709,0.005277,N1,package,0.4240,80.3521
0.123743,0.005290,N1,ram,0.0511,9.6686
0.128864,0.005289,N0,package,0.5118,96.7732
0.128897,0.005289,N0,ram,0.0473,8.9496
0.128999,0.005290,N1,package,0.4424,83.6257
0.129033,0.005290,N1,ram,0.0483,9.1264
0.134317,0.005453,N0,package,0.3141,57.6090
0.134431,0.005534,N0,ram,0.0301,5.4399
0.134564,0.005565,N1,package,0.3095,55.6155
0.134584,0.005551,N1,ram,0.0349,6.2950
0.139706,0.005389,N0,package,0.6252,116.0115
0.139743,0.005312,N0,ram,0.0591,11.1282
0.139842,0.005278,N1,package,0.5082,96.2963
0.139863,0.005279,N1,ram,0.0520,9.8535
0.144979,0.005273,N0,package,0.4958,94.0264
0.144995,0.005252,N0,ram,0.0430,8.1903
0.145073,0.005231,N1,package,0.4343,83.0270
0.145081,0.005218,N1,ram,0.0443,8.4949
0.150198,0.005219,N0,package,0.5317,101.8854
0.150214,0.005219,N0,ram,0.0430,8.2449
0.150441,0.005368,N1,package,0.2506,46.6860
0.150549,0.005468,N1,ram,0.0264,4.8331
0.155729,0.005531,N0,package,0.4062,73.4487
0.155745,0.005531,N0,ram,0.0393,7.1038
0.155854,0.005413,N1,package,0.4916,90.8285
0.155866,0.005317,N1,ram,0.0517,9.7144
0.160972,0.005243,N0,package,0.6306,120.2761
0.160988,0.005243,N0,ram,0.0514,9.8047
0.161112,0.005258,N1,package,0.5194,98.7830
0.161124,0.005258,N1,ram,0.0496,9.4260
0.166343,0.005371,N0,package,0.4824,89.8108
0.166515,0.005527,N0,ram,0.0426,7.6998
0.166631,0.005519,N1,package,0.2673,48.4285
0.166640,0.005516,N1,ram,0.0273,4.9571
0.171753,0.005410,N0,package,0.5134,94.8888
0.171787,0.005272,N0,ram,0.0438,8.3039
0.171887,0.005256,N1,package,0.5770,109.7690
0.171921,0.005281,N1,ram,0.0593,11.2224
0.177037,0.005284,N0,package,0.5117,96.8346
0.177085,0.005298,N0,ram,0.0430,8.1159
0.177186,0.005299,N1,package,0.4426,83.5326
0.177197,0.005276,N1,ram,0.0452,8.5636
0.182299,0.005262,N0,package,0.4628,87.9431
0.182313,0.005228,N0,ram,0.0433,8.2864
0.182389,0.005203,N1,package,0.2891,55.5685
0.182397,0.005200,N1,ram,0.0269,5.1732
0.187508,0.005209,N0,package,0.5804,111.4317
0.187540,0.005227,N0,ram,0.0434,8.3021
0.187643,0.005254,N1,package,0.5302,100.9038
0.187677,0.005280,N1,ram,0.0538,10.1869
0.192797,0.005289,N0,package,0.5821,110.0605
0.192828,0.005288,N0,ram,0.0446,8.4256
0.192931,0.005288,N1,package,0.5078,96.0289
0.192964,0.005287,N1,ram,0.0432,8.1793
0.198091,0.005294,N0,package,0.5632,106.3890
0.198123,0.005295,N0,ram,0.0442,8.3401
0.198385,0.005454,N1,package,0.3217,58.9779
0.198509,0.005545,N1,ram,0.0314,5.6606
0.203622,0.005531,N0,package,0.4398,79.5069
0.203654,0.005531,N0,ram,0.0360,6.5023
0.203758,0.005373,N1,package,0.5225,97.2496
0.203791,0.005282,N1,ram,0.0512,9.7004
0.208901,0.005279,N0,package,0.6422,121.6526
0.208914,0.005260,N0,ram,0.0490,9.3061
0.208993,0.005235,N1,package,0.4742,90.5916
0.209001,0.005210,N1,ram,0.0429,8.2299
0.214120,0.005219,N0,package,0.5312,101.7919
0.214152,0.005238,N0,ram,0.0415,7.9264
0.214415,0.005422,N1,package,0.5048,93.0930
0.214532,0.005531,N1,ram,0.0471,8.5080
0.219656,0.005536,N0,package,0.6033,108.9756
0.219687,0.005535,N0,ram,0.0474,8.5572
0.219790,0.005375,N1,package,0.4944,91.9915
0.219823,0.005291,N1,ram,0.0444,8.3893
0.224933,0.005277,N0,package,0.5406,102.4393
0.224947,0.005260,N0,ram,0.0424,8.0674
0.225024,0.005234,N1,package,0.4504,86.0602
0.225032,0.005209,N1,ram,0.0426,8.1816
0.230151,0.005218,N0,package,0.4775,91.5054
0.230198,0.005251,N0,ram,0.0367,6.9855
0.230421,0.005397,N1,package,0.4343,80.4630
0.230538,0.005506,N1,ram,0.0438,7.9591
0.235652,0.005501,N0,package,0.6359,115.5950
0.235665,0.005467,N0,ram,0.0485,8.8729
0.235750,0.005329,N1,package,0.5121,96.0959
0.235758,0.005220,N1,ram,0.0446,8.5386
0.240871,0.005219,N0,package,0.5302,101.5931
0.240903,0.005238,N0,ram,0.0421,8.0459
0.241005,0.005255,N1,package,0.4160,79.1659
0.241039,0.005281,N1,ram,0.0383,7.2466
0.246179,0.005308,N0,package,0.5195,97.8627
0.246211,0.005308,N0,ram,0.0396,7.4513
0.246433,0.005428,N1,package,0.3221,59.3364
0.246552,0.005513,N1,ram,0.0323,5.8678
0.251676,0.005497,N0,package,0.5827,106.0042
0.251709,0.005498,N0,ram,0.0450,8.1873
0.251811,0.005378,N1,package,0.5522,102.6860
0.251845,0.005293,N1,ram,0.0519,9.8042
0.256964,0.005288,N0,package,0.5197,98.2724
0.256995,0.005286,N0,ram,0.0404,7.6410
0.257099,0.005288,N1,package,0.4847,91.6660
0.257132,0.005287,N1,ram,0.0446,8.4275
0.262233,0.005269,N0,package,0.5295,100.4887
0.262265,0.005270,N0,ram,0.0414,7.8552
