#timestamp,interval,socket,domain,energy,power
0.005067,0.005168,N0,package,0.2824,54.6462
0.005090,0.005172,N0,ram,0.0417,8.0601
0.005294,0.005300,N1,package,0.2567,48.4268
0.005418,0.005418,N1,ram,0.0392,7.2297
0.010585,0.005518,N0,package,0.1685,30.5399
0.010611,0.005521,N0,ram,0.0302,5.4780
0.010705,0.005411,N1,package,0.3486,64.4173
0.010717,0.005299,N1,ram,0.0482,9.0877
0.015878,0.005293,N0,package,0.3424,64.6890
0.015899,0.005288,N0,ram,0.0556,10.5234
0.016009,0.005304,N1,package,0.3318,62.5673
0.016019,0.005302,N1,ram,0.0444,8.3691
0.021317,0.005439,N0,package,0.2190,40.2634
0.021440,0.005541,N0,ram,0.0375,6.7687
0.021575,0.005566,N1,package,0.2794,50.1999
0.021584,0.005565,N1,ram,0.0381,6.8519
0.026746,0.005429,N0,package,0.3097,57.0438
0.026768,0.005328,N0,ram,0.0405,7.6066
0.026890,0.005315,N1,package,0.3906,73.4939
0.026898,0.005314,N1,ram,0.0532,10.0129
0.032334,0.005588,N0,package,0.2621,46.9029
0.032419,0.005651,N0,ram,0.0384,6.7883
0.032546,0.005656,N1,package,0.3292,58.1995
0.032554,0.005656,N1,ram,0.0412,7.2841
0.037712,0.005378,N0,package,0.2983,55.4740
0.037733,0.005314,N0,ram,0.0419,7.8765
0.037855,0.005309,N1,package,0.3263,61.4593
0.037863,0.005309,N1,ram,0.0398,7.4927
0.043018,0.005306,N0,package,0.2686,50.6133
0.043224,0.005491,N0,ram,0.0368,6.6971
0.043346,0.005491,N1,package,0.4559,83.0324
0.043353,0.005490,N1,ram,0.0523,9.5252
0.048507,0.005489,N0,package,0.2433,44.3216
0.048525,0.005301,N0,ram,0.0336,6.3470
0.048621,0.005275,N1,package,0.3478,65.9294
0.048628,0.005275,N1,ram,0.0385,7.2982
0.053768,0.005261,N0,package,0.3958,75.2361
0.053919,0.005394,N0,ram,0.0547,10.1471
0.054313,0.005692,N1,package,0.3610,63.4156
0.054435,0.005807,N1,ram,0.0406,6.9946
0.059590,0.005822,N0,package,0.3951,67.8711
0.059611,0.005692,N0,ram,0.0488,8.5676
0.059735,0.005422,N1,package,0.3583,66.0910
0.059744,0.005309,N1,ram,0.0426,8.0162
0.064850,0.005260,N0,package,0.3079,58.5405
0.064866,0.005255,N0,ram,0.0385,7.3318
0.064957,0.005222,N1,package,0.5014,96.0161
0.064965,0.005221,N1,ram,0.0555,10.6321
0.070098,0.005248,N0,package,0.3950,75.2695
0.070129,0.005263,N0,ram,0.0470,8.9354
0.070356,0.005399,N1,package,0.2230,41.2969
0.070474,0.005509,N1,ram,0.0308,5.5979
0.075593,0.005495,N0,package,0.3807,69.2871
0.075609,0.005480,N0,ram,0.0493,8.9993
0.075690,0.005334,N1,package,0.4529,84.9138
0.075699,0.005225,N1,ram,0.0543,10.3849
0.080813,0.005220,N0,package,0.3853,73.8043
0.080853,0.005244,N0,ram,0.0536,10.2220
0.080953,0.005263,N1,package,0.2849,54.1365
0.080986,0.005287,N1,ram,0.0384,7.2612
0.086100,0.005287,N0,package,0.2175,41.1332
0.086134,0.005281,N0,ram,0.0243,4.6057
0.086368,0.005415,N1,package,0.2554,47.1715
0.086489,0.005503,N1,ram,0.0343,6.2278
0.091614,0.005514,N0,package,0.8204,148.7762
0.091648,0.005514,N0,ram,0.0760,13.7868
0.091777,0.005409,N1,package,0.4366,80.7144
0.091811,0.005322,N1,ram,0.0525,9.8686
0.096941,0.005327,N0,package,0.6452,121.1196
0.096975,0.005327,N0,ram,0.0426,7.9889
0.097016,0.005239,N1,package,0.2864,54.6624
0.097068,0.005257,N1,ram,0.0406,7.7181
0.102192,0.005251,N0,package,1.0970,208.9125
0.102225,0.005250,N0,ram,0.0576,10.9748
0.102324,0.005308,N1,package,0.3270,61.6083
0.102347,0.005279,N1,ram,0.0397,7.5296
0.107459,0.005267,N0,package,0.9246,175.5531
0.107474,0.005249,N0,ram,0.0479,9.1221
0.107545,0.005221,N1,package,0.2771,53.0752
0.107552,0.005205,N1,ram,0.0352,6.7544
0.112668,0.005209,N0,package,0.9821,188.5348
0.112699,0.005225,N0,ram,0.0496,9.4937
0.112803,0.005258,N1,package,0.4700,89.3806
0.112824,0.005272,N1,ram,0.0536,10.1703
0.117935,0.005267,N0,package,0.9103,172.8298
0.117950,0.005251,N0,ram,0.0444,8.4504
0.118024,0.005221,N1,package,0.3688,70.6461
0.118044,0.005220,N1,ram,0.0445,8.5181
0.123156,0.005221,N0,package,1.1647,223.0911
0.123188,0.005238,N0,ram,0.0592,11.2939
