#timestamp,interval,socket,domain,energy,power
0.005350,0.005708,N0,package,0.3550,62.1876
0.005457,0.005589,N0,ram,0.0602,10.7650
0.005558,0.005564,N1,package,0.3250,58.4137
0.005566,0.005566,N1,ram,0.0475,8.5257
0.010729,0.005379,N0,package,0.2526,46.9539
0.010754,0.005297,N0,ram,0.0432,8.1606
0.010848,0.005290,N1,package,0.3126,59.0964
0.010861,0.005295,N1,ram,0.0438,8.2651
0.016023,0.005294,N0,package,0.2155,40.6990
0.016049,0.005295,N0,ram,0.0367,6.9395
0.016162,0.005314,N1,package,0.3570,67.1816
0.016175,0.005314,N1,ram,0.0479,9.0132
0.021418,0.005395,N0,package,0.2352,43.6000
0.021515,0.005466,N0,ram,0.0378,6.9064
0.021627,0.005465,N1,package,0.3049,55.7969
0.021637,0.005462,N1,ram,0.0432,7.9061
0.026816,0.005398,N0,package,0.3597,66.6459
0.026852,0.005337,N0,ram,0.0548,10.2755
0.026956,0.005329,N1,package,0.3026,56.7731
0.026978,0.005341,N1,ram,0.0417,7.8107
0.032142,0.005326,N0,package,0.3158,59.2929
0.032452,0.005600,N0,ram,0.0463,8.2694
0.032613,0.005657,N1,package,0.2975,52.5875
0.032627,0.005649,N1,ram,0.0426,7.5334
0.037783,0.005641,N0,package,0.3531,62.6042
0.037818,0.005366,N0,ram,0.0417,7.7690
0.037920,0.005307,N1,package,0.3601,67.8557
0.037942,0.005315,N1,ram,0.0488,9.1757
0.043135,0.005352,N0,package,0.3519,65.7448
0.043181,0.005363,N0,ram,0.0446,8.3108
0.043407,0.005487,N1,package,0.2936,53.5048
0.043527,0.005585,N1,ram,0.0412,7.3737
0.048714,0.005579,N0,package,0.4552,81.5918
0.048833,0.005652,N0,ram,0.0459,8.1181
0.048949,0.005542,N1,package,0.3406,61.4532
0.048969,0.005442,N1,ram,0.0468,8.5969
0.054349,0.005635,N0,package,0.4017,71.2922
0.054429,0.005596,N0,ram,0.0520,9.2979
0.054523,0.005574,N1,package,0.2882,51.7059
0.054535,0.005566,N1,ram,0.0395,7.0950
0.059711,0.005362,N0,package,0.4691,87.4885
0.059872,0.005443,N0,ram,0.0449,8.2450
0.059987,0.005464,N1,package,0.3523,64.4747
0.059998,0.005463,N1,ram,0.0485,8.8819
0.065172,0.005461,N0,package,0.4156,76.1015
0.065189,0.005317,N0,ram,0.0413,7.7625
0.065305,0.005318,N1,package,0.3307,62.1837
0.065316,0.005318,N1,ram,0.0439,8.2607
0.070491,0.005319,N0,package,0.4565,85.8191
0.070609,0.005420,N0,ram,0.0482,8.8907
0.070721,0.005416,N1,package,0.3242,59.8528
0.070742,0.005426,N1,ram,0.0422,7.7701
0.075922,0.005431,N0,package,0.4194,77.2192
0.076047,0.005438,N0,ram,0.0414,7.6043
0.076317,0.005596,N1,package,0.3184,56.8998
0.076422,0.005680,N1,ram,0.0420,7.3902
0.081597,0.005675,N0,package,0.4514,79.5328
0.081720,0.005673,N0,ram,0.0591,10.4116
0.081828,0.005511,N1,package,0.4249,77.0935
0.081854,0.005432,N1,ram,0.0500,9.1994
0.087028,0.005431,N0,package,0.5388,99.2128
0.087043,0.005323,N0,ram,0.0432,8.1211
0.087170,0.005342,N1,package,0.3493,65.3882
0.087179,0.005325,N1,ram,0.0428,8.0408
0.092259,0.005231,N0,package,0.2918,55.7856
0.092273,0.005230,N0,ram,0.0295,5.6338
0.092370,0.005200,N1,package,0.3370,64.8158
0.092379,0.005200,N1,ram,0.0405,7.7906
0.097496,0.005237,N0,package,0.8696,166.0399
0.097528,0.005255,N0,ram,0.0638,12.1345
0.097633,0.005263,N1,package,0.3658,69.4998
0.097666,0.005287,N1,ram,0.0439,8.3121
0.102779,0.005283,N0,package,0.8017,151.7538
0.102793,0.005265,N0,ram,0.0370,7.0280
0.102870,0.005237,N1,package,0.2656,50.7105
0.102878,0.005212,N1,ram,0.0342,6.5666
0.107956,0.005177,N0,package,0.8734,168.6978
0.107969,0.005176,N0,ram,0.0399,7.7059
0.108093,0.005223,N1,package,0.4164,79.7203
0.108104,0.005226,N1,ram,0.0485,9.2822
0.113224,0.005268,N0,package,1.1693,221.9493
0.113256,0.005287,N0,ram,0.0499,9.4377
0.113503,0.005410,N1,package,0.2821,52.1454
0.113626,0.005522,N1,ram,0.0325,5.8775
0.118751,0.005527,N0,package,0.9863,178.4447
0.118783,0.005527,N0,ram,0.0437,7.8985
0.118901,0.005398,N1,package,0.4910,90.9642
0.118934,0.005308,N1,ram,0.0523,9.8546
0.124050,0.005299,N0,package,0.9014,170.1061
0.124064,0.005281,N0,ram,0.0381,7.2148
0.124151,0.005250,N1,package,0.3871,73.7424
0.124170,0.005236,N1,ram,0.0445,8.4947
0.129285,0.005235,N0,package,1.0638,203.1981
0.129317,0.005253,N0,ram,0.0514,9.7831
0.129432,0.005281,N1,package,0.2517,47.6634
0.129465,0.005295,N1,ram,0.0310,5.8470
0.134585,0.005300,N0,package,1.1179,210.9245
0.134616,0.005299,N0,ram,0.0386,7.2884
0.134721,0.005289,N1,package,0.4973,94.0151
0.134754,0.005289,N1,ram,0.0502,9.4977
0.139874,0.005289,N0,package,1.1226,212.2409
0.139906,0.005290,N0,ram,0.0441,8.3447
0.140010,0.005289,N1,package,0.4486,84.8179
0.140042,0.005288,N1,ram,0.0428,8.0909
0.145188,0.005314,N0,package,1.1884,223.6339
0.145219,0.005313,N0,ram,0.0469,8.8339
0.145443,0.005433,N1,package,0.2967,54.6108
0.145630,0.005588,N1,ram,0.0314,5.6223
0.150744,0.005556,N0,package,1.0957,197.2155
0.150776,0.005557,N0,ram,0.0431,7.7601
0.150879,0.005436,N1,package,0.5209,95.8316
0.150913,0.005283,N1,ram,0.0541,10.2363
0.156033,0.005289,N0,package,0.9824,185.7454
0.156064,0.005288,N0,ram,0.0389,7.3609
0.156193,0.005314,N1,package,0.4571,86.0148
0.156433,0.005520,N1,ram,0.0430,7.7896
0.161574,0.005541,N0,package,1.3227,238.7064
0.161606,0.005542,N0,ram,0.0511,9.2152
0.161710,0.005517,N1,package,0.4580,83.0175
0.161743,0.005310,N1,ram,0.0478,9.0090
0.166854,0.005280,N0,package,0.9487,179.6913
0.166871,0.005265,N0,ram,0.0369,7.0019
0.166950,0.005240,N1,package,0.4417,84.2967
0.166958,0.005215,N1,ram,0.0423,8.1163
0.172077,0.005223,N0,package,1.1652,223.0812
0.172109,0.005238,N0,ram,0.0462,8.8270
0.172348,0.005398,N1,package,0.3611,66.9031
0.172522,0.005564,N1,ram,0.0391,7.0206
0.177640,0.005563,N0,package,1.2264,220.4630
0.177654,0.005545,N0,ram,0.0484,8.7230
0.177735,0.005387,N1,package,0.4898,90.9228
0.177743,0.005221,N1,ram,0.0475,9.0953
0.182855,0.005215,N0,package,1.0828,207.6277
0.182887,0.005233,N0,ram,0.0414,7.9020
0.182990,0.005255,N1,package,0.3440,65.4606
0.183023,0.005280,N1,ram,0.0361,6.8289
0.188150,0.005295,N0,package,1.0084,190.4352
0.188197,0.005310,N0,ram,0.0384,7.2245
0.188251,0.005261,N1,package,0.2988,56.8012
0.188459,0.005436,N1,ram,0.0302,5.5467
0.193580,0.005430,N0,package,1.1799,217.2881
0.193610,0.005413,N0,ram,0.0460,8.4905
0.193719,0.005468,N1,package,0.5378,98.3525
0.193752,0.005293,N1,ram,0.0535,10.1127
0.198873,0.005293,N0,package,1.0598,200.2130
0.198904,0.005294,N0,ram,0.0411,7.7705
0.199009,0.005290,N1,package,0.4824,91.1830
0.199042,0.005290,N1,ram,0.0458,8.6562
0.204180,0.005307,N0,package,0.9747,183.6704
0.204210,0.005306,N0,ram,0.0387,7.2987
0.204264,0.005255,N1,package,0.3613,68.7591
0.204434,0.005392,N1,ram,0.0373,6.9193
0.209547,0.005367,N0,package,1.0816,201.5271
0.209560,0.005350,N0,ram,0.0420,7.8492
0.209638,0.005374,N1,package,0.3527,65.6212
0.209646,0.005212,N1,ram,0.0363,6.9677
0.214751,0.005204,N0,package,1.3021,250.2178
0.214764,0.005204,N0,ram,0.0501,9.6229
0.214844,0.005206,N1,package,0.5635,108.2387
0.214852,0.005206,N1,ram,0.0522,10.0326
0.219963,0.005212,N0,package,1.1059,212.1799
0.219994,0.005230,N0,ram,0.0435,8.3239
0.220098,0.005254,N1,package,0.3847,73.2209
0.220131,0.005279,N1,ram,0.0409,7.7409
0.225224,0.005261,N0,package,0.9431,179.2673
0.225256,0.005262,N0,ram,0.0367,6.9655
0.225545,0.005447,N1,package,0.2950,54.1672
0.225671,0.005540,N1,ram,0.0308,5.5608
0.230785,0.005561,N0,package,1.2659,227.6495
0.230816,0.005560,N0,ram,0.0505,9.0837
0.230919,0.005374,N1,package,0.5569,103.6220
0.230952,0.005281,N1,ram,0.0533,10.0984
0.236081,0.005296,N0,package,1.1069,209.0041
0.236113,0.005297,N0,ram,0.0396,7.4725
0.236347,0.005428,N1,package,0.3290,60.6097
0.236465,0.005513,N1,ram,0.0364,6.5985
0.241590,0.005509,N0,package,0.9727,176.5720
0.241622,0.005509,N0,ram,0.0395,7.1711
0.241726,0.005379,N1,package,0.4742,88.1663
0.241735,0.005270,N1,ram,0.0457,8.6659
0.246847,0.005257,N0,package,1.2720,241.9745
0.246879,0.005257,N0,ram,0.0496,9.4331
0.246983,0.005257,N1,package,0.4500,85.5888
0.247016,0.005281,N1,ram,0.0462,8.7577
0.252143,0.005296,N0,package,1.1029,208.2528
0.252193,0.005314,N0,ram,0.0436,8.2067
0.252428,0.005445,N1,package,0.3193,58.6475
0.252548,0.005532,N1,ram,0.0335,6.0516
0.257661,0.005518,N0,package,1.1922,216.0487
0.257692,0.005499,N0,ram,0.0456,8.2855
0.257799,0.005371,N1,package,0.5614,104.5274
0.257833,0.005285,N1,ram,0.0555,10.5064
0.262953,0.005292,N0,package,1.1051,208.8275
0.262985,0.005293,N0,ram,0.0435,8.2191
0.263088,0.005289,N1,package,0.4418,83.5370
0.263122,0.005289,N1,ram,0.0424,8.0144
0.268223,0.005270,N0,package,0.9729,184.6109
0.268254,0.005269,N0,ram,0.0373,7.0719
0.268546,0.005458,N1,package,0.2983,54.6599
0.268663,0.005541,N1,ram,0.0346,6.2513
