#timestamp,interval,socket,domain,energy,power
0.005179,0.005331,N0,package,0.3109,58.3124
0.005211,0.005343,N0,ram,0.0406,7.6020
0.005306,0.005311,N1,package,0.2988,56.2658
0.005317,0.005317,N1,ram,0.0453,8.5119
0.010508,0.005329,N0,package,0.3431,64.3894
0.010559,0.005348,N0,ram,0.0437,8.1630
0.010810,0.005504,N1,package,0.2711,49.2572
0.010930,0.005613,N1,ram,0.0415,7.3887
0.016123,0.005615,N0,package,0.3534,62.9375
0.016161,0.005602,N0,ram,0.0439,7.8311
0.016261,0.005451,N1,package,0.2877,52.7833
0.016282,0.005352,N1,ram,0.0441,8.2452
0.021411,0.005288,N0,package,0.2560,48.4090
0.021446,0.005285,N0,ram,0.0320,6.0457
0.021561,0.005300,N1,package,0.2853,53.8256
0.021605,0.005323,N1,ram,0.0426,8.0093
0.026706,0.005295,N0,package,0.3555,67.1324
0.026724,0.005278,N0,ram,0.0423,8.0166
0.026832,0.005271,N1,package,0.3170,60.1324
0.026842,0.005237,N1,ram,0.0456,8.7000
0.031951,0.005245,N0,package,0.3484,66.4350
0.031970,0.005246,N0,ram,0.0384,7.3270
0.032079,0.005247,N1,package,0.3069,58.4890
0.032089,0.005247,N1,ram,0.0354,6.7557
0.037207,0.005256,N0,package,0.4163,79.1944
0.037241,0.005271,N0,ram,0.0469,8.8902
0.037344,0.005265,N1,package,0.2366,44.9446
0.037365,0.005276,N1,ram,0.0410,7.7798
0.042497,0.005290,N0,package,0.3957,74.8027
0.042532,0.005291,N0,ram,0.0406,7.6683
0.042799,0.005455,N1,package,0.3461,63.4517
0.042922,0.005557,N1,ram,0.0483,8.6906
0.048108,0.005611,N0,package,0.4324,77.0665
0.048142,0.005610,N0,ram,0.0448,7.9857
0.048245,0.005446,N1,package,0.2867,52.6525
0.048280,0.005358,N1,ram,0.0410,7.6522
0.053397,0.005289,N0,package,0.4446,84.0600
0.053414,0.005272,N0,ram,0.0424,8.0517
0.053546,0.005301,N1,package,0.3188,60.1371
0.053555,0.005275,N1,ram,0.0436,8.2672
0.058639,0.005242,N0,package,0.4198,80.0822
0.058655,0.005241,N0,ram,0.0428,8.1579
0.058767,0.005221,N1,package,0.3300,63.2080
0.058776,0.005221,N1,ram,0.0413,7.9171

libgomp: Invalid value for environment variable OMP_NUM_THREADS
0.063913,0.005274,N0,package,0.5184,98.2871
0.063961,0.005306,N0,ram,0.0464,8.7423
0.064074,0.005307,N1,package,0.3863,72.7896
0.064095,0.005319,N1,ram,0.0502,9.4326
0.069238,0.005325,N0,package,0.6956,130.6249
0.069285,0.005324,N0,ram,0.0540,10.1460
0.069385,0.005311,N1,package,0.3053,57.4839
0.069405,0.005310,N1,ram,0.0386,7.2730
0.074554,0.005316,N0,package,0.7875,148.1441
0.074580,0.005295,N0,ram,0.0621,11.7257
0.074663,0.005278,N1,package,0.2164,40.9956
0.074671,0.005266,N1,ram,0.0294,5.5866
0.079834,0.005280,N0,package,0.6146,116.4057
0.079871,0.005291,N0,ram,0.0473,8.9402
0.079970,0.005307,N1,package,0.3804,71.6708
0.079991,0.005320,N1,ram,0.0465,8.7421
0.085152,0.005318,N0,package,0.8104,152.3881
0.085254,0.005383,N0,ram,0.0694,12.8890
0.085377,0.005407,N1,package,0.4344,80.3401
0.085396,0.005405,N1,ram,0.0510,9.4405
