#timestamp,interval,socket,domain,energy,power
0.005309,0.005625,N0,package,0.3688,65.5598
0.005364,0.005503,N0,ram,0.0457,8.2960
0.005483,0.005489,N1,package,0.2822,51.4046
0.005502,0.005502,N1,ram,0.0417,7.5819
0.010717,0.005408,N0,package,0.3423,63.3031
0.010760,0.005396,N0,ram,0.0446,8.2630
0.010861,0.005378,N1,package,0.2791,51.8991
0.010889,0.005387,N1,ram,0.0445,8.2571
0.016046,0.005329,N0,package,0.2895,54.3245
0.016300,0.005540,N0,ram,0.0353,6.3733
0.016455,0.005594,N1,package,0.1876,33.5398
0.016490,0.005601,N1,ram,0.0338,6.0260
0.021619,0.005573,N0,package,0.3400,61.0019
0.021656,0.005356,N0,ram,0.0439,8.1966
0.021765,0.005310,N1,package,0.3211,60.4713
0.021787,0.005297,N1,ram,0.0489,9.2297
0.026915,0.005296,N0,package,0.3707,70.0015
0.026950,0.005294,N0,ram,0.0442,8.3469
0.027073,0.005308,N1,package,0.2658,50.0777
0.027352,0.005565,N1,ram,0.0423,7.6062
0.032469,0.005554,N0,package,0.3436,61.8708
0.032486,0.005536,N0,ram,0.0424,7.6651
0.032619,0.005546,N1,package,0.3340,60.2223
0.032632,0.005280,N1,ram,0.0533,10.0858
0.037749,0.005280,N0,package,0.3815,72.2594
0.037784,0.005298,N0,ram,0.0471,8.8853
0.037886,0.005267,N1,package,0.2495,47.3598
0.037909,0.005277,N1,ram,0.0384,7.2840
0.043054,0.005305,N0,package,0.4075,76.8081
0.043095,0.005311,N0,ram,0.0411,7.7429
0.043323,0.005437,N1,package,0.2808,51.6401
0.043513,0.005604,N1,ram,0.0416,7.4170
0.048691,0.005637,N0,package,0.4738,84.0557
0.048732,0.005637,N0,ram,0.0517,9.1711
0.048833,0.005510,N1,package,0.3285,59.6163
0.048854,0.005341,N1,ram,0.0480,8.9963
0.053976,0.005285,N0,package,0.3844,72.7337
0.053994,0.005262,N0,ram,0.0419,7.9656
0.054293,0.005460,N1,package,0.2115,38.7337
0.054423,0.005569,N1,ram,0.0347,6.2334
0.059509,0.005533,N0,package,0.4116,74.3831
0.059526,0.005532,N0,ram,0.0455,8.2196
0.059656,0.005363,N1,package,0.3901,72.7348
0.059668,0.005245,N1,ram,0.0554,10.5605
0.064819,0.005310,N0,package,0.4111,77.4138
0.064866,0.005340,N0,ram,0.0411,7.6982
0.064968,0.005312,N1,package,0.2696,50.7519
0.065111,0.005443,N1,ram,0.0381,6.9999
0.070242,0.005423,N0,package,0.6862,126.5256
0.070274,0.005408,N0,ram,0.0582,10.7697
0.070380,0.005412,N1,package,0.2404,44.4222
0.070391,0.005280,N1,ram,0.0374,7.0861
0.075555,0.005313,N0,package,0.7538,141.8891
0.075631,0.005357,N0,ram,0.0610,11.3849
0.075734,0.005354,N1,package,0.3640,67.9900
0.075755,0.005364,N1,ram,0.0504,9.3875
0.080907,0.005352,N0,package,0.6092,113.8247
0.080936,0.005305,N0,ram,0.0557,10.5042
0.081060,0.005326,N1,package,0.3493,65.5843
0.081071,0.005316,N1,ram,0.0443,8.3383
0.086197,0.005290,N0,package,0.7313,138.2340
0.086244,0.005308,N0,ram,0.0560,10.5445
0.086345,0.005285,N1,package,0.2897,54.8217
0.086367,0.005296,N1,ram,0.0389,7.3528
0.091495,0.005298,N0,package,0.7208,136.0472
0.091543,0.005299,N0,ram,0.0595,11.2272
0.091646,0.005301,N1,package,0.3427,64.6390
0.091668,0.005301,N1,ram,0.0454,8.5721
0.096811,0.005316,N0,package,0.7614,143.2185
0.096901,0.005358,N0,ram,0.0590,11.0155
0.097012,0.005366,N1,package,0.3555,66.2465
0.097025,0.005357,N1,ram,0.0428,7.9925
0.102140,0.005329,N0,package,0.7167,134.4939
0.102200,0.005299,N0,ram,0.0579,10.9225
0.102304,0.005292,N1,package,0.3063,57.8730
0.102325,0.005300,N1,ram,0.0392,7.3875
0.107473,0.005333,N0,package,0.7579,142.1230
0.107523,0.005323,N0,ram,0.0616,11.5634
0.107625,0.005321,N1,package,0.4604,86.5378
0.107646,0.005321,N1,ram,0.0522,9.8102
0.112798,0.005325,N0,package,0.8157,153.1874
0.112854,0.005331,N0,ram,0.0592,11.1032
0.112956,0.005331,N1,package,0.3364,63.1070
0.112978,0.005332,N1,ram,0.0410,7.6924
0.118125,0.005327,N0,package,0.6678,125.3705
0.118166,0.005312,N0,ram,0.0502,9.4559
0.118266,0.005310,N1,package,0.3121,58.7816
0.118288,0.005310,N1,ram,0.0351,6.6037
0.123444,0.005319,N0,package,0.8951,168.2837
0.123506,0.005340,N0,ram,0.0648,12.1416
0.123605,0.005339,N1,package,0.4969,93.0691
0.123626,0.005338,N1,ram,0.0516,9.6700
0.128775,0.005331,N0,package,0.6844,128.3893
0.128822,0.005316,N0,ram,0.0608,11.4412
0.128922,0.005317,N1,package,0.3561,66.9673
0.128942,0.005316,N1,ram,0.0402,7.5608
0.134253,0.005478,N0,package,0.7773,141.9053
0.134305,0.005483,N0,ram,0.0440,8.0177
0.134422,0.005500,N1,package,0.3123,56.7865
0.134455,0.005513,N1,ram,0.0339,6.1470
0.139593,0.005340,N0,package,1.0847,203.1267
0.139619,0.005314,N0,ram,0.0720,13.5471
0.139722,0.005300,N1,package,0.4819,90.9301
0.139735,0.005280,N1,ram,0.0501,9.4818
0.144891,0.005298,N0,package,0.8717,164.5377
0.144934,0.005315,N0,ram,0.0583,10.9753
0.145049,0.005327,N1,package,0.5251,98.5823
0.145058,0.005323,N1,ram,0.0489,9.1904
0.150150,0.005259,N0,package,0.8411,159.9275
0.150178,0.005244,N0,ram,0.0546,10.4198
0.150290,0.005241,N1,package,0.4624,88.2293
0.150303,0.005245,N1,ram,0.0439,8.3669
0.155417,0.005267,N0,package,0.8544,162.2191
0.155478,0.005300,N0,ram,0.0571,10.7794
0.155572,0.005282,N1,package,0.4294,81.3007
0.155592,0.005289,N1,ram,0.0373,7.0566
0.160726,0.005309,N0,package,0.8402,158.2654
0.160756,0.005278,N0,ram,0.0542,10.2629
0.160850,0.005278,N1,package,0.4954,93.8678
0.160861,0.005269,N1,ram,0.0403,7.6572
0.165996,0.005270,N0,package,0.9232,175.1835
0.166074,0.005318,N0,ram,0.0630,11.8531
0.166185,0.005335,N1,package,0.4186,78.4577
0.166206,0.005345,N1,ram,0.0439,8.2102
0.171353,0.005357,N0,package,0.8746,163.2571
0.171432,0.005358,N0,ram,0.0576,10.7564
0.171532,0.005347,N1,package,0.4860,90.8847
0.171553,0.005347,N1,ram,0.0457,8.5554
0.176717,0.005364,N0,package,0.7393,137.8313
0.176770,0.005338,N0,ram,0.0504,9.4442
0.176870,0.005338,N1,package,0.4174,78.1870
0.176903,0.005350,N1,ram,0.0408,7.6296
0.182053,0.005336,N0,package,0.8076,151.3398
0.182241,0.005471,N0,ram,0.0543,9.9290
0.182390,0.005520,N1,package,0.4431,80.2730
0.182419,0.005516,N1,ram,0.0406,7.3693
0.187603,0.005550,N0,package,1.0237,184.4612
0.187653,0.005412,N0,ram,0.0686,12.6821
0.187752,0.005362,N1,package,0.4522,84.3392
0.187773,0.005354,N1,ram,0.0437,8.1621
0.192919,0.005316,N0,package,0.8386,157.7540
0.192977,0.005324,N0,ram,0.0562,10.5554
0.193091,0.005339,N1,package,0.5141,96.2886
0.193123,0.005350,N1,ram,0.0452,8.4481
0.198344,0.005425,N0,package,0.9567,176.3368
0.198371,0.005394,N0,ram,0.0635,11.7793
0.198453,0.005362,N1,package,0.4854,90.5277
0.198462,0.005339,N1,ram,0.0462,8.6598
0.203592,0.005248,N0,package,0.7903,150.5923
0.203637,0.005266,N0,ram,0.0537,10.1968
0.203738,0.005285,N1,package,0.4437,83.9475
0.203759,0.005297,N1,ram,0.0413,7.7890
0.208909,0.005317,N0,package,0.8890,167.1961
0.208957,0.005320,N0,ram,0.0561,10.5462
0.209060,0.005322,N1,package,0.4174,78.4216
0.209080,0.005321,N1,ram,0.0389,7.3125
0.214227,0.005318,N0,package,0.7916,148.8532
0.214299,0.005342,N0,ram,0.0639,11.9568
0.214400,0.005340,N1,package,0.4155,77.8161
0.214420,0.005340,N1,ram,0.0384,7.1838
0.219556,0.005329,N0,package,0.9946,186.6483
0.219579,0.005280,N0,ram,0.0563,10.6551
0.219685,0.005285,N1,package,0.5566,105.3126
0.219697,0.005277,N1,ram,0.0514,9.7361
0.224824,0.005268,N0,package,0.8077,153.3266
0.224878,0.005299,N0,ram,0.0560,10.5596
0.224978,0.005293,N1,package,0.4091,77.2808
0.224998,0.005301,N1,ram,0.0375,7.0810
0.230224,0.005400,N0,package,0.9393,173.9407
0.230260,0.005382,N0,ram,0.0609,11.3065
0.230381,0.005403,N1,package,0.3140,58.1228
0.230392,0.005394,N1,ram,0.0304,5.6292
0.235529,0.005305,N0,package,0.8749,164.9256
0.235630,0.005370,N0,ram,0.0583,10.8632
0.235758,0.005377,N1,package,0.6327,117.6649
0.235778,0.005386,N1,ram,0.0577,10.7205
0.240905,0.005376,N0,package,0.7578,140.9544
0.240947,0.005317,N0,ram,0.0497,9.3556
0.241075,0.005317,N1,package,0.4327,81.3768
0.241107,0.005329,N1,ram,0.0414,7.7595
0.246273,0.005368,N0,package,0.9725,181.1614
0.246321,0.005374,N0,ram,0.0644,11.9902
0.246332,0.005257,N1,package,0.3448,65.5964
0.246334,0.005227,N1,ram,0.0343,6.5626
0.251475,0.005202,N0,package,0.8586,165.0466
0.251520,0.005199,N0,ram,0.0546,10.5013
0.251542,0.005210,N1,package,0.5239,100.5631
0.251550,0.005216,N1,ram,0.0470,9.0100
0.256725,0.005250,N0,package,0.7913,150.7168
0.256830,0.005310,N0,ram,0.0519,9.7787
0.256851,0.005309,N1,package,0.5052,95.1665
0.256859,0.005309,N1,ram,0.0469,8.8353
0.261988,0.005263,N0,package,0.8400,159.5956
0.262043,0.005213,N0,ram,0.0553,10.6081
0.262050,0.005199,N1,package,0.4615,88.7770
0.262052,0.005193,N1,ram,0.0423,8.1539
0.267180,0.005192,N0,package,0.8575,165.1533
0.267253,0.005210,N0,ram,0.0571,10.9678
0.267274,0.005224,N1,package,0.3803,72.8007
0.267283,0.005231,N1,ram,0.0368,7.0327
0.272429,0.005249,N0,package,0.8220,156.5930
0.272481,0.005228,N0,ram,0.0543,10.3845
0.272501,0.005227,N1,package,0.4346,83.1498
0.272509,0.005226,N1,ram,0.0425,8.1405
0.277653,0.005224,N0,package,0.8192,156.8177
0.277705,0.005224,N0,ram,0.0661,12.6446
0.277727,0.005226,N1,package,0.5295,101.3185
0.277735,0.005226,N1,ram,0.0465,8.9051
0.282872,0.005219,N0,package,0.8897,170.4757
0.282904,0.005199,N0,ram,0.0480,9.2334
0.282911,0.005184,N1,package,0.4506,86.9267
0.282914,0.005179,N1,ram,0.0412,7.9639
0.288055,0.005183,N0,package,0.8197,158.1526
0.288116,0.005212,N0,ram,0.0547,10.4925
0.288144,0.005233,N1,package,0.4775,91.2428
0.288152,0.005238,N1,ram,0.0286,5.4649
0.293284,0.005229,N0,package,0.8835,168.9586
0.293316,0.005200,N0,ram,0.0567,10.8985
0.293323,0.005179,N1,package,0.2660,51.3603
0.293325,0.005173,N1,ram,0.0440,8.5099
0.298475,0.005191,N0,package,0.9039,174.1393
0.298524,0.005208,N0,ram,0.0581,11.1511
0.298533,0.005210,N1,package,0.5047,96.8683
0.298536,0.005211,N1,ram,0.0452,8.6764
0.303695,0.005220,N0,package,0.8909,170.6706
0.303775,0.005251,N0,ram,0.0604,11.5104
0.303796,0.005263,N1,package,0.5129,97.4642
0.303804,0.005268,N1,ram,0.0467,8.8718
0.308970,0.005275,N0,package,0.8522,161.5606
0.309006,0.005231,N0,ram,0.0568,10.8597
0.309013,0.005217,N1,package,0.4241,81.2854
0.309015,0.005211,N1,ram,0.0399,7.6515
0.314222,0.005252,N0,package,0.7702,146.6526
0.314269,0.005263,N0,ram,0.0509,9.6722
0.314282,0.005269,N1,package,0.3228,61.2662
0.314284,0.005269,N1,ram,0.0295,5.6036
0.319410,0.005188,N0,package,0.8193,157.9294
0.319438,0.005169,N0,ram,0.0537,10.3936
0.319445,0.005163,N1,package,0.5315,102.9438
0.319448,0.005164,N1,ram,0.0501,9.6946
0.324616,0.005206,N0,package,0.9050,173.8282
0.324701,0.005263,N0,ram,0.0600,11.4031
0.324722,0.005277,N1,package,0.5334,101.0791
0.324731,0.005283,N1,ram,0.0495,9.3698
0.329889,0.005273,N0,package,0.8213,155.7576
0.329961,0.005260,N0,ram,0.0560,10.6493
0.329969,0.005247,N1,package,0.4993,95.1509
0.329971,0.005240,N1,ram,0.0452,8.6312
0.335112,0.005223,N0,package,0.8520,163.1216
0.335177,0.005216,N0,ram,0.0554,10.6218
0.335199,0.005230,N1,package,0.2966,56.7061
0.335207,0.005236,N1,ram,0.0289,5.5252
0.340351,0.005239,N0,package,0.8179,156.1234
0.340413,0.005236,N0,ram,0.0536,10.2320
0.340435,0.005236,N1,package,0.5084,97.0914
0.340443,0.005236,N1,ram,0.0468,8.9351
0.345603,0.005252,N0,package,0.7675,146.1346
0.345647,0.005234,N0,ram,0.0495,9.4602
0.345667,0.005232,N1,package,0.5258,100.4985
0.345675,0.005232,N1,ram,0.0468,8.9358
0.350785,0.005182,N0,package,0.9859,190.2626
0.350813,0.005166,N0,ram,0.0658,12.7451
0.350820,0.005153,N1,package,0.4537,88.0418
0.350822,0.005147,N1,ram,0.0408,7.9214
0.355958,0.005173,N0,package,0.8667,167.5362
0.355985,0.005172,N0,ram,0.0566,10.9514
0.355993,0.005173,N1,package,0.4293,82.9814
0.355996,0.005174,N1,ram,0.0414,8.0100
0.361141,0.005183,N0,package,0.8196,158.1409
0.361212,0.005227,N0,ram,0.0542,10.3723
0.361236,0.005243,N1,package,0.4302,82.0583
0.361245,0.005249,N1,ram,0.0425,8.1047
0.366419,0.005278,N0,package,0.8036,152.2678
0.366463,0.005251,N0,ram,0.0542,10.3301
0.366484,0.005248,N1,package,0.5338,101.7162
0.366491,0.005246,N1,ram,0.0480,9.1449
0.371643,0.005224,N0,package,0.9368,179.3320
0.371699,0.005236,N0,ram,0.0625,11.9310
0.371720,0.005236,N1,package,0.4193,80.0838
0.371728,0.005237,N1,ram,0.0400,7.6453
0.376866,0.005223,N0,package,0.8364,160.1300
0.376963,0.005264,N0,ram,0.0546,10.3715
0.376986,0.005266,N1,package,0.4459,84.6688
0.376994,0.005266,N1,ram,0.0398,7.5599
0.382124,0.005258,N0,package,0.7560,143.7751
0.382177,0.005214,N0,ram,0.0513,9.8302
0.382198,0.005212,N1,package,0.4282,82.1598
0.382206,0.005212,N1,ram,0.0420,8.0626
0.387333,0.005209,N0,package,0.8856,170.0183
0.387362,0.005185,N0,ram,0.0592,11.4245
0.387370,0.005172,N1,package,0.5159,99.7424
0.387373,0.005167,N1,ram,0.0464,8.9775
0.392501,0.005168,N0,package,0.9031,174.7570
0.392538,0.005176,N0,ram,0.0609,11.7594
0.392559,0.005189,N1,package,0.3663,70.5988
0.392567,0.005194,N1,ram,0.0352,6.7716
0.397695,0.005194,N0,package,0.8012,154.2581
0.397742,0.005204,N0,ram,0.0558,10.7229
0.397762,0.005203,N1,package,0.5065,97.3534
0.397770,0.005203,N1,ram,0.0453,8.7101
0.402884,0.005189,N0,package,0.7660,147.6199
0.402905,0.005163,N0,ram,0.0511,9.8914
0.402912,0.005150,N1,package,0.4539,88.1381
0.402914,0.005144,N1,ram,0.0429,8.3415
0.408055,0.005171,N0,package,0.8528,164.9264
0.408102,0.005197,N0,ram,0.0551,10.5996
0.408124,0.005212,N1,package,0.3167,60.7533
0.408132,0.005218,N1,ram,0.0315,6.0298
0.413258,0.005203,N0,package,0.7993,153.6258
0.413293,0.005191,N0,ram,0.0536,10.3291
0.413313,0.005189,N1,package,0.4623,89.0895
0.413322,0.005190,N1,ram,0.0430,8.2819
0.418445,0.005187,N0,package,0.7831,150.9807
0.418487,0.005194,N0,ram,0.0514,9.9033
0.418507,0.005194,N1,package,0.5912,113.8222
0.418515,0.005193,N1,ram,0.0524,10.0873
0.423628,0.005183,N0,package,0.7809,150.6748
0.423647,0.005160,N0,ram,0.0523,10.1339
0.423655,0.005148,N1,package,0.3235,62.8381
0.423658,0.005143,N1,ram,0.0336,6.5391
0.428778,0.005150,N0,package,0.9293,180.4479
0.428818,0.005171,N0,ram,0.0609,11.7737
0.428840,0.005185,N1,package,0.5123,98.8074
