#timestamp,interval,socket,domain,energy,power
0.005186,0.005486,N0,package,0.3267,59.5468
0.005313,0.005423,N0,ram,0.0419,7.7236
0.005429,0.005435,N1,package,0.2773,51.0293
0.005451,0.005451,N1,ram,0.0408,7.4881
0.010787,0.005601,N0,package,0.3777,67.4407
0.010877,0.005564,N0,ram,0.0496,8.9211
0.010976,0.005547,N1,package,0.3391,61.1337
0.010990,0.005539,N1,ram,0.0529,9.5565
0.016162,0.005375,N0,package,0.3071,57.1412
0.016287,0.005410,N0,ram,0.0388,7.1641
0.016405,0.005429,N1,package,0.2906,53.5385
0.016413,0.005423,N1,ram,0.0411,7.5857
0.021612,0.005450,N0,package,0.2948,54.0916
0.021911,0.005624,N0,ram,0.0357,6.3487
0.022020,0.005615,N1,package,0.2874,51.1870
0.022030,0.005617,N1,ram,0.0454,8.0764
0.027185,0.005573,N0,package,0.3627,65.0760
0.027226,0.005315,N0,ram,0.0443,8.3427
0.027328,0.005308,N1,package,0.3195,60.1825
0.027350,0.005320,N1,ram,0.0438,8.2259
0.032545,0.005360,N0,package,0.4000,74.6330
0.032581,0.005355,N0,ram,0.0454,8.4830
0.032828,0.005500,N1,package,0.2914,52.9801
0.032948,0.005598,N1,ram,0.0417,7.4549
0.038147,0.005602,N0,package,0.3539,63.1802
0.038181,0.005600,N0,ram,0.0403,7.2041
0.038287,0.005459,N1,package,0.3044,55.7572
0.038308,0.005360,N1,ram,0.0424,7.9142
0.043485,0.005338,N0,package,0.3970,74.3679
0.043503,0.005322,N0,ram,0.0400,7.5119
0.043619,0.005332,N1,package,0.3221,60.4171
0.043632,0.005324,N1,ram,0.0445,8.3600
0.048897,0.005412,N0,package,0.4180,77.2398
0.048915,0.005412,N0,ram,0.0418,7.7255
0.049002,0.005383,N1,package,0.1957,36.3511
0.049010,0.005378,N1,ram,0.0285,5.3028
0.054186,0.005289,N0,package,0.3902,73.7776
0.054336,0.005421,N0,ram,0.0392,7.2393
0.054456,0.005454,N1,package,0.4131,75.7391
0.054477,0.005467,N1,ram,0.0566,10.3606
0.059628,0.005442,N0,package,0.3602,66.1926
0.059935,0.005599,N0,ram,0.0359,6.4101
0.060093,0.005637,N1,package,0.3203,56.8239
0.060126,0.005649,N1,ram,0.0426,7.5361
0.065255,0.005627,N0,package,0.5686,101.0506
0.065294,0.005359,N0,ram,0.0544,10.1418
0.065396,0.005303,N1,package,0.3685,69.4928
0.065416,0.005290,N1,ram,0.0454,8.5816
0.070529,0.005274,N0,package,0.5167,97.9630
0.070545,0.005251,N0,ram,0.0473,9.0025
0.070622,0.005226,N1,package,0.3148,60.2422
0.070631,0.005215,N1,ram,0.0454,8.7044
0.075705,0.005176,N0,package,0.5146,99.4167
0.075739,0.005194,N0,ram,0.0533,10.2559
0.075967,0.005345,N1,package,0.2357,44.0997
0.076085,0.005454,N1,ram,0.0335,6.1496
0.081216,0.005511,N0,package,0.5947,107.9200
0.081251,0.005512,N0,ram,0.0612,11.1036
0.081353,0.005386,N1,package,0.4194,77.8766
0.081387,0.005302,N1,ram,0.0519,9.7817
0.086510,0.005294,N0,package,0.4896,92.4851
0.086534,0.005283,N0,ram,0.0514,9.7217
0.086637,0.005284,N1,package,0.2918,55.2243
0.086649,0.005262,N1,ram,0.0368,6.9858
0.091764,0.005254,N0,package,0.4678,89.0430
0.091798,0.005264,N0,ram,0.0454,8.6323
0.091901,0.005264,N1,package,0.2999,56.9765
0.091935,0.005286,N1,ram,0.0361,6.8298
0.097059,0.005295,N0,package,0.6077,114.7614
0.097096,0.005298,N0,ram,0.0573,10.8179
0.097196,0.005295,N1,package,0.4213,79.5620
0.097217,0.005282,N1,ram,0.0508,9.6170
0.102331,0.005272,N0,package,0.6293,119.3748
0.102345,0.005249,N0,ram,0.0587,11.1860
0.102422,0.005226,N1,package,0.4081,78.0847
0.102429,0.005212,N1,ram,0.0463,8.8794
0.107542,0.005211,N0,package,0.5125,98.3381
0.107575,0.005230,N0,ram,0.0458,8.7586
0.107841,0.005419,N1,package,0.3289,60.6971
0.107968,0.005539,N1,ram,0.0363,6.5537
0.113080,0.005538,N0,package,0.6696,120.9134
0.113097,0.005522,N0,ram,0.0640,11.5836
0.113173,0.005332,N1,package,0.3485,65.3622
0.113180,0.005212,N1,ram,0.0419,8.0421
0.118285,0.005205,N0,package,0.6024,115.7283
0.118300,0.005203,N0,ram,0.0524,10.0650
0.118374,0.005201,N1,package,0.4929,94.7766
0.118382,0.005202,N1,ram,0.0510,9.8058
0.123490,0.005205,N0,package,0.5432,104.3536
0.123505,0.005205,N0,ram,0.0441,8.4694
0.123591,0.005217,N1,package,0.3685,70.6392
0.123600,0.005218,N1,ram,0.0384,7.3574
0.128707,0.005217,N0,package,0.6312,120.9922
0.128741,0.005236,N0,ram,0.0521,9.9546
0.128965,0.005374,N1,package,0.3669,68.2705
0.129083,0.005483,N1,ram,0.0401,7.3164
0.134208,0.005501,N0,package,0.7935,144.2379
0.134241,0.005500,N0,ram,0.0616,11.2003
0.134344,0.005379,N1,package,0.4803,89.3010
0.134377,0.005294,N1,ram,0.0455,8.6006
0.139496,0.005288,N0,package,0.6154,116.3710
0.139529,0.005288,N0,ram,0.0500,9.4528
0.139631,0.005287,N1,package,0.4183,79.1227
0.139693,0.005316,N1,ram,0.0423,7.9595
0.144817,0.005321,N0,package,0.6950,130.6153
0.144850,0.005321,N0,ram,0.0527,9.8991
0.144953,0.005322,N1,package,0.2922,54.9112
0.144962,0.005269,N1,ram,0.0323,6.1336
0.150076,0.005259,N0,package,0.7596,144.4454
0.150109,0.005259,N0,ram,0.0601,11.4317
0.150211,0.005258,N1,package,0.4678,88.9668
0.150233,0.005271,N1,ram,0.0452,8.5804
0.155348,0.005272,N0,package,0.6261,118.7558
0.155364,0.005255,N0,ram,0.0486,9.2395
0.155443,0.005232,N1,package,0.5206,99.4953
0.155451,0.005218,N1,ram,0.0513,9.8313
0.160571,0.005223,N0,package,0.6151,117.7745
0.160605,0.005241,N0,ram,0.0505,9.6341
0.160860,0.005417,N1,package,0.3076,56.7750
0.160977,0.005526,N1,ram,0.0335,6.0584
0.166102,0.005531,N0,package,0.7979,144.2600
0.166140,0.005535,N0,ram,0.0614,11.0935
0.166239,0.005379,N1,package,0.5064,94.1462
0.166259,0.005282,N1,ram,0.0528,10.0037
0.171372,0.005270,N0,package,0.5911,112.1679
0.171387,0.005247,N0,ram,0.0488,9.3086
0.171469,0.005230,N1,package,0.4753,90.8884
0.171477,0.005218,N1,ram,0.0449,8.6123
0.176582,0.005210,N0,package,0.6403,122.8922
0.176595,0.005208,N0,ram,0.0501,9.6217
0.176782,0.005313,N1,package,0.4191,78.8770
0.176894,0.005417,N1,ram,0.0429,7.9151
0.182009,0.005427,N0,package,0.7449,137.2613
0.182043,0.005448,N0,ram,0.0582,10.6849
0.182144,0.005362,N1,package,0.3214,59.9420
0.182165,0.005271,N1,ram,0.0339,6.4324
0.187280,0.005271,N0,package,0.6805,129.1116
0.187294,0.005251,N0,ram,0.0551,10.5020
0.187376,0.005232,N1,package,0.4432,84.7151
0.187385,0.005220,N1,ram,0.0445,8.5211
0.192497,0.005217,N0,package,0.6528,125.1337
0.192530,0.005236,N0,ram,0.0524,10.0134
0.192631,0.005255,N1,package,0.4750,90.3857
0.192667,0.005282,N1,ram,0.0445,8.4322
0.197790,0.005293,N0,package,0.6147,116.1341
0.197824,0.005294,N0,ram,0.0501,9.4566
0.197928,0.005297,N1,package,0.2992,56.4843
0.197962,0.005295,N1,ram,0.0320,6.0487
0.203084,0.005294,N0,package,0.7716,145.7488
0.203118,0.005294,N0,ram,0.0626,11.8321
0.203218,0.005290,N1,package,0.5053,95.5212
0.203252,0.005290,N1,ram,0.0520,9.8302
0.208372,0.005288,N0,package,0.5770,109.1108
0.208409,0.005291,N0,ram,0.0460,8.6975
0.208508,0.005290,N1,package,0.4498,85.0334
0.208541,0.005289,N1,ram,0.0441,8.3379
0.213687,0.005315,N0,package,0.6912,130.0383
0.213722,0.005313,N0,ram,0.0552,10.3881
0.213938,0.005430,N1,package,0.4271,78.6490
0.214054,0.005513,N1,ram,0.0453,8.2176
0.219180,0.005493,N0,package,0.7589,138.1616
0.219213,0.005491,N0,ram,0.0603,10.9904
0.219316,0.005378,N1,package,0.4515,83.9601
0.219350,0.005296,N1,ram,0.0437,8.2460
0.224470,0.005290,N0,package,0.6157,116.3815
0.224501,0.005288,N0,ram,0.0483,9.1301
0.224606,0.005290,N1,package,0.4164,78.7222
0.224626,0.005276,N1,ram,0.0376,7.1346
0.229721,0.005251,N0,package,0.6821,129.8888
0.229742,0.005241,N0,ram,0.0521,9.9364
0.229870,0.005264,N1,package,0.4766,90.5473
0.229882,0.005256,N1,ram,0.0472,8.9853
0.234994,0.005273,N0,package,0.6014,114.0517
0.235027,0.005285,N0,ram,0.0498,9.4180
0.235128,0.005258,N1,package,0.3904,74.2439
0.235162,0.005280,N1,ram,0.0358,6.7826
0.240274,0.005280,N0,package,0.7309,138.4268
0.240289,0.005262,N0,ram,0.0572,10.8687
0.240365,0.005237,N1,package,0.5379,102.7100
0.240373,0.005211,N1,ram,0.0472,9.0542
0.245486,0.005212,N0,package,0.6270,120.3004
0.245522,0.005233,N0,ram,0.0507,9.6806
0.245619,0.005254,N1,package,0.3987,75.8927
0.245664,0.005291,N1,ram,0.0377,7.1262
0.250786,0.005300,N0,package,0.6913,130.4414
0.250819,0.005297,N0,ram,0.0553,10.4367
0.250922,0.005303,N1,package,0.3541,66.7681
0.250943,0.005279,N1,ram,0.0354,6.7145
0.256064,0.005278,N0,package,0.7450,141.1544
0.256096,0.005277,N0,ram,0.0582,11.0257
0.256197,0.005275,N1,package,0.5828,110.4763
0.256231,0.005288,N1,ram,0.0525,9.9318
0.261317,0.005253,N0,package,0.5630,107.1847
0.261331,0.005235,N0,ram,0.0453,8.6511
0.261458,0.005261,N1,package,0.3893,74.0063
0.261470,0.005239,N1,ram,0.0369,7.0487
0.266589,0.005272,N0,package,0.7726,146.5586
0.266620,0.005289,N0,ram,0.0611,11.5600
0.266884,0.005426,N1,package,0.4532,83.5335
0.267001,0.005531,N1,ram,0.0435,7.8652
0.272124,0.005535,N0,package,0.6158,111.2502
0.272158,0.005538,N0,ram,0.0486,8.7673
0.272259,0.005375,N1,package,0.5027,93.5203
0.272292,0.005291,N1,ram,0.0480,9.0671
0.277405,0.005281,N0,package,0.7192,136.1828
0.277418,0.005260,N0,ram,0.0569,10.8262
0.277500,0.005241,N1,package,0.5203,99.2696
0.277508,0.005216,N1,ram,0.0466,8.9368
0.282617,0.005212,N0,package,0.6530,125.2948
0.282636,0.005218,N0,ram,0.0521,9.9775
0.282823,0.005323,N1,package,0.4243,79.7033
0.282936,0.005428,N1,ram,0.0413,7.6156
0.288045,0.005428,N0,package,0.6017,110.8580
0.288060,0.005424,N0,ram,0.0472,8.7096
0.288135,0.005312,N1,package,0.3726,70.1326
0.288143,0.005207,N1,ram,0.0327,6.2857
0.293256,0.005211,N0,package,0.7704,147.8468
0.293289,0.005229,N0,ram,0.0631,12.0722
0.293389,0.005254,N1,package,0.5386,102.5115
0.293409,0.005266,N1,ram,0.0500,9.5042
0.298530,0.005274,N0,package,0.6413,121.6000
0.298563,0.005274,N0,ram,0.0490,9.2958
0.298678,0.005289,N1,package,0.4510,85.2679
0.298879,0.005470,N1,ram,0.0413,7.5540
0.304001,0.005471,N0,package,0.7309,133.5948
0.304039,0.005476,N0,ram,0.0579,10.5719
0.304138,0.005460,N1,package,0.3971,72.7277
0.304158,0.005279,N1,ram,0.0408,7.7290
0.309277,0.005276,N0,package,0.6510,123.3844
0.309307,0.005268,N0,ram,0.0533,10.1236
0.309411,0.005273,N1,package,0.5286,100.2378
0.309432,0.005274,N1,ram,0.0463,8.7808
0.314561,0.005284,N0,package,0.6769,128.1040
0.314592,0.005285,N0,ram,0.0527,9.9636
0.314866,0.005455,N1,package,0.3192,58.5063
0.314983,0.005551,N1,ram,0.0326,5.8662
0.320108,0.005547,N0,package,0.6528,117.6790
0.320140,0.005548,N0,ram,0.0537,9.6839
0.320242,0.005376,N1,package,0.5554,103.3060
0.320263,0.005280,N1,ram,0.0524,9.9211
0.325377,0.005269,N0,package,0.7108,134.8923
0.325392,0.005252,N0,ram,0.0570,10.8541
0.325518,0.005276,N1,package,0.4416,83.6983
0.325530,0.005267,N1,ram,0.0404,7.6741
0.330661,0.005284,N0,package,0.6216,117.6332
0.330695,0.005303,N0,ram,0.0493,9.2941
0.330917,0.005399,N1,package,0.4598,85.1713
0.331034,0.005504,N1,ram,0.0435,7.8985
0.336153,0.005492,N0,package,0.7657,139.4303
0.336168,0.005473,N0,ram,0.0615,11.2410
0.336292,0.005375,N1,package,0.4327,80.5074
0.336303,0.005269,N1,ram,0.0397,7.5381
0.341409,0.005256,N0,package,0.6281,119.5054
0.341424,0.005256,N0,ram,0.0488,9.2872
0.341503,0.005211,N1,package,0.5637,108.1698
0.341511,0.005208,N1,ram,0.0496,9.5162
0.346631,0.005222,N0,package,0.6793,130.0746
0.346686,0.005262,N0,ram,0.0550,10.4540
0.346904,0.005401,N1,package,0.2980,55.1687
0.347023,0.005512,N1,ram,0.0303,5.5034
0.352149,0.005518,N0,package,0.6408,116.1314
0.352186,0.005500,N0,ram,0.0584,10.6227
0.352286,0.005382,N1,package,0.5473,101.6946
0.352306,0.005283,N1,ram,0.0516,9.7713
0.357421,0.005272,N0,package,0.6037,114.5123
0.357436,0.005250,N0,ram,0.0393,7.4928
0.357558,0.005272,N1,package,0.5074,96.2388
0.357570,0.005264,N1,ram,0.0454,8.6265
0.362700,0.005279,N0,package,0.7886,149.3892
0.362731,0.005295,N0,ram,0.0633,11.9476
0.362954,0.005396,N1,package,0.4256,78.8745
0.363072,0.005502,N1,ram,0.0414,7.5323
0.368187,0.005487,N0,package,0.7328,133.5618
0.368202,0.005471,N0,ram,0.0582,10.6457
0.368278,0.005324,N1,package,0.5218,98.0047
0.368286,0.005214,N1,ram,0.0468,8.9727
0.373399,0.005212,N0,package,0.6234,119.5978
0.373437,0.005235,N0,ram,0.0487,9.3011
0.373534,0.005256,N1,package,0.4161,79.1748
0.373568,0.005282,N1,ram,0.0385,7.2854
0.378704,0.005305,N0,package,0.6512,122.7479
0.378745,0.005308,N0,ram,0.0522,9.8369
0.378960,0.005426,N1,package,0.3312,61.0472
0.379077,0.005509,N1,ram,0.0348,6.3180
0.384203,0.005499,N0,package,0.6131,111.4950
0.384236,0.005491,N0,ram,0.0481,8.7594
0.384336,0.005376,N1,package,0.5611,104.3686
0.384369,0.005292,N1,ram,0.0513,9.6882
0.389491,0.005288,N0,package,0.7557,142.9071
0.389523,0.005287,N0,ram,0.0595,11.2583
0.389626,0.005290,N1,package,0.5029,95.0712
0.389908,0.005539,N1,ram,0.0449,8.1043
0.395052,0.005561,N0,package,0.7064,127.0177
0.395086,0.005563,N0,ram,0.0575,10.3435
0.395186,0.005560,N1,package,0.4944,88.9194
0.395207,0.005299,N1,ram,0.0446,8.4085
0.400319,0.005267,N0,package,0.6130,116.3942
0.400334,0.005248,N0,ram,0.0496,9.4556
0.400410,0.005224,N1,package,0.4418,84.5778
0.400419,0.005212,N1,ram,0.0422,8.0977
0.405534,0.005215,N0,package,0.7687,147.3925
