#timestamp,interval,socket,domain,energy,power
0.005166,0.005482,N0,package,0.2971,54.1883
0.005434,0.005549,N0,ram,0.0459,8.2660
0.005593,0.005600,N1,package,0.3036,54.2125
0.005605,0.005605,N1,ram,0.0487,8.6871
0.010786,0.005620,N0,package,0.3723,66.2372
0.010829,0.005395,N0,ram,0.0396,7.3311
0.010929,0.005336,N1,package,0.2639,49.4477
0.010957,0.005352,N1,ram,0.0426,7.9515
0.016158,0.005372,N0,package,0.3077,57.2739
0.016214,0.005385,N0,ram,0.0391,7.2569
0.016455,0.005526,N1,package,0.2665,48.2244
0.016575,0.005618,N1,ram,0.0436,7.7569
0.021703,0.005545,N0,package,0.3142,56.6663
0.021723,0.005509,N0,ram,0.0399,7.2401
0.021832,0.005377,N1,package,0.2347,43.6561
0.021840,0.005265,N1,ram,0.0399,7.5758
0.026928,0.005225,N0,package,0.3770,72.1449
0.026947,0.005224,N0,ram,0.0448,8.5729
0.027075,0.005243,N1,package,0.3158,60.2312
0.027087,0.005247,N1,ram,0.0500,9.5301
0.032206,0.005278,N0,package,0.3158,59.8312
0.032224,0.005277,N0,ram,0.0375,7.0989
0.032353,0.005278,N1,package,0.2724,51.6117
0.032365,0.005278,N1,ram,0.0423,8.0195
0.037484,0.005278,N0,package,0.3676,69.6521
0.037517,0.005293,N0,ram,0.0401,7.5845
0.037620,0.005267,N1,package,0.2838,53.8722
0.037642,0.005277,N1,ram,0.0419,7.9433
0.042768,0.005284,N0,package,0.3796,71.8343
0.042812,0.005295,N0,ram,0.0403,7.6048
0.042856,0.005236,N1,package,0.2482,47.4091
0.042883,0.005241,N1,ram,0.0390,7.4388
0.048058,0.005290,N0,package,0.3192,60.3425
0.048076,0.005264,N0,ram,0.0341,6.4788
0.048186,0.005330,N1,package,0.3091,57.9882
0.048197,0.005314,N1,ram,0.0461,8.6830
0.053456,0.005398,N0,package,0.4050,75.0327
0.053501,0.005425,N0,ram,0.0489,9.0091
0.053618,0.005432,N1,package,0.2387,43.9457
0.053639,0.005442,N1,ram,0.0401,7.3716
0.058833,0.005377,N0,package,0.4041,75.1472
0.058867,0.005366,N0,ram,0.0306,5.7042
0.058970,0.005352,N1,package,0.3405,63.6123
0.059005,0.005366,N1,ram,0.0475,8.8548
0.064096,0.005263,N0,package,0.4024,76.4579
0.064144,0.005277,N0,ram,0.0369,6.9861
0.064372,0.005402,N1,package,0.2791,51.6565
0.064481,0.005476,N1,ram,0.0379,6.9272
0.069620,0.005524,N0,package,0.7595,137.4858
0.069669,0.005525,N0,ram,0.0625,11.3203
0.069768,0.005396,N1,package,0.2924,54.1930
0.069790,0.005309,N1,ram,0.0431,8.1110
0.074915,0.005295,N0,package,0.7983,150.7598
0.074934,0.005265,N0,ram,0.0668,12.6881
0.075030,0.005262,N1,package,0.3878,73.6880
0.075040,0.005250,N1,ram,0.0401,7.6436
0.080203,0.005288,N0,package,0.6813,128.8310
0.080248,0.005314,N0,ram,0.0541,10.1852
0.080377,0.005347,N1,package,0.2832,52.9647
0.080398,0.005358,N1,ram,0.0487,9.0847
0.085558,0.005355,N0,package,0.7310,136.5143
0.085607,0.005359,N0,ram,0.0573,10.6913
0.085705,0.005328,N1,package,0.2525,47.3921
0.085726,0.005328,N1,ram,0.0314,5.8939
0.090865,0.005307,N0,package,0.6617,124.6935
0.090896,0.005289,N0,ram,0.0532,10.0603
0.090996,0.005291,N1,package,0.4658,88.0404
0.091007,0.005281,N1,ram,0.0555,10.5029
0.096200,0.005335,N0,package,0.8904,166.8914
0.096436,0.005540,N0,ram,0.0697,12.5868
0.096541,0.005545,N1,package,0.3604,64.9879
0.096550,0.005543,N1,ram,0.0486,8.7622
0.101670,0.005470,N0,package,0.7524,137.5569
0.101693,0.005257,N0,ram,0.0568,10.8036
0.101801,0.005260,N1,package,0.3763,71.5482
0.101812,0.005262,N1,ram,0.0392,7.4469
0.106964,0.005294,N0,package,0.6828,128.9742
0.106992,0.005299,N0,ram,0.0533,10.0581
0.107071,0.005270,N1,package,0.3593,68.1810
0.107080,0.005268,N1,ram,0.0415,7.8755
0.112254,0.005290,N0,package,0.9213,174.1705
0.112297,0.005305,N0,ram,0.0662,12.4859
0.112450,0.005379,N1,package,0.2192,40.7585
0.112462,0.005382,N1,ram,0.0255,4.7347
0.117633,0.005379,N0,package,0.8176,151.9865
0.117695,0.005398,N0,ram,0.0601,11.1260
0.117781,0.005331,N1,package,0.5405,101.3925
0.117792,0.005330,N1,ram,0.0599,11.2340
0.122928,0.005295,N0,package,0.8041,151.8617
0.122971,0.005276,N0,ram,0.0534,10.1138
0.123071,0.005290,N1,package,0.3913,73.9686
0.123091,0.005299,N1,ram,0.0395,7.4579
0.128251,0.005323,N0,package,0.9048,169.9825
0.128296,0.005325,N0,ram,0.0624,11.7174
0.128405,0.005334,N1,package,0.3712,69.5810
0.128426,0.005335,N1,ram,0.0421,7.8995
0.133572,0.005321,N0,package,0.8826,165.8758
0.133616,0.005320,N0,ram,0.0585,10.9908
0.133715,0.005310,N1,package,0.3935,74.1068
0.133735,0.005309,N1,ram,0.0384,7.2344
0.138874,0.005302,N0,package,0.7665,144.5655
0.138901,0.005285,N0,ram,0.0517,9.7760
0.138999,0.005284,N1,package,0.5066,95.8715
0.139010,0.005275,N1,ram,0.0489,9.2767
0.144136,0.005262,N0,package,0.9916,188.4448
0.144157,0.005256,N0,ram,0.0667,12.6810
0.144415,0.005416,N1,package,0.3472,64.1127
0.144519,0.005509,N1,ram,0.0357,6.4812
