#timestamp,interval,socket,domain,energy,power
0.005172,0.005317,N0,package,0.3471,65.2828
0.005210,0.005311,N0,ram,0.0508,9.5615
0.005301,0.005307,N1,package,0.2635,49.6497
0.005311,0.005311,N1,ram,0.0383,7.2056
0.010501,0.005329,N0,package,0.2084,39.1141
0.010533,0.005323,N0,ram,0.0351,6.6015
0.010754,0.005453,N1,package,0.3477,63.7538
0.010869,0.005558,N1,ram,0.0484,8.7165
0.016029,0.005528,N0,package,0.3256,58.8909
0.016054,0.005521,N0,ram,0.0522,9.4469
0.016148,0.005394,N1,package,0.3389,62.8232
0.016158,0.005289,N1,ram,0.0462,8.7328
0.021322,0.005293,N0,package,0.1973,37.2814
0.021349,0.005295,N0,ram,0.0296,5.5848
0.021461,0.005313,N1,package,0.3322,62.5295
0.021477,0.005319,N1,ram,0.0449,8.4457
0.026748,0.005426,N0,package,0.2558,47.1437
0.026846,0.005497,N0,ram,0.0507,9.2241
0.026986,0.005525,N1,package,0.3020,54.6622
0.026995,0.005518,N1,ram,0.0410,7.4386
0.032156,0.005408,N0,package,0.3116,57.6262
0.032180,0.005334,N0,ram,0.0346,6.4878
0.032286,0.005300,N1,package,0.3479,65.6410
0.032293,0.005298,N1,ram,0.0432,8.1505
0.037448,0.005292,N0,package,0.2721,51.4168
0.037470,0.005290,N0,ram,0.0419,7.9120
0.037743,0.005457,N1,package,0.3551,65.0709
0.037973,0.005680,N1,ram,0.0417,7.3395
0.043119,0.005671,N0,package,0.3279,57.8276
0.043242,0.005772,N0,ram,0.0388,6.7175
0.043365,0.005622,N1,package,0.4267,75.8989
0.043374,0.005401,N1,ram,0.0487,9.0234
0.048507,0.005388,N0,package,0.3077,57.1041
0.048531,0.005289,N0,ram,0.0369,6.9845
0.048728,0.005363,N1,package,0.4067,75.8417
0.048882,0.005508,N1,ram,0.0464,8.4301
0.054040,0.005533,N0,package,0.2648,47.8642
0.054060,0.005529,N0,ram,0.0344,6.2234
0.054164,0.005436,N1,package,0.3746,68.9067
0.054184,0.005302,N1,ram,0.0420,7.9230
0.059337,0.005297,N0,package,0.4639,87.5841
0.059358,0.005298,N0,ram,0.0444,8.3838
0.059370,0.005206,N1,package,0.3616,69.4633
0.059377,0.005193,N1,ram,0.0405,7.8072
0.064520,0.005183,N0,package,0.2957,57.0524
0.064763,0.005405,N0,ram,0.0440,8.1334
0.064885,0.005515,N1,package,0.4255,77.1508
0.064893,0.005516,N1,ram,0.0465,8.4371
0.070009,0.005489,N0,package,0.3539,64.4837
0.070041,0.005278,N0,ram,0.0394,7.4706
0.070141,0.005256,N1,package,0.4235,80.5646
0.070161,0.005268,N1,ram,0.0467,8.8718
0.075276,0.005267,N0,package,0.3887,73.8067
0.075291,0.005250,N0,ram,0.0447,8.5188
0.075365,0.005224,N1,package,0.3783,72.4151
0.075373,0.005212,N1,ram,0.0443,8.5021
0.080495,0.005219,N0,package,0.4172,79.9306
0.080541,0.005250,N0,ram,0.0464,8.8414
0.080599,0.005234,N1,package,0.2489,47.5547
0.080760,0.005387,N1,ram,0.0317,5.8802
0.085851,0.005356,N0,package,0.4050,75.6239
0.085867,0.005326,N0,ram,0.0464,8.7094
0.085984,0.005385,N1,package,0.4582,85.0878
0.086003,0.005243,N1,ram,0.0522,9.9503
0.091115,0.005264,N0,package,0.3552,67.4813
0.091148,0.005281,N0,ram,0.0342,6.4751
0.091248,0.005264,N1,package,0.3126,59.3882
