#timestamp,interval,socket,domain,energy,power
0.005097,0.005191,N0,package,0.2855,55.0024
0.005128,0.005209,N0,ram,0.0406,7.7920
0.005223,0.005229,N1,package,0.2675,51.1486
0.005231,0.005231,N1,ram,0.0396,7.5781
0.010393,0.005296,N0,package,0.1951,36.8332
0.010414,0.005286,N0,ram,0.0330,6.2381
0.010513,0.005290,N1,package,0.3354,63.4116
0.010521,0.005290,N1,ram,0.0466,8.8091
0.015623,0.005230,N0,package,0.3085,58.9818
0.015655,0.005241,N0,ram,0.0466,8.8916
0.015806,0.005293,N1,package,0.2869,54.2073
0.015815,0.005294,N1,ram,0.0393,7.4192
0.020906,0.005283,N0,package,0.2881,54.5295
0.020925,0.005270,N0,ram,0.0453,8.5993
0.020937,0.005131,N1,package,0.2911,56.7290
0.020944,0.005129,N1,ram,0.0409,7.9758
0.026031,0.005125,N0,package,0.2568,50.1043
0.026050,0.005125,N0,ram,0.0368,7.1902
0.026130,0.005193,N1,package,0.3846,74.0579
0.026137,0.005193,N1,ram,0.0519,9.9962
0.031223,0.005192,N0,package,0.2516,48.4680
0.031244,0.005194,N0,ram,0.0382,7.3474
0.031409,0.005279,N1,package,0.3239,61.3494
0.031417,0.005280,N1,ram,0.0388,7.3519
0.036504,0.005281,N0,package,0.2532,47.9408
0.036524,0.005280,N0,ram,0.0365,6.9156
0.036674,0.005265,N1,package,0.3676,69.8224
0.036683,0.005266,N1,ram,0.0441,8.3713
0.041768,0.005264,N0,package,0.2484,47.1905
0.041785,0.005261,N0,ram,0.0356,6.7666
0.041914,0.005240,N1,package,0.2963,56.5485
0.041922,0.005239,N1,ram,0.0356,6.8008
0.047074,0.005306,N0,package,0.3463,65.2682
0.047092,0.005307,N0,ram,0.0488,9.2004
0.047191,0.005277,N1,package,0.4283,81.1733
0.047199,0.005277,N1,ram,0.0479,9.0797
0.052349,0.005275,N0,package,0.2377,45.0560
0.052367,0.005275,N0,ram,0.0308,5.8345
0.052461,0.005270,N1,package,0.4168,79.0908
0.052468,0.005269,N1,ram,0.0480,9.1077
0.057555,0.005206,N0,package,0.3572,68.6074
0.057571,0.005204,N0,ram,0.0397,7.6324
0.057904,0.005443,N1,package,0.3885,71.3871
0.058015,0.005547,N1,ram,0.0422,7.6004
0.063133,0.005578,N0,package,0.3820,68.4892
0.063168,0.005597,N0,ram,0.0442,7.8954
0.063266,0.005362,N1,package,0.4090,76.2764
0.063285,0.005270,N1,ram,0.0462,8.7673
0.068468,0.005335,N0,package,0.4193,78.5835
0.068501,0.005333,N0,ram,0.0491,9.2042
0.068600,0.005334,N1,package,0.3033,56.8571
0.068619,0.005334,N1,ram,0.0382,7.1575
0.073905,0.005437,N0,package,0.3414,62.7848
0.074006,0.005505,N0,ram,0.0387,7.0212
0.074148,0.005548,N1,package,0.2418,43.5761
0.074177,0.005558,N1,ram,0.0354,6.3610
0.079348,0.005443,N0,package,0.3547,65.1746
0.079466,0.005460,N0,ram,0.0415,7.6098
0.079589,0.005441,N1,package,0.4844,89.0240
0.079598,0.005421,N1,ram,0.0559,10.3045
0.084879,0.005531,N0,package,0.3901,70.5355
0.084998,0.005532,N0,ram,0.0594,10.7462
0.085126,0.005537,N1,package,0.3510,63.3937
0.085147,0.005549,N1,ram,0.0428,7.7216
0.090270,0.005391,N0,package,0.1125,20.8663
0.090304,0.005306,N0,ram,0.0000,0.0000
0.090406,0.005280,N1,package,0.3514,66.5605
0.090441,0.005294,N1,ram,0.0426,8.0501
0.095569,0.005299,N0,package,1.1308,213.3948
0.095608,0.005304,N0,ram,0.0922,17.3758
0.095865,0.005459,N1,package,0.3341,61.2048
0.095982,0.005541,N1,ram,0.0413,7.4575
0.101111,0.005542,N0,package,0.8181,147.6089
0.101143,0.005535,N0,ram,0.0663,11.9812
0.101245,0.005380,N1,package,0.3162,58.7645
0.101266,0.005284,N1,ram,0.0396,7.4936
0.106395,0.005284,N0,package,0.7098,134.3417
0.106436,0.005293,N0,ram,0.0553,10.4447
0.106536,0.005291,N1,package,0.4304,81.3497
0.106557,0.005291,N1,ram,0.0480,9.0699
0.111696,0.005301,N0,package,0.7468,140.8725
0.111732,0.005296,N0,ram,0.0551,10.3982
0.111921,0.005385,N1,package,0.2267,42.0962
0.111942,0.005385,N1,ram,0.0290,5.3867
0.117057,0.005361,N0,package,0.9256,172.6514
0.117073,0.005341,N0,ram,0.0676,12.6589
0.117195,0.005274,N1,package,0.4273,81.0206
0.117207,0.005265,N1,ram,0.0468,8.8886
0.122334,0.005277,N0,package,0.8962,169.8300
0.122367,0.005294,N0,ram,0.0603,11.3906
0.122470,0.005275,N1,package,0.5095,96.5800
0.122491,0.005284,N1,ram,0.0525,9.9337
0.127645,0.005311,N0,package,0.8340,157.0408
0.127677,0.005310,N0,ram,0.0568,10.6897
0.127913,0.005443,N1,package,0.4214,77.4313
0.128032,0.005541,N1,ram,0.0453,8.1786
0.133163,0.005518,N0,package,0.9885,179.1392
0.133194,0.005517,N0,ram,0.0623,11.2871
0.133297,0.005384,N1,package,0.3431,63.7194
0.133318,0.005286,N1,ram,0.0365,6.9078
0.138438,0.005275,N0,package,0.8936,169.3939
0.138459,0.005265,N0,ram,0.0587,11.1434
0.138570,0.005273,N1,package,0.5056,95.8785
0.138582,0.005264,N1,ram,0.0483,9.1830
0.143699,0.005261,N0,package,0.8234,156.5166
0.143733,0.005274,N0,ram,0.0504,9.5508
