#timestamp,interval,socket,domain,energy,power
0.005208,0.005511,N0,package,0.2234,40.5458
0.005314,0.005434,N0,ram,0.0334,6.1439
0.005336,0.005343,N1,package,0.3182,59.5620
0.005344,0.005344,N1,ram,0.0490,9.1710
0.010508,0.005300,N0,package,0.2474,46.6857
0.010528,0.005214,N0,ram,0.0359,6.8832
0.010540,0.005204,N1,package,0.3043,58.4670
0.010548,0.005204,N1,ram,0.0411,7.9021
0.015710,0.005202,N0,package,0.3572,68.6726
0.015729,0.005201,N0,ram,0.0356,6.8386
0.015741,0.005201,N1,package,0.2854,54.8731
0.015748,0.005200,N1,ram,0.0405,7.7792
0.020908,0.005198,N0,package,0.2645,50.8900
0.020928,0.005199,N0,ram,0.0568,10.9240
0.021126,0.005385,N1,package,0.2712,50.3590
0.021134,0.005386,N1,ram,0.0385,7.1476
0.026324,0.005416,N0,package,0.2701,49.8792
0.026361,0.005433,N0,ram,0.0378,6.9598
0.026458,0.005332,N1,package,0.3426,64.2518
0.026477,0.005343,N1,ram,0.0509,9.5215
0.031671,0.005347,N0,package,0.2732,51.0927
0.031707,0.005346,N0,ram,0.0354,6.6303
0.031820,0.005362,N1,package,0.2845,53.0668
0.031829,0.005352,N1,ram,0.0396,7.4070
0.037045,0.005374,N0,package,0.3076,57.2309
0.037377,0.005670,N0,ram,0.0398,7.0211
0.037531,0.005711,N1,package,0.3096,54.2052
0.037565,0.005736,N1,ram,0.0455,7.9355
0.042752,0.005707,N0,package,0.3772,66.0935
0.042789,0.005412,N0,ram,0.0454,8.3824
0.042890,0.005359,N1,package,0.3182,59.3844
0.042912,0.005347,N1,ram,0.0446,8.3385
0.048039,0.005287,N0,package,0.3883,73.4430
0.048295,0.005506,N0,ram,0.0429,7.7984
0.048405,0.005515,N1,package,0.3444,62.4396
0.048415,0.005503,N1,ram,0.0490,8.8977
0.053610,0.005571,N0,package,0.4365,78.3470
0.053736,0.005441,N0,ram,0.0443,8.1385
0.053839,0.005434,N1,package,0.2845,52.3659
0.053865,0.005450,N1,ram,0.0429,7.8646
0.059215,0.005605,N0,package,0.4418,78.8287
0.059320,0.005584,N0,ram,0.0422,7.5556
0.059433,0.005594,N1,package,0.2515,44.9525
0.059442,0.005577,N1,ram,0.0359,6.4435
0.064616,0.005401,N0,package,0.3988,73.8403
0.064732,0.005412,N0,ram,0.0363,6.7045
0.064826,0.005393,N1,package,0.4086,75.7588
0.064833,0.005391,N1,ram,0.0522,9.6855
0.070066,0.005450,N0,package,0.4474,82.0893
0.070235,0.005503,N0,ram,0.0454,8.2492
0.070337,0.005511,N1,package,0.3423,62.1200
0.070358,0.005525,N1,ram,0.0438,7.9320
0.075449,0.005383,N0,package,0.3076,57.1459
0.075463,0.005228,N0,ram,0.0320,6.1116
0.075585,0.005248,N1,package,0.3365,64.1163
0.075597,0.005239,N1,ram,0.0466,8.8978
0.080724,0.005275,N0,package,0.7204,136.5680
0.080745,0.005282,N0,ram,0.0600,11.3619
0.080850,0.005265,N1,package,0.3470,65.9157
0.080861,0.005264,N1,ram,0.0432,8.2033
0.085984,0.005260,N0,package,0.6900,131.1794
0.085999,0.005254,N0,ram,0.0561,10.6730
0.086283,0.005433,N1,package,0.1533,28.2210
0.086391,0.005530,N1,ram,0.0252,4.5612
0.091553,0.005569,N0,package,0.8455,151.8267
0.091664,0.005665,N0,ram,0.0669,11.8029
0.091782,0.005499,N1,package,0.4383,79.7024
0.091803,0.005412,N1,ram,0.0575,10.6206
0.096988,0.005435,N0,package,0.7331,134.8840
0.097038,0.005374,N0,ram,0.0598,11.1248
0.097254,0.005472,N1,package,0.3902,71.3088
0.097372,0.005569,N1,ram,0.0469,8.4172
0.102522,0.005534,N0,package,0.8340,150.6972
0.102564,0.005526,N0,ram,0.0661,11.9617
0.102662,0.005408,N1,package,0.2996,55.4029
0.102685,0.005313,N1,ram,0.0415,7.8119
0.107823,0.005301,N0,package,0.7150,134.8738
0.107841,0.005277,N0,ram,0.0548,10.3896
0.107948,0.005286,N1,package,0.4201,79.4754
0.107959,0.005274,N1,ram,0.0482,9.1453
0.113277,0.005454,N0,package,0.7856,144.0476
0.113331,0.005490,N0,ram,0.0604,11.0034
0.113445,0.005497,N1,package,0.3462,62.9785
0.113479,0.005520,N1,ram,0.0423,7.6679
0.118627,0.005350,N0,package,0.8184,152.9794
0.118672,0.005341,N0,ram,0.0629,11.7789
0.118772,0.005327,N1,package,0.3272,61.4249
0.118783,0.005304,N1,ram,0.0366,6.8989
0.123941,0.005314,N0,package,0.7228,136.0111
0.124052,0.005380,N0,ram,0.0513,9.5298
0.124118,0.005346,N1,package,0.4415,82.5895
0.124140,0.005357,N1,ram,0.0490,9.1461
0.129293,0.005352,N0,package,0.7604,142.0904
0.129340,0.005288,N0,ram,0.0546,10.3214
0.129439,0.005321,N1,package,0.3285,61.7346
0.129459,0.005319,N1,ram,0.0353,6.6438
0.134589,0.005296,N0,package,0.9785,184.7570
0.134609,0.005269,N0,ram,0.0682,12.9483
0.134716,0.005277,N1,package,0.3907,74.0368
0.134728,0.005269,N1,ram,0.0417,7.9175
0.139853,0.005264,N0,package,0.8448,160.5015
0.139875,0.005266,N0,ram,0.0563,10.6947
0.139980,0.005264,N1,package,0.5624,106.8338
0.139992,0.005264,N1,ram,0.0546,10.3749
0.145146,0.005293,N0,package,0.8217,155.2305
0.145215,0.005340,N0,ram,0.0558,10.4471
0.145319,0.005339,N1,package,0.2809,52.6222
0.145339,0.005347,N1,ram,0.0310,5.7987
0.150478,0.005332,N0,package,0.9601,180.0608
0.150520,0.005305,N0,ram,0.0645,12.1609
0.150620,0.005301,N1,package,0.5227,98.6050
0.150640,0.005301,N1,ram,0.0506,9.5508
0.155804,0.005326,N0,package,0.8434,158.3512
0.155863,0.005343,N0,ram,0.0563,10.5410
0.155961,0.005341,N1,package,0.4192,78.4844
0.155981,0.005341,N1,ram,0.0422,7.8936
0.161135,0.005331,N0,package,0.8283,155.3746
0.161174,0.005311,N0,ram,0.0552,10.3918
0.161293,0.005332,N1,package,0.3784,70.9712
0.161326,0.005345,N1,ram,0.0383,7.1654
0.166537,0.005402,N0,package,0.7773,143.9033
0.166614,0.005440,N0,ram,0.0669,12.2968
0.166711,0.005418,N1,package,0.4996,92.2051
0.166730,0.005404,N1,ram,0.0506,9.3687
0.171875,0.005338,N0,package,0.9962,186.6174
0.171928,0.005314,N0,ram,0.0511,9.6162
0.172031,0.005320,N1,package,0.3933,73.9296
0.172054,0.005324,N1,ram,0.0397,7.4547
0.177214,0.005339,N0,package,0.8063,151.0233
0.177266,0.005338,N0,ram,0.0542,10.1593
0.177365,0.005334,N1,package,0.3921,73.5090
0.177385,0.005331,N1,ram,0.0389,7.3016
0.182526,0.005312,N0,package,0.9722,183.0262
0.182575,0.005309,N0,ram,0.0641,12.0745
0.182673,0.005308,N1,package,0.4156,78.3075
0.182694,0.005309,N1,ram,0.0460,8.6653
0.187833,0.005307,N0,package,0.8176,154.0669
0.187870,0.005295,N0,ram,0.0536,10.1177
0.187972,0.005299,N1,package,0.4983,94.0333
0.187993,0.005299,N1,ram,0.0446,8.4258
0.193132,0.005299,N0,package,0.8614,162.5541
0.193173,0.005303,N0,ram,0.0582,10.9769
0.193346,0.005374,N1,package,0.3890,72.3933
0.193379,0.005386,N1,ram,0.0402,7.4564
0.198517,0.005385,N0,package,1.0009,185.8737
0.198553,0.005380,N0,ram,0.0670,12.4596
0.198665,0.005319,N1,package,0.4669,87.7813
0.198686,0.005307,N1,ram,0.0482,9.0800
0.203833,0.005316,N0,package,0.7943,149.4185
