#timestamp,interval,socket,domain,energy,power
0.005168,0.005463,N0,package,0.2577,47.1711
0.005206,0.005327,N0,ram,0.0370,6.9405
0.005506,0.005512,N1,package,0.3271,59.3520
0.005626,0.005626,N1,ram,0.0466,8.2777
0.010792,0.005624,N0,package,0.2351,41.8039
0.010818,0.005612,N0,ram,0.0387,6.8872
0.010912,0.005406,N1,package,0.3428,63.4073
0.010924,0.005298,N1,ram,0.0487,9.1902
0.016086,0.005294,N0,package,0.2571,48.5714
0.016109,0.005291,N0,ram,0.0389,7.3511
0.016220,0.005308,N1,package,0.3013,56.7675
0.016233,0.005309,N1,ram,0.0396,7.4643
0.021493,0.005407,N0,package,0.4025,74.4475
0.021586,0.005477,N0,ram,0.0567,10.3583
0.021698,0.005478,N1,package,0.3387,61.8384
0.021710,0.005477,N1,ram,0.0479,8.7365
0.026899,0.005406,N0,package,0.3323,61.4626
0.026935,0.005349,N0,ram,0.0320,5.9818
0.027036,0.005338,N1,package,0.3353,62.8080
0.027057,0.005347,N1,ram,0.0455,8.5040
0.032276,0.005377,N0,package,0.3243,60.3081
0.032526,0.005591,N0,ram,0.0475,8.4960
0.032721,0.005685,N1,package,0.2823,49.6540
0.032733,0.005676,N1,ram,0.0380,6.7022
0.037895,0.005619,N0,package,0.4130,73.5075
0.037912,0.005386,N0,ram,0.0422,7.8417
0.038055,0.005334,N1,package,0.3666,68.7374
0.038067,0.005334,N1,ram,0.0508,9.5315
0.043226,0.005331,N0,package,0.4250,79.7309
0.043245,0.005333,N0,ram,0.0402,7.5451
0.043520,0.005465,N1,package,0.3169,57.9859
0.043628,0.005561,N1,ram,0.0412,7.4004
0.048807,0.005581,N0,package,0.4364,78.1921
0.048924,0.005679,N0,ram,0.0408,7.1768
0.049035,0.005515,N1,package,0.3518,63.7897
0.049068,0.005440,N1,ram,0.0479,8.8131
0.054444,0.005637,N0,package,0.4201,74.5273
0.054547,0.005623,N0,ram,0.0368,6.5425
0.054692,0.005657,N1,package,0.3304,58.4030
0.054719,0.005651,N1,ram,0.0412,7.2905
0.059920,0.005476,N0,package,0.4642,84.7649
0.060068,0.005521,N0,ram,0.0419,7.5975
0.060167,0.005475,N1,package,0.3867,70.6330
0.060177,0.005458,N1,ram,0.0522,9.5610
0.065485,0.005565,N0,package,0.5273,94.7510
0.065585,0.005517,N0,ram,0.0450,8.1618
0.065734,0.005567,N1,package,0.2781,49.9501
0.065754,0.005577,N1,ram,0.0344,6.1754
0.070875,0.005390,N0,package,0.4841,89.8174
0.070908,0.005323,N0,ram,0.0461,8.6543
0.071011,0.005277,N1,package,0.3722,70.5321
0.071045,0.005291,N1,ram,0.0473,8.9369
0.076169,0.005294,N0,package,0.4515,85.2834
0.076201,0.005293,N0,ram,0.0432,8.1586
0.076480,0.005469,N1,package,0.3765,68.8351
0.076599,0.005554,N1,ram,0.0441,7.9372
0.081727,0.005558,N0,package,0.5659,101.8202
0.081760,0.005559,N0,ram,0.0510,9.1758
0.081864,0.005384,N1,package,0.2758,51.2295
0.081898,0.005299,N1,ram,0.0357,6.7441
0.087022,0.005295,N0,package,0.4630,87.4427
0.087054,0.005294,N0,ram,0.0450,8.5087
0.087157,0.005293,N1,package,0.4392,82.9809
0.087191,0.005293,N1,ram,0.0507,9.5765
0.092309,0.005287,N0,package,0.4330,81.8969
0.092326,0.005272,N0,ram,0.0411,7.7884
0.092553,0.005396,N1,package,0.2448,45.3681
0.092659,0.005468,N1,ram,0.0310,5.6761
0.097777,0.005468,N0,package,0.4706,86.0589
0.097810,0.005484,N0,ram,0.0463,8.4504
0.097912,0.005359,N1,package,0.4688,87.4707
0.097946,0.005287,N1,ram,0.0542,10.2597
0.103068,0.005291,N0,package,0.5549,104.8709
0.103100,0.005290,N0,ram,0.0524,9.8994
0.103206,0.005294,N1,package,0.4025,76.0333
0.103226,0.005280,N1,ram,0.0450,8.5314
0.108331,0.005263,N0,package,0.4953,94.1125
0.108364,0.005264,N0,ram,0.0458,8.6989
0.108589,0.005383,N1,package,0.2726,50.6376
0.108708,0.005482,N1,ram,0.0339,6.1846
0.113826,0.005495,N0,package,0.5051,91.9236
0.113839,0.005475,N0,ram,0.0453,8.2745
0.113922,0.005333,N1,package,0.5549,104.0458
0.113930,0.005222,N1,ram,0.0569,10.8995
0.119034,0.005208,N0,package,0.5598,107.4792
0.119049,0.005210,N0,ram,0.0489,9.3839
0.119131,0.005209,N1,package,0.3876,74.4167
0.119139,0.005209,N1,ram,0.0401,7.6953
0.124270,0.005236,N0,package,0.5461,104.2954
0.124304,0.005255,N0,ram,0.0443,8.4381
0.124498,0.005367,N1,package,0.3103,57.8164
0.124619,0.005480,N1,ram,0.0339,6.1786
0.129745,0.005475,N0,package,0.5900,107.7666
0.129777,0.005473,N0,ram,0.0484,8.8354
0.129884,0.005386,N1,package,0.5466,101.4934
0.129918,0.005299,N1,ram,0.0528,9.9573
0.135038,0.005293,N0,package,0.5171,97.6907
0.135070,0.005293,N0,ram,0.0433,8.1813
0.135175,0.005291,N1,package,0.3464,65.4766
0.135209,0.005291,N1,ram,0.0370,6.9935
