#timestamp,interval,socket,domain,energy,power
0.005286,0.005398,N0,package,0.2886,53.4704
0.005401,0.005505,N0,ram,0.0361,6.5610
0.005507,0.005519,N1,package,0.3289,59.5984
0.005529,0.005529,N1,ram,0.0554,10.0236
0.010704,0.005418,N0,package,0.3286,60.6402
0.010721,0.005320,N0,ram,0.0415,7.8042
0.010816,0.005309,N1,package,0.1906,35.9046
0.010843,0.005314,N1,ram,0.0388,7.3105
0.016031,0.005327,N0,package,0.3131,58.7781
0.016047,0.005326,N0,ram,0.0384,7.2053
0.016345,0.005529,N1,package,0.1984,35.8870
0.016444,0.005601,N1,ram,0.0537,9.5924
0.021625,0.005594,N0,package,0.3651,65.2684
0.021809,0.005762,N0,ram,0.0456,7.9076
0.021906,0.005561,N1,package,0.3185,57.2718
0.021921,0.005477,N1,ram,0.0365,6.6558
0.027101,0.005476,N0,package,0.3378,61.6816
0.027479,0.005670,N0,ram,0.0363,6.4102
0.027591,0.005685,N1,package,0.2950,51.8978
0.027604,0.005683,N1,ram,0.0514,9.0485
0.032779,0.005678,N0,package,0.4272,75.2359
0.032939,0.005460,N0,ram,0.0463,8.4761
0.033031,0.005440,N1,package,0.2417,44.4300
0.033045,0.005441,N1,ram,0.0425,7.8156
0.038356,0.005577,N0,package,0.4783,85.7565
0.038625,0.005686,N0,ram,0.0477,8.3915
0.038734,0.005703,N1,package,0.2589,45.3993
0.038747,0.005702,N1,ram,0.0457,8.0094
0.043920,0.005564,N0,package,0.3608,64.8529
0.044339,0.005714,N0,ram,0.0349,6.1100
0.044458,0.005724,N1,package,0.2985,52.1533
0.044482,0.005735,N1,ram,0.0522,9.1102
0.049656,0.005736,N0,package,0.4722,82.3290
0.049840,0.005501,N0,ram,0.0450,8.1744
0.049929,0.005471,N1,package,0.1771,32.3751
0.049942,0.005460,N1,ram,0.0324,5.9414
0.055322,0.005666,N0,package,0.3657,64.5359
0.055444,0.005604,N0,ram,0.0364,6.4967
0.055542,0.005613,N1,package,0.3201,57.0218
0.055555,0.005613,N1,ram,0.0530,9.4469
0.060728,0.005406,N0,package,0.4411,81.5926
0.060910,0.005466,N0,ram,0.0446,8.1682
0.061001,0.005459,N1,package,0.2891,52.9509
0.061014,0.005459,N1,ram,0.0469,8.5978
0.066363,0.005635,N0,package,0.4758,84.4451
0.066485,0.005575,N0,ram,0.0602,10.7976
0.066584,0.005583,N1,package,0.2449,43.8620
0.066597,0.005583,N1,ram,0.0404,7.2317
0.071770,0.005407,N0,package,0.5392,99.7293
0.071784,0.005299,N0,ram,0.0671,12.6698
0.071872,0.005288,N1,package,0.2037,38.5154
0.071905,0.005308,N1,ram,0.0352,6.6349
0.077182,0.005412,N0,package,0.3933,72.6724
0.077211,0.005427,N0,ram,0.0586,10.7969
0.077259,0.005387,N1,package,0.3687,68.4328
0.077275,0.005370,N1,ram,0.0535,9.9535
0.082444,0.005262,N0,package,0.4151,78.8879
0.082474,0.005263,N0,ram,0.0661,12.5652
0.082566,0.005307,N1,package,0.2720,51.2483
0.082595,0.005320,N1,ram,0.0387,7.2711
0.087788,0.005344,N0,package,0.4238,79.2990
0.087803,0.005329,N0,ram,0.0753,14.1338
0.087890,0.005324,N1,package,0.2643,49.6408
0.087906,0.005311,N1,ram,0.0384,7.2315
0.093272,0.005484,N0,package,0.4500,82.0464
0.093492,0.005689,N0,ram,0.0725,12.7426
0.093618,0.005728,N1,package,0.4132,72.1382
0.093630,0.005724,N1,ram,0.0568,9.9243
0.098803,0.005531,N0,package,0.4637,83.8436
0.098961,0.005469,N0,ram,0.0766,13.9981
0.099050,0.005432,N1,package,0.2900,53.3820
0.099062,0.005432,N1,ram,0.0411,7.5649
0.104350,0.005547,N0,package,0.3345,60.3084
0.104578,0.005617,N0,ram,0.0603,10.7436
0.104682,0.005632,N1,package,0.3002,53.2981
0.104703,0.005641,N1,ram,0.0383,6.7895
0.109870,0.005520,N0,package,0.4849,87.8397
0.110066,0.005488,N0,ram,0.0836,15.2368
0.110271,0.005589,N1,package,0.2905,51.9710
0.110348,0.005645,N1,ram,0.0384,6.8036
0.115659,0.005789,N0,package,0.5107,88.2257
0.115841,0.005775,N0,ram,0.0848,14.6802
0.115936,0.005665,N1,package,0.4614,81.4511
0.115949,0.005601,N1,ram,0.0592,10.5622
0.121177,0.005518,N0,package,0.4330,78.4680
0.121426,0.005585,N0,ram,0.0711,12.7317
0.121541,0.005605,N1,package,0.3329,59.4019
0.121552,0.005603,N1,ram,0.0407,7.2576
0.126792,0.005615,N0,package,0.4763,84.8188
0.127002,0.005576,N0,ram,0.0778,13.9559
0.127103,0.005562,N1,package,0.3263,58.6642
0.127114,0.005562,N1,ram,0.0405,7.2864
0.132421,0.005629,N0,package,0.4957,88.0657
0.132572,0.005570,N0,ram,0.0784,14.0673
0.132666,0.005563,N1,package,0.5090,91.5069
0.132677,0.005563,N1,ram,0.0565,10.1597
0.137880,0.005459,N0,package,0.5011,91.7919
0.138075,0.005503,N0,ram,0.0750,13.6202
0.138374,0.005708,N1,package,0.3550,62.1983
0.138516,0.005839,N1,ram,0.0386,6.6038
0.143701,0.005821,N0,package,0.6223,106.8982
0.143857,0.005782,N0,ram,0.0900,15.5646
0.143943,0.005569,N1,package,0.3705,66.5372
0.143961,0.005445,N1,ram,0.0411,7.5551
0.149295,0.005594,N0,package,0.5612,100.3139
0.149436,0.005579,N0,ram,0.0789,14.1429
0.149538,0.005595,N1,package,0.3892,69.5554
0.149559,0.005598,N1,ram,0.0398,7.1060
0.154773,0.005478,N0,package,0.5176,94.4958
0.154950,0.005514,N0,ram,0.0683,12.3949
0.155046,0.005508,N1,package,0.3906,70.9092
0.155067,0.005508,N1,ram,0.0395,7.1696
0.160177,0.005404,N0,package,0.5810,107.5119
0.160363,0.005413,N0,ram,0.0811,14.9739
0.160466,0.005420,N1,package,0.5896,108.7828
0.160476,0.005409,N1,ram,0.0608,11.2360
0.165724,0.005547,N0,package,0.4657,83.9543
0.165757,0.005394,N0,ram,0.0638,11.8274
0.165851,0.005385,N1,package,0.3743,69.5029
0.165871,0.005395,N1,ram,0.0379,7.0200
0.171049,0.005325,N0,package,0.6494,121.9593
0.171332,0.005575,N0,ram,0.0805,14.4461
