#timestamp,interval,socket,domain,energy,power
0.005186,0.005732,N0,package,0.3655,63.7711
0.005353,0.005696,N0,ram,0.0487,8.5562
0.005446,0.005530,N1,package,0.2386,43.1560
0.005460,0.005460,N1,ram,0.0400,7.3192
0.010727,0.005541,N0,package,0.2819,50.8806
0.010852,0.005499,N0,ram,0.0431,7.8332
0.010957,0.005511,N1,package,0.2313,41.9745
0.010981,0.005521,N1,ram,0.0457,8.2691
0.016145,0.005418,N0,package,0.4225,77.9772
0.016162,0.005310,N0,ram,0.0396,7.4630
0.016255,0.005298,N1,package,0.2911,54.9419
0.016269,0.005288,N1,ram,0.0491,9.2917
0.021465,0.005320,N0,package,0.3376,63.4551
0.021480,0.005318,N0,ram,0.0413,7.7640
0.021777,0.005522,N1,package,0.2203,39.9016
0.021875,0.005606,N1,ram,0.0381,6.7911
0.027049,0.005584,N0,package,0.3615,64.7296
0.027235,0.005755,N0,ram,0.0399,6.9388
0.027320,0.005543,N1,package,0.2892,52.1822
0.027340,0.005465,N1,ram,0.0501,9.1608
0.032536,0.005487,N0,package,0.4019,73.2493
0.032552,0.005317,N0,ram,0.0442,8.3168
0.032644,0.005324,N1,package,0.2239,42.0495
0.032668,0.005328,N1,ram,0.0383,7.1824
0.037843,0.005307,N0,package,0.3953,74.4918
0.037857,0.005305,N0,ram,0.0405,7.6250
0.037948,0.005304,N1,package,0.2435,45.9042
0.037976,0.005308,N1,ram,0.0426,8.0205
0.043151,0.005308,N0,package,0.4077,76.8126
0.043170,0.005313,N0,ram,0.0409,7.6913
0.043261,0.005313,N1,package,0.2026,38.1272
0.043288,0.005312,N1,ram,0.0376,7.0722
0.048478,0.005327,N0,package,0.4534,85.1080
0.048492,0.005322,N0,ram,0.0425,7.9849
0.048782,0.005521,N1,package,0.3132,56.7231
0.048877,0.005589,N1,ram,0.0500,8.9494
0.054055,0.005577,N0,package,0.3990,71.5404
0.054243,0.005751,N0,ram,0.0397,6.9009
0.054331,0.005549,N1,package,0.2567,46.2635
0.054344,0.005467,N1,ram,0.0432,7.9016
0.059532,0.005477,N0,package,0.4590,83.8029
0.059547,0.005304,N0,ram,0.0532,10.0318
0.059788,0.005457,N1,package,0.2817,51.6295
0.059880,0.005536,N1,ram,0.0444,8.0262
0.065054,0.005522,N0,package,0.4331,78.4325
0.065072,0.005525,N0,ram,0.0723,13.0822
0.065157,0.005369,N1,package,0.2767,51.5433
0.065170,0.005290,N1,ram,0.0425,8.0332
0.070415,0.005361,N0,package,0.4445,82.9159
0.070820,0.005748,N0,ram,0.0644,11.1971
0.070924,0.005767,N1,package,0.2482,43.0424
0.070937,0.005767,N1,ram,0.0365,6.3238
0.076136,0.005721,N0,package,0.3980,69.5689
0.076315,0.005495,N0,ram,0.0661,12.0241
0.076410,0.005486,N1,package,0.4030,73.4623
0.076423,0.005486,N1,ram,0.0544,9.9185
0.081727,0.005591,N0,package,0.4517,80.7846
0.081834,0.005519,N0,ram,0.0772,13.9921
0.081929,0.005519,N1,package,0.2573,46.6148
0.081941,0.005518,N1,ram,0.0375,6.7971
0.087188,0.005461,N0,package,0.5066,92.7658
0.087318,0.005484,N0,ram,0.0828,15.1061
0.087405,0.005476,N1,package,0.2858,52.1853
0.087417,0.005476,N1,ram,0.0393,7.1808
0.092704,0.005516,N0,package,0.3806,69.0014
0.092812,0.005494,N0,ram,0.0656,11.9340
0.092936,0.005531,N1,package,0.4424,79.9924
0.092968,0.005551,N1,ram,0.0583,10.5114
0.098168,0.005464,N0,package,0.5004,91.5778
