#timestamp,interval,socket,domain,energy,power
0.005188,0.005561,N0,package,0.3431,61.6924
0.005384,0.005506,N0,ram,0.0532,9.6690
0.005480,0.005494,N1,package,0.3267,59.4589
0.005503,0.005503,N1,ram,0.0550,9.9961
0.010696,0.005508,N0,package,0.3265,59.2738
0.010715,0.005331,N0,ram,0.0488,9.1592
0.010916,0.005436,N1,package,0.1814,33.3684
0.011020,0.005517,N1,ram,0.0353,6.4028
0.016200,0.005504,N0,package,0.3235,58.7852
0.016381,0.005666,N0,ram,0.0454,8.0064
0.016476,0.005560,N1,package,0.2732,49.1362
0.016490,0.005470,N1,ram,0.0482,8.8065
0.021691,0.005491,N0,package,0.3246,59.1231
0.021710,0.005329,N0,ram,0.0461,8.6561
0.021944,0.005468,N1,package,0.2664,48.7220
0.022042,0.005552,N1,ram,0.0466,8.3879
0.027255,0.005564,N0,package,0.4131,74.2430
0.027275,0.005565,N0,ram,0.0574,10.3125
0.027365,0.005421,N1,package,0.2774,51.1730
0.027379,0.005337,N1,ram,0.0441,8.2598
0.032571,0.005316,N0,package,0.3481,65.4782
0.032588,0.005313,N0,ram,0.0426,8.0241
0.032678,0.005313,N1,package,0.2245,42.2531
0.032692,0.005313,N1,ram,0.0424,7.9727
0.037965,0.005394,N0,package,0.3852,71.4116
0.038102,0.005514,N0,ram,0.0451,8.1747
0.038204,0.005526,N1,package,0.2723,49.2716
0.038227,0.005535,N1,ram,0.0460,8.3146
0.043401,0.005436,N0,package,0.5082,93.4920
0.043418,0.005316,N0,ram,0.0512,9.6357
0.043507,0.005303,N1,package,0.1877,35.3925
0.043533,0.005306,N1,ram,0.0299,5.6336
0.048904,0.005503,N0,package,0.4209,76.4861
0.049015,0.005597,N0,ram,0.0466,8.3312
0.049112,0.005605,N1,package,0.3411,60.8502
0.049125,0.005592,N1,ram,0.0578,10.3388
0.054302,0.005398,N0,package,0.3712,68.7687
0.054490,0.005475,N0,ram,0.0375,6.8423
0.054580,0.005468,N1,package,0.3084,56.4015
0.054593,0.005468,N1,ram,0.0471,8.6230
0.059929,0.005627,N0,package,0.4774,84.8452
0.060042,0.005552,N0,ram,0.0489,8.8083
0.060138,0.005558,N1,package,0.2431,43.7392
0.060161,0.005568,N1,ram,0.0390,6.9991
0.065334,0.005405,N0,package,0.4699,86.9406
0.065349,0.005307,N0,ram,0.0796,14.9944
0.065439,0.005301,N1,package,0.2808,52.9639
0.065472,0.005311,N1,ram,0.0457,8.6105
0.070655,0.005321,N0,package,0.4190,78.7454
0.070674,0.005325,N0,ram,0.0671,12.6051
0.070910,0.005471,N1,package,0.2617,47.8375
0.071003,0.005531,N1,ram,0.0384,6.9465
0.076201,0.005546,N0,package,0.3857,69.5521
0.076392,0.005718,N0,ram,0.0625,10.9357
0.076480,0.005570,N1,package,0.2712,48.6862
0.076492,0.005489,N1,ram,0.0391,7.1222
0.081674,0.005473,N0,package,0.4759,86.9541
0.081691,0.005299,N0,ram,0.0816,15.4025
0.081903,0.005423,N1,package,0.4040,74.4950
0.081984,0.005492,N1,ram,0.0580,10.5574
0.087164,0.005490,N0,package,0.4490,81.7906
0.087344,0.005653,N0,ram,0.0776,13.7340
0.087432,0.005529,N1,package,0.2704,48.9038
0.087444,0.005460,N1,ram,0.0390,7.1406
0.092622,0.005458,N0,package,0.4327,79.2724
0.092948,0.005604,N0,ram,0.0735,13.1131
0.093051,0.005619,N1,package,0.2476,44.0570
0.093063,0.005619,N1,ram,0.0343,6.1100
0.098309,0.005687,N0,package,0.4131,72.6369
0.098510,0.005562,N0,ram,0.0712,12.8088
