#timestamp,interval,socket,domain,energy,power
0.005180,0.005502,N0,package,0.3110,56.5314
0.005343,0.005465,N0,ram,0.0618,11.3023
0.005434,0.005448,N1,package,0.3282,60.2386
0.005448,0.005448,N1,ram,0.0555,10.1891
0.010635,0.005455,N0,package,0.3273,59.9970
0.010651,0.005308,N0,ram,0.0625,11.7686
0.010933,0.005499,N1,package,0.1866,33.9424
0.011029,0.005581,N1,ram,0.0361,6.4744
0.016208,0.005573,N0,package,0.4357,78.1854
0.016340,0.005689,N0,ram,0.0853,14.9935
0.016432,0.005499,N1,package,0.3290,59.8351
0.016445,0.005416,N1,ram,0.0584,10.7794
0.021630,0.005422,N0,package,0.2972,54.8202
0.021986,0.005646,N0,ram,0.0531,9.3996
0.022104,0.005672,N1,package,0.2612,46.0563
0.022118,0.005673,N1,ram,0.0448,7.8887
0.027303,0.005673,N0,package,0.3927,69.2235
0.027446,0.005460,N0,ram,0.0650,11.8996
0.027538,0.005434,N1,package,0.2709,49.8589
0.027556,0.005438,N1,ram,0.0451,8.2918
0.032960,0.005657,N0,package,0.4043,71.4690
0.033073,0.005627,N0,ram,0.0571,10.1501
0.033163,0.005625,N1,package,0.2433,43.2616
0.033179,0.005623,N1,ram,0.0408,7.2561
0.038362,0.005402,N0,package,0.3857,71.3948
0.038595,0.005522,N0,ram,0.0539,9.7571
0.038683,0.005520,N1,package,0.3092,56.0166
0.038700,0.005521,N1,ram,0.0510,9.2364
0.044005,0.005643,N0,package,0.4914,87.0820
0.044114,0.005519,N0,ram,0.0617,11.1832
0.044214,0.005531,N1,package,0.2646,47.8365
0.044236,0.005536,N1,ram,0.0400,7.2189
0.049405,0.005400,N0,package,0.4355,80.6541
0.049582,0.005468,N0,ram,0.0536,9.8062
0.049671,0.005457,N1,package,0.2651,48.5760
0.049684,0.005448,N1,ram,0.0450,8.2622
0.055041,0.005636,N0,package,0.3744,66.4285
0.055154,0.005572,N0,ram,0.0407,7.3007
0.055250,0.005579,N1,package,0.2589,46.3973
0.055262,0.005578,N1,ram,0.0371,6.6500
0.060437,0.005396,N0,package,0.4314,79.9491
0.060623,0.005469,N0,ram,0.0509,9.3135
0.061002,0.005752,N1,package,0.3729,64.8223
0.061103,0.005841,N1,ram,0.0532,9.1119
0.066274,0.005837,N0,package,0.5707,97.7698
0.066287,0.005664,N0,ram,0.0796,14.0597
0.066374,0.005372,N1,package,0.2892,53.8314
0.066388,0.005285,N1,ram,0.0414,7.8271
0.071562,0.005288,N0,package,0.4324,81.7630
0.071915,0.005628,N0,ram,0.0804,14.2804
0.072018,0.005644,N1,package,0.3026,53.6181
0.072040,0.005652,N1,ram,0.0439,7.7725
0.077209,0.005647,N0,package,0.4947,87.6031
0.077390,0.005475,N0,ram,0.0829,15.1360
0.077478,0.005460,N1,package,0.2349,43.0262
0.077491,0.005451,N1,ram,0.0307,5.6266
0.082678,0.005469,N0,package,0.3865,70.6653
