#timestamp,interval,socket,domain,energy,power
0.005305,0.005445,N0,package,0.3074,56.4505
0.005421,0.005540,N0,ram,0.0390,7.0429
0.005527,0.005541,N1,package,0.2817,50.8343
0.005544,0.005544,N1,ram,0.0458,8.2653
0.010720,0.005415,N0,package,0.3503,64.6847
0.010880,0.005459,N0,ram,0.0431,7.9018
0.011137,0.005610,N1,package,0.1584,28.2438
0.011227,0.005683,N1,ram,0.0288,5.0693
0.016404,0.005684,N0,package,0.3285,57.7933
0.016419,0.005539,N0,ram,0.0400,7.2204
0.016513,0.005376,N1,package,0.3302,61.4227
0.016528,0.005301,N1,ram,0.0609,11.4880
0.021714,0.005310,N0,package,0.3243,61.0805
0.021898,0.005479,N0,ram,0.0384,7.0096
0.022218,0.005705,N1,package,0.2693,47.2117
0.022318,0.005790,N1,ram,0.0466,8.0563
0.027555,0.005841,N0,package,0.3396,58.1405
0.027782,0.005884,N0,ram,0.0399,6.7841
0.027876,0.005658,N1,package,0.2536,44.8224
0.027889,0.005571,N1,ram,0.0433,7.7785
0.033190,0.005635,N0,package,0.4918,87.2794
0.033300,0.005518,N0,ram,0.0533,9.6564
0.033403,0.005527,N1,package,0.2897,52.4103
0.033419,0.005530,N1,ram,0.0486,8.7885
0.038607,0.005417,N0,package,0.4217,77.8479
0.038794,0.005494,N0,ram,0.0394,7.1685
0.038885,0.005482,N1,package,0.2275,41.4958
0.038909,0.005490,N1,ram,0.0383,6.9817
0.044233,0.005626,N0,package,0.4542,80.7262
0.044367,0.005573,N0,ram,0.0439,7.8826
0.044468,0.005583,N1,package,0.2932,52.5075
0.044483,0.005574,N1,ram,0.0497,8.9160
0.049655,0.005422,N0,package,0.4241,78.2116
0.049671,0.005304,N0,ram,0.0397,7.4940
0.049763,0.005295,N1,package,0.1625,30.6845
0.049784,0.005301,N1,ram,0.0298,5.6303
0.055186,0.005531,N0,package,0.3797,68.6485
0.055295,0.005624,N0,ram,0.0367,6.5332
0.055423,0.005660,N1,package,0.3708,65.5097
0.055439,0.005655,N1,ram,0.0601,10.6203
0.060624,0.005438,N0,package,0.4095,75.3139
0.060848,0.005553,N0,ram,0.0431,7.7544
0.060940,0.005517,N1,package,0.2365,42.8695
0.060954,0.005515,N1,ram,0.0382,6.9227
0.066340,0.005716,N0,package,0.4368,76.4209
0.066470,0.005622,N0,ram,0.0696,12.3739
0.066641,0.005701,N1,package,0.3002,52.6539
0.066776,0.005822,N1,ram,0.0491,8.4341
0.072568,0.006228,N0,package,0.6932,111.3103
0.072903,0.006433,N0,ram,0.0896,13.9210
0.073065,0.006424,N1,package,0.2392,37.2352
0.073221,0.006445,N1,ram,0.0373,5.7908
0.078924,0.006356,N0,package,0.5407,85.0709
0.079432,0.006529,N0,ram,0.0869,13.3118
0.079760,0.006695,N1,package,0.3911,58.4184
0.079876,0.006655,N1,ram,0.0595,8.9444
0.085464,0.006540,N0,package,0.6070,92.8118
0.085765,0.006333,N0,ram,0.0926,14.6158
0.085898,0.006138,N1,package,0.3906,63.6395
0.085932,0.006056,N1,ram,0.0556,9.1889
0.091340,0.005876,N0,package,0.4663,79.3605
0.091462,0.005697,N0,ram,0.0922,16.1801
0.091646,0.005748,N1,package,0.3091,53.7718
0.091781,0.005849,N1,ram,0.0429,7.3308
0.097041,0.005701,N0,package,0.5031,88.2382
0.097370,0.005908,N0,ram,0.0655,11.0825
0.097473,0.005827,N1,package,0.2764,47.4291
0.097494,0.005713,N1,ram,0.0379,6.6398
0.103035,0.005994,N0,package,0.5997,100.0438
0.103504,0.006134,N0,ram,0.0952,15.5199
0.103680,0.006207,N1,package,0.4588,73.9169
0.103771,0.006277,N1,ram,0.0616,9.8183
0.109005,0.005970,N0,package,0.5250,87.9438
0.109229,0.005725,N0,ram,0.0854,14.9125
0.109724,0.006044,N1,package,0.2695,44.5955
0.109842,0.006071,N1,ram,0.0371,6.1077
0.115555,0.006550,N0,package,0.5573,85.0786
0.115780,0.006551,N0,ram,0.0893,13.6329
0.115933,0.006209,N1,package,0.4692,75.5624
0.115953,0.006111,N1,ram,0.0598,9.7803
0.121301,0.005746,N0,package,0.5677,98.8055
0.121454,0.005674,N0,ram,0.0861,15.1778
0.121559,0.005626,N1,package,0.2660,47.2792
0.121597,0.005644,N1,ram,0.0352,6.2399
0.126729,0.005428,N0,package,0.4764,87.7621
0.126838,0.005384,N0,ram,0.0705,13.0993
0.126924,0.005365,N1,package,0.3223,60.0693
0.126936,0.005339,N1,ram,0.0387,7.2391
0.132456,0.005727,N0,package,0.6252,109.1677
0.132698,0.005860,N0,ram,0.0909,15.5066
0.132880,0.005956,N1,package,0.4916,82.5426
0.132993,0.006057,N1,ram,0.0593,9.7896
0.138912,0.006456,N0,package,0.5995,92.8649
0.139380,0.006682,N0,ram,0.0979,14.6464
0.139885,0.007005,N1,package,0.5307,75.7605
0.140077,0.007084,N1,ram,0.0594,8.3791
0.145922,0.007010,N0,package,0.7243,103.3247
0.146270,0.006890,N0,ram,0.0973,14.1253
0.146750,0.006865,N1,package,0.5267,76.7271
0.146894,0.006817,N1,ram,0.0553,8.1184
0.152178,0.006256,N0,package,0.7527,120.3265
0.152425,0.006155,N0,ram,0.0870,14.1333
0.152523,0.005773,N1,package,0.3644,63.1198
0.152566,0.005672,N1,ram,0.0382,6.7390
0.158311,0.006133,N0,package,0.6100,99.4582
0.158471,0.006046,N0,ram,0.0865,14.3021
0.158701,0.006178,N1,package,0.5756,93.1708
0.158835,0.006269,N1,ram,0.0573,9.1470
0.164010,0.005699,N0,package,0.7461,130.9185
0.164250,0.005779,N0,ram,0.0844,14.6013
0.164447,0.005746,N1,package,0.3752,65.3066
0.164477,0.005642,N1,ram,0.0378,6.6991
0.169922,0.005912,N0,package,0.5369,90.8187
0.170233,0.005983,N0,ram,0.0716,11.9609
0.170582,0.006135,N1,package,0.5840,95.1991
0.170778,0.006301,N1,ram,0.0593,9.4130
0.176330,0.006408,N0,package,0.7014,109.4503
0.176654,0.006421,N0,ram,0.0889,13.8523
0.177409,0.006827,N1,package,0.3927,57.5207
0.177668,0.006890,N1,ram,0.0583,8.4598
0.183436,0.007106,N0,package,0.8485,119.4065
0.183523,0.006869,N0,ram,0.1067,15.5385
0.183701,0.006292,N1,package,0.5551,88.2274
0.183831,0.006163,N1,ram,0.0368,5.9766
0.189309,0.005873,N0,package,0.6230,106.0769
0.189602,0.006079,N0,ram,0.0991,16.3081
0.189934,0.006233,N1,package,0.5584,89.5863
0.190079,0.006248,N1,ram,0.0580,9.2828
0.195445,0.006136,N0,package,0.7742,126.1797
0.195870,0.006268,N0,ram,0.0812,12.9582
0.195997,0.006063,N1,package,0.3928,64.7902
0.196180,0.006101,N1,ram,0.0404,6.6153
0.201821,0.006376,N0,package,0.7516,117.8865
0.201956,0.006086,N0,ram,0.0947,15.5594
0.202279,0.006282,N1,package,0.5912,94.1199
0.202478,0.006298,N1,ram,0.0578,9.1702
0.207863,0.006042,N0,package,0.5991,99.1593
0.207902,0.005946,N0,ram,0.0786,13.2111
0.208371,0.006092,N1,package,0.3845,63.1083
0.208666,0.006188,N1,ram,0.0401,6.4755
0.214470,0.006607,N0,package,0.7986,120.8684
0.214502,0.006600,N0,ram,0.0993,15.0440
0.214606,0.006235,N1,package,0.5875,94.2220
0.214631,0.005965,N1,ram,0.0605,10.1376
0.220161,0.005691,N0,package,0.5594,98.3031
0.220325,0.005823,N0,ram,0.0693,11.8939
0.220422,0.005816,N1,package,0.3666,63.0372
0.220443,0.005812,N1,ram,0.0359,6.1800
0.226499,0.006338,N0,package,0.7745,122.1978
0.227274,0.006949,N0,ram,0.0992,14.2752
0.227729,0.007307,N1,package,0.7340,100.4554
0.227758,0.007315,N1,ram,0.0766,10.4737
