#timestamp,interval,socket,domain,energy,power
0.005194,0.005521,N0,package,0.3652,66.1558
0.005477,0.005603,N0,ram,0.0497,8.8783
0.005591,0.005606,N1,package,0.2416,43.1022
0.005607,0.005607,N1,ram,0.0405,7.2278
0.010789,0.005595,N0,package,0.3852,68.8434
0.010806,0.005329,N0,ram,0.0518,9.7122
0.010901,0.005310,N1,package,0.1841,34.6797
0.010928,0.005321,N1,ram,0.0353,6.6271
0.016104,0.005315,N0,package,0.3575,67.2614
0.016446,0.005640,N0,ram,0.0467,8.2841
0.016559,0.005658,N1,package,0.3014,53.2668
0.016575,0.005647,N1,ram,0.0526,9.3142
0.021752,0.005648,N0,package,0.3009,53.2748
0.021947,0.005501,N0,ram,0.0404,7.3367
0.022041,0.005482,N1,package,0.2458,44.8359
0.022066,0.005491,N1,ram,0.0412,7.5029
0.027449,0.005697,N0,package,0.3563,62.5349
0.027571,0.005624,N0,ram,0.0427,7.5862
0.027674,0.005633,N1,package,0.2972,52.7581
0.027689,0.005623,N1,ram,0.0523,9.2999
0.032869,0.005420,N0,package,0.3757,69.3237
0.033104,0.005533,N0,ram,0.0460,8.3202
0.033196,0.005522,N1,package,0.2282,41.3274
0.033225,0.005536,N1,ram,0.0387,6.9871
0.038542,0.005673,N0,package,0.4201,74.0543
0.038660,0.005556,N0,ram,0.0447,8.0522
0.038761,0.005565,N1,package,0.2796,50.2415
0.038785,0.005560,N1,ram,0.0490,8.8206
0.043964,0.005422,N0,package,0.4968,91.6183
0.044110,0.005450,N0,ram,0.0556,10.2024
0.044201,0.005440,N1,package,0.2509,46.1130
0.044214,0.005429,N1,ram,0.0429,7.9062
0.049481,0.005517,N0,package,0.3738,67.7504
0.049604,0.005494,N0,ram,0.0379,6.9071
0.049705,0.005504,N1,package,0.1736,31.5495
0.049729,0.005515,N1,ram,0.0331,6.0066
0.054905,0.005424,N0,package,0.4801,88.5141
0.055130,0.005526,N0,ram,0.0506,9.1567
0.055225,0.005520,N1,package,0.3368,61.0119
0.055246,0.005517,N1,ram,0.0545,9.8710
0.060508,0.005603,N0,package,0.4124,73.6082
0.060591,0.005461,N0,ram,0.0434,7.9466
0.060689,0.005464,N1,package,0.2842,52.0110
0.060712,0.005466,N1,ram,0.0462,8.4529
0.066191,0.005683,N0,package,0.5273,92.7834
0.066415,0.005824,N0,ram,0.0697,11.9653
0.066550,0.005861,N1,package,0.2781,47.4552
0.066689,0.005977,N1,ram,0.0463,7.7431
0.072588,0.006397,N0,package,0.5405,84.4873
0.072890,0.006475,N0,ram,0.0867,13.3877
0.073208,0.006658,N1,package,0.2811,42.2144
0.073378,0.006689,N1,ram,0.0485,7.2449
0.079124,0.006536,N0,package,0.6975,106.7180
0.079524,0.006634,N0,ram,0.1096,16.5238
0.079647,0.006439,N1,package,0.3809,59.1586
0.079682,0.006304,N1,ram,0.0554,8.7839
0.085608,0.006484,N0,package,0.5050,77.8844
0.085809,0.006285,N0,ram,0.0858,13.6541
0.086096,0.006449,N1,package,0.3845,59.6251
0.086289,0.006607,N1,ram,0.0557,8.4296
0.091705,0.006097,N0,package,0.5529,90.6856
0.091824,0.006015,N0,ram,0.0938,15.5935
0.091929,0.005833,N1,package,0.2950,50.5722
