#timestamp,interval,socket,domain,energy,power
0.005320,0.005493,N0,package,0.3177,57.8358
0.005442,0.005567,N0,ram,0.0435,7.8116
0.005545,0.005568,N1,package,0.2849,51.1693
0.005561,0.005561,N1,ram,0.0476,8.5525
0.010736,0.005416,N0,package,0.2951,54.4885
0.010916,0.005474,N0,ram,0.0423,7.7216
0.011189,0.005644,N1,package,0.1744,30.9077
0.011288,0.005727,N1,ram,0.0340,5.9417
0.016454,0.005718,N0,package,0.4033,70.5353
0.016469,0.005553,N0,ram,0.0544,9.7906
0.016561,0.005372,N1,package,0.3185,59.2849
0.016576,0.005288,N1,ram,0.0598,11.3111
0.021758,0.005304,N0,package,0.2968,55.9594
0.021932,0.005463,N0,ram,0.0386,7.0692
0.022169,0.005608,N1,package,0.2319,41.3461
0.022267,0.005691,N1,ram,0.0379,6.6654
0.027456,0.005698,N0,package,0.3878,68.0624
0.027475,0.005543,N0,ram,0.0490,8.8365
0.027564,0.005395,N1,package,0.2809,52.0757
0.027578,0.005311,N1,ram,0.0477,8.9725
0.032760,0.005304,N0,package,0.3475,65.5218
0.032942,0.005467,N0,ram,0.0434,7.9351
0.033178,0.005614,N1,package,0.2455,43.7375
0.033285,0.005707,N1,ram,0.0421,7.3740
0.038483,0.005723,N0,package,0.4360,76.1793
0.038501,0.005559,N0,ram,0.0483,8.6876
0.038590,0.005412,N1,package,0.2375,43.8828
0.038603,0.005318,N1,ram,0.0394,7.4000
0.043776,0.005293,N0,package,0.4525,85.4948
0.043792,0.005291,N0,ram,0.0467,8.8335
0.043884,0.005294,N1,package,0.3173,59.9389
0.043909,0.005306,N1,ram,0.0540,10.1773
0.049186,0.005410,N0,package,0.4057,74.9915
0.049306,0.005514,N0,ram,0.0454,8.2407
0.049403,0.005519,N1,package,0.2064,37.3914
0.049427,0.005518,N1,ram,0.0348,6.3132
0.054601,0.005415,N0,package,0.4759,87.8845
0.054747,0.005441,N0,ram,0.0495,9.0976
0.054836,0.005433,N1,package,0.2933,53.9905
0.054849,0.005422,N1,ram,0.0491,9.0560
0.060206,0.005605,N0,package,0.3217,57.3874
0.060332,0.005585,N0,ram,0.0382,6.8467
0.060429,0.005593,N1,package,0.3288,58.7865
0.060441,0.005592,N1,ram,0.0506,9.0458
0.065841,0.005635,N0,package,0.4711,83.5967
0.065975,0.005643,N0,ram,0.0543,9.6292
0.066108,0.005679,N1,package,0.2951,51.9652
0.066485,0.006044,N1,ram,0.0445,7.3695
0.072114,0.006273,N0,package,0.5798,92.4328
0.072315,0.006340,N0,ram,0.0935,14.7461
0.072475,0.006367,N1,package,0.2448,38.4503
0.072505,0.006020,N1,ram,0.0403,6.6864
0.078492,0.006378,N0,package,0.5972,93.6399
0.078700,0.006385,N0,ram,0.0936,14.6540
0.078817,0.006342,N1,package,0.3542,55.8559
0.078841,0.006336,N1,ram,0.0535,8.4434
0.084554,0.006062,N0,package,0.5612,92.5792
0.084665,0.005965,N0,ram,0.0899,15.0746
0.084804,0.005987,N1,package,0.3903,65.1953
0.084839,0.005998,N1,ram,0.0554,9.2395
0.090216,0.005662,N0,package,0.4759,84.0505
0.090300,0.005635,N0,ram,0.0785,13.9265
0.090467,0.005663,N1,package,0.2775,48.9970
0.090603,0.005764,N1,ram,0.0388,6.7399
0.095909,0.005693,N0,package,0.4949,86.9343
0.095963,0.005663,N0,ram,0.0851,15.0246
0.096176,0.005709,N1,package,0.4092,71.6706
0.096267,0.005664,N1,ram,0.0556,9.8225
0.102281,0.006372,N0,package,0.5950,93.3826
0.102575,0.006612,N0,ram,0.0942,14.2432
0.102795,0.006619,N1,package,0.3038,45.8941
0.102936,0.006669,N1,ram,0.0429,6.4293
0.108296,0.006015,N0,package,0.4292,71.3541
0.108533,0.005958,N0,ram,0.0701,11.7705
0.108716,0.005921,N1,package,0.2904,49.0476
0.108728,0.005792,N1,ram,0.0414,7.1421
0.114212,0.005916,N0,package,0.6234,105.3796
