#timestamp,interval,socket,domain,energy,power
0.005181,0.005715,N0,package,0.3181,55.6619
0.005320,0.005626,N0,ram,0.0550,9.7825
0.005413,0.005506,N1,package,0.3056,55.5032
0.005435,0.005435,N1,ram,0.0522,9.6073
0.010624,0.005443,N0,package,0.3891,71.4880
0.010646,0.005326,N0,ram,0.0649,12.1880
0.010870,0.005457,N1,package,0.1825,33.4429
0.010970,0.005535,N1,ram,0.0345,6.2360
0.016143,0.005519,N0,package,0.3127,56.6542
0.016321,0.005675,N0,ram,0.0538,9.4859
0.016412,0.005542,N1,package,0.3095,55.8475
0.016427,0.005457,N1,ram,0.0575,10.5301
0.021608,0.005465,N0,package,0.3533,64.6562
0.021901,0.005580,N0,ram,0.0541,9.6995
0.022009,0.005597,N1,package,0.2864,51.1782
0.022034,0.005607,N1,ram,0.0495,8.8338
0.027216,0.005608,N0,package,0.3892,69.4036
0.027390,0.005489,N0,ram,0.0509,9.2763
0.027482,0.005473,N1,package,0.2321,42.4102
0.027496,0.005462,N1,ram,0.0391,7.1626
0.032897,0.005681,N0,package,0.4381,77.1180
0.033115,0.005725,N0,ram,0.0565,9.8724
0.033226,0.005744,N1,package,0.2645,46.0422
0.033250,0.005754,N1,ram,0.0472,8.2049
0.038444,0.005547,N0,package,0.4037,72.7860
0.038463,0.005348,N0,ram,0.0520,9.7208
0.038540,0.005314,N1,package,0.2195,41.3037
0.038554,0.005304,N1,ram,0.0390,7.3505
0.043867,0.005423,N0,package,0.4172,76.9294
0.043980,0.005517,N0,ram,0.0457,8.2752
0.044078,0.005538,N1,package,0.2555,46.1347
0.044091,0.005537,N1,ram,0.0442,7.9835
0.049269,0.005402,N0,package,0.4614,85.4162
0.049285,0.005305,N0,ram,0.0489,9.2156
0.049374,0.005296,N1,package,0.2268,42.8261
0.049398,0.005307,N1,ram,0.0403,7.5906
0.054589,0.005320,N0,package,0.4115,77.3484
0.054606,0.005321,N0,ram,0.0450,8.4653
0.054890,0.005516,N1,package,0.3046,55.2254
0.054987,0.005589,N1,ram,0.0477,8.5290
0.060161,0.005572,N0,package,0.3961,71.0819
0.060325,0.005719,N0,ram,0.0451,7.8923
0.060437,0.005547,N1,package,0.2745,49.4813
0.060449,0.005462,N1,ram,0.0453,8.2944
0.065650,0.005489,N0,package,0.4122,75.0887
0.065666,0.005341,N0,ram,0.0671,12.5617
0.065758,0.005321,N1,package,0.2195,41.2481
0.065769,0.005320,N1,ram,0.0343,6.4562
0.070945,0.005295,N0,package,0.4859,91.7653
0.070965,0.005299,N0,ram,0.0797,15.0483
0.071053,0.005295,N1,package,0.3911,73.8641
0.071066,0.005297,N1,ram,0.0558,10.5289
0.076233,0.005288,N0,package,0.4465,84.4330
0.076396,0.005431,N0,ram,0.0689,12.6938
0.076485,0.005432,N1,package,0.2830,52.0922
0.076497,0.005431,N1,ram,0.0408,7.5069
0.081820,0.005587,N0,package,0.3540,63.3609
0.082027,0.005631,N0,ram,0.0431,7.6525
0.082132,0.005647,N1,package,0.2939,52.0517
0.082144,0.005647,N1,ram,0.0402,7.1228
0.087312,0.005492,N0,package,0.5631,102.5334
0.087455,0.005428,N0,ram,0.0385,7.0839
0.087541,0.005409,N1,package,0.2924,54.0640
0.087555,0.005411,N1,ram,0.0394,7.2897
0.092828,0.005516,N0,package,0.3654,66.2351
0.092937,0.005482,N0,ram,0.0330,6.0123
0.093030,0.005489,N1,package,0.2988,54.4402
0.093042,0.005487,N1,ram,0.0415,7.5585
0.098214,0.005386,N0,package,0.4935,91.6342
0.098390,0.005453,N0,ram,0.0455,8.3529
0.098476,0.005446,N1,package,0.4445,81.6237
0.098488,0.005446,N1,ram,0.0577,10.5962
0.103839,0.005625,N0,package,0.4367,77.6366
0.104038,0.005648,N0,ram,0.0416,7.3618
0.104137,0.005661,N1,package,0.3234,57.1321
0.104149,0.005661,N1,ram,0.0412,7.2752
0.109315,0.005476,N0,package,0.4731,86.4033
0.109490,0.005452,N0,ram,0.0417,7.6491
0.109575,0.005438,N1,package,0.3173,58.3405
0.109587,0.005438,N1,ram,0.0398,7.3122
0.114845,0.005530,N0,package,0.3971,71.8058
0.115044,0.005554,N0,ram,0.0351,6.3162
0.115143,0.005568,N1,package,0.3328,59.7743
0.115155,0.005568,N1,ram,0.0403,7.2457
0.120321,0.005476,N0,package,0.4868,88.9000
0.120458,0.005414,N0,ram,0.0420,7.7506
0.120543,0.005400,N1,package,0.3305,61.2054
0.120555,0.005400,N1,ram,0.0393,7.2734
0.125815,0.005494,N0,package,0.5365,97.6540
0.125925,0.005467,N0,ram,0.0448,8.1859
0.126018,0.005475,N1,package,0.5357,97.8450
0.126029,0.005474,N1,ram,0.0587,10.7206
0.131197,0.005382,N0,package,0.4776,88.7393
0.131333,0.005408,N0,ram,0.0353,6.5292
0.131418,0.005400,N1,package,0.3707,68.6427
0.131429,0.005400,N1,ram,0.0410,7.5871
