#timestamp,interval,socket,domain,energy,power
0.005183,0.005688,N0,package,0.3705,65.1455
0.005350,0.005658,N0,ram,0.0714,12.6101
0.005434,0.005524,N1,package,0.3107,56.2517
0.005454,0.005454,N1,ram,0.0512,9.3946
0.010824,0.005641,N0,package,0.3378,59.8884
0.010940,0.005590,N0,ram,0.0666,11.9178
0.011043,0.005609,N1,package,0.2264,40.3598
0.011057,0.005603,N1,ram,0.0434,7.7508
0.016241,0.005417,N0,package,0.3557,65.6647
0.016259,0.005319,N0,ram,0.0667,12.5366
0.016351,0.005308,N1,package,0.1884,35.4971
0.016365,0.005308,N1,ram,0.0356,6.7093
0.021555,0.005314,N0,package,0.2933,55.2017
0.021575,0.005316,N0,ram,0.0538,10.1122
0.021895,0.005544,N1,package,0.2820,50.8631
0.021997,0.005632,N1,ram,0.0569,10.1058
0.027191,0.005636,N0,package,0.3837,68.0746
0.027212,0.005637,N0,ram,0.0641,11.3718
0.027304,0.005409,N1,package,0.2909,53.7795
0.027318,0.005321,N1,ram,0.0413,7.7656
0.032497,0.005306,N0,package,0.3880,73.1248
0.032514,0.005302,N0,ram,0.0551,10.4005
0.032605,0.005301,N1,package,0.2374,44.7775
0.032619,0.005301,N1,ram,0.0409,7.7143
0.037883,0.005386,N0,package,0.3952,73.3744
0.038026,0.005512,N0,ram,0.0610,11.0731
0.038128,0.005523,N1,package,0.2715,49.1555
0.038142,0.005523,N1,ram,0.0472,8.5481
0.043319,0.005436,N0,package,0.4229,77.7881
0.043507,0.005481,N0,ram,0.0480,8.7611
0.043597,0.005469,N1,package,0.2401,43.8924
0.043610,0.005468,N1,ram,0.0434,7.9362
0.048856,0.005537,N0,package,0.4753,85.8367
0.048978,0.005471,N0,ram,0.0551,10.0684
0.049075,0.005478,N1,package,0.1998,36.4791
0.049098,0.005488,N1,ram,0.0354,6.4534
0.054276,0.005420,N0,package,0.3616,66.7224
0.054428,0.005450,N0,ram,0.0457,8.3909
0.054509,0.005434,N1,package,0.2974,54.7224
0.054522,0.005424,N1,ram,0.0484,8.9178
0.059894,0.005618,N0,package,0.4905,87.3142
0.060008,0.005580,N0,ram,0.0578,10.3640
0.060103,0.005594,N1,package,0.2821,50.4297
0.060116,0.005594,N1,ram,0.0460,8.2186
0.065298,0.005404,N0,package,0.4481,82.9126
0.065335,0.005327,N0,ram,0.0629,11.8129
0.065424,0.005321,N1,package,0.2234,41.9937
0.065437,0.005321,N1,ram,0.0368,6.9139
0.070609,0.005311,N0,package,0.4375,82.3760
0.070656,0.005321,N0,ram,0.0792,14.8831
0.070880,0.005456,N1,package,0.2288,41.9395
0.070961,0.005524,N1,ram,0.0386,6.9942
0.076146,0.005537,N0,package,0.4260,76.9334
0.076162,0.005506,N0,ram,0.0805,14.6268
0.076272,0.005392,N1,package,0.3566,66.1281
0.076285,0.005324,N1,ram,0.0549,10.3180
0.081577,0.005431,N0,package,0.4547,83.7226
0.081951,0.005789,N0,ram,0.0768,13.2613
0.082076,0.005804,N1,package,0.2562,44.1354
0.082088,0.005803,N1,ram,0.0360,6.2054
0.087269,0.005692,N0,package,0.4064,71.4042
0.087454,0.005503,N0,ram,0.0808,14.6871
0.087572,0.005496,N1,package,0.4200,76.4158
0.087845,0.005757,N1,ram,0.0595,10.3420
0.093022,0.005753,N0,package,0.4147,72.0895
0.093203,0.005749,N0,ram,0.0764,13.2868
0.093275,0.005703,N1,package,0.2913,51.0716
0.093286,0.005441,N1,ram,0.0416,7.6393
0.098454,0.005432,N0,package,0.4182,76.9921
0.098642,0.005439,N0,ram,0.0772,14.1982
0.098824,0.005549,N1,package,0.2661,47.9464
0.098914,0.005628,N1,ram,0.0354,6.2902
0.104129,0.005675,N0,package,0.4490,79.1241
0.104368,0.005726,N0,ram,0.0808,14.1079
0.104475,0.005651,N1,package,0.4442,78.5972
0.104500,0.005586,N1,ram,0.0616,11.0272
0.109818,0.005689,N0,package,0.4573,80.3802
0.110017,0.005649,N0,ram,0.0825,14.6076
0.110158,0.005683,N1,package,0.3004,52.8626
0.110195,0.005695,N1,ram,0.0399,7.0013
0.115367,0.005549,N0,package,0.4991,89.9421
0.115391,0.005374,N0,ram,0.0878,16.3322
0.115480,0.005322,N1,package,0.3393,63.7534
0.115500,0.005305,N1,ram,0.0400,7.5416
0.120784,0.005417,N0,package,0.4495,82.9710
0.121009,0.005618,N0,ram,0.0779,13.8679
0.121109,0.005629,N1,package,0.3459,61.4465
0.121121,0.005621,N1,ram,0.0428,7.6064
0.126342,0.005558,N0,package,0.4772,85.8641
0.126367,0.005358,N0,ram,0.0793,14.8003
0.126452,0.005343,N1,package,0.3425,64.1085
0.126476,0.005355,N1,ram,0.0394,7.3514
0.131813,0.005471,N0,package,0.4739,86.6274
0.132046,0.005679,N0,ram,0.0758,13.3487
0.132165,0.005713,N1,package,0.5260,92.0711
0.132188,0.005712,N1,ram,0.0597,10.4583
0.137378,0.005565,N0,package,0.5527,99.3246
0.137549,0.005503,N0,ram,0.0873,15.8690
0.137641,0.005476,N1,package,0.3774,68.9265
0.137653,0.005465,N1,ram,0.0425,7.7759
0.142953,0.005575,N0,package,0.5026,90.1578
0.143118,0.005569,N0,ram,0.0742,13.3272
0.143233,0.005592,N1,package,0.3713,66.4039
0.143245,0.005592,N1,ram,0.0395,7.0593
0.148468,0.005515,N0,package,0.6202,112.4510
0.148510,0.005392,N0,ram,0.0866,16.0594
0.148610,0.005377,N1,package,0.3748,69.7067
0.148669,0.005424,N1,ram,0.0366,6.7516
0.153989,0.005521,N0,package,0.4875,88.3071
0.154101,0.005591,N0,ram,0.0713,12.7509
0.154209,0.005599,N1,package,0.5364,95.8133
0.154221,0.005552,N1,ram,0.0542,9.7593
0.159415,0.005426,N0,package,0.6511,119.9909
0.159591,0.005490,N0,ram,0.0944,17.2014
0.159825,0.005616,N1,package,0.3580,63.7500
0.159922,0.005701,N1,ram,0.0364,6.3890
0.165151,0.005736,N0,package,0.5823,101.5253
0.165296,0.005705,N0,ram,0.0832,14.5872
0.165394,0.005569,N1,package,0.5494,98.6605
0.165420,0.005498,N1,ram,0.0551,10.0242
0.170591,0.005440,N0,package,0.5099,93.7253
0.170901,0.005605,N0,ram,0.0716,12.7815
0.171010,0.005616,N1,package,0.3615,64.3614
0.171023,0.005603,N1,ram,0.0377,6.7350
0.176195,0.005604,N0,package,0.5291,94.4207
0.176218,0.005317,N0,ram,0.0750,14.1138
0.176307,0.005297,N1,package,0.4926,92.9883
0.176318,0.005295,N1,ram,0.0482,9.1005
0.181524,0.005329,N0,package,0.6222,116.7530
0.181543,0.005325,N0,ram,0.0869,16.3245
0.181632,0.005325,N1,package,0.3661,68.7481
0.181660,0.005342,N1,ram,0.0403,7.5351
0.186916,0.005392,N0,package,0.5275,97.8337
0.186947,0.005404,N0,ram,0.0775,14.3496
0.187055,0.005423,N1,package,0.3694,68.1249
0.187174,0.005514,N1,ram,0.0370,6.7022
0.192481,0.005565,N0,package,0.6163,110.7421
0.192543,0.005596,N0,ram,0.0884,15.7907
0.192893,0.005838,N1,package,0.5654,96.8442
0.192982,0.005808,N1,ram,0.0590,10.1649
0.198178,0.005697,N0,package,0.5282,92.7150
0.198232,0.005689,N0,ram,0.0765,13.4512
0.198317,0.005424,N1,package,0.3745,69.0356
0.198337,0.005355,N1,ram,0.0387,7.2317
0.203542,0.005364,N0,package,0.5254,97.9486
0.203572,0.005340,N0,ram,0.0782,14.6356
0.203827,0.005510,N1,package,0.3984,72.3136
0.203927,0.005590,N1,ram,0.0382,6.8324
0.209142,0.005600,N0,package,0.6497,116.0218
0.209154,0.005582,N0,ram,0.0914,16.3690
0.209238,0.005411,N1,package,0.5453,100.7712
0.209251,0.005324,N1,ram,0.0566,10.6304
0.214470,0.005328,N0,package,0.4678,87.7963
0.214568,0.005414,N0,ram,0.0806,14.8924
0.214669,0.005431,N1,package,0.3821,70.3525
0.214824,0.005573,N1,ram,0.0365,6.5492
0.220066,0.005596,N0,package,0.5801,103.6673
0.220098,0.005530,N0,ram,0.0713,12.8966
0.220184,0.005515,N1,package,0.3900,70.7176
0.220202,0.005378,N1,ram,0.0401,7.4648
0.225444,0.005378,N0,package,0.6188,115.0678
0.225459,0.005361,N0,ram,0.0858,16.0043
0.225562,0.005378,N1,package,0.3497,65.0186
0.225587,0.005385,N1,ram,0.0375,6.9650
0.230816,0.005372,N0,package,0.4962,92.3741
0.230934,0.005475,N0,ram,0.0713,13.0213
0.231038,0.005476,N1,package,0.5817,106.2208
0.231064,0.005477,N1,ram,0.0594,10.8510
0.236335,0.005519,N0,package,0.6096,110.4442
0.236484,0.005550,N0,ram,0.0863,15.5471
0.236568,0.005530,N1,package,0.3693,66.7759
0.236580,0.005516,N1,ram,0.0392,7.1123
0.241812,0.005477,N0,package,0.5254,95.9276
0.242134,0.005650,N0,ram,0.0736,13.0333
0.242332,0.005764,N1,package,0.4158,72.1324
0.242480,0.005900,N1,ram,0.0398,6.7473
0.247778,0.005966,N0,package,0.5883,98.6126
0.247915,0.005781,N0,ram,0.0855,14.7838
0.248046,0.005714,N1,package,0.5907,103.3785
0.248079,0.005599,N1,ram,0.0619,11.0618
0.253347,0.005569,N0,package,0.5896,105.8721
0.253394,0.005479,N0,ram,0.0856,15.6212
0.253497,0.005451,N1,package,0.3987,73.1397
0.253516,0.005437,N1,ram,0.0396,7.2745
0.258844,0.005497,N0,package,0.5679,103.3060
0.258954,0.005560,N0,ram,0.0815,14.6601
0.259076,0.005579,N1,package,0.3819,68.4526
0.259087,0.005571,N1,ram,0.0388,6.9623
0.264283,0.005439,N0,package,0.5383,98.9751
0.264446,0.005492,N0,ram,0.0779,14.1920
0.264535,0.005459,N1,package,0.3909,71.6111
0.264568,0.005481,N1,ram,0.0411,7.5055
0.269920,0.005637,N0,package,0.6021,106.8002
0.270053,0.005607,N0,ram,0.0879,15.6836
0.270191,0.005656,N1,package,0.5656,99.9914
0.270231,0.005663,N1,ram,0.0573,10.1260
0.275463,0.005543,N0,package,0.4826,87.0658
0.275671,0.005618,N0,ram,0.0684,12.1704
0.275791,0.005600,N1,package,0.3698,66.0381
0.275930,0.005699,N1,ram,0.0374,6.5598
0.281163,0.005700,N0,package,0.6464,113.3994
0.281203,0.005532,N0,ram,0.0931,16.8364
0.281299,0.005508,N1,package,0.3581,65.0111
0.281319,0.005389,N1,ram,0.0370,6.8663
0.286513,0.005350,N0,package,0.5792,108.2524
0.286529,0.005326,N0,ram,0.0827,15.5337
0.286621,0.005322,N1,package,0.5895,110.7743
0.286645,0.005326,N1,ram,0.0600,11.2707
0.292022,0.005509,N0,package,0.5701,103.4924
0.292150,0.005621,N0,ram,0.0850,15.1177
0.292258,0.005637,N1,package,0.3664,64.9989
0.292280,0.005635,N1,ram,0.0374,6.6369
0.297506,0.005484,N0,package,0.5076,92.5638
0.297576,0.005426,N0,ram,0.0814,15.0087
0.297847,0.005589,N1,package,0.3824,68.4174
0.297961,0.005681,N1,ram,0.0380,6.6852
0.303156,0.005650,N0,package,0.5790,102.4886
0.303177,0.005601,N0,ram,0.0702,12.5292
0.303271,0.005424,N1,package,0.5697,105.0331
0.303290,0.005329,N1,ram,0.0405,7.5909
0.308503,0.005347,N0,package,0.6096,113.9997
0.308542,0.005365,N0,ram,0.0862,16.0747
0.308762,0.005491,N1,package,0.4152,75.6073
0.308864,0.005574,N1,ram,0.0610,10.9468
0.314056,0.005553,N0,package,0.4977,89.6236
0.314081,0.005539,N0,ram,0.0710,12.8237
0.314165,0.005403,N1,package,0.3752,69.4392
0.314181,0.005317,N1,ram,0.0402,7.5563
0.319384,0.005328,N0,package,0.5792,108.7095
0.319420,0.005339,N0,ram,0.0826,15.4670
0.319509,0.005344,N1,package,0.4147,77.5972
0.319529,0.005348,N1,ram,0.0419,7.8406
0.324814,0.005430,N0,package,0.5723,105.3899
0.325023,0.005603,N0,ram,0.0828,14.7799
0.325132,0.005623,N1,package,0.3749,66.6811
0.325150,0.005621,N1,ram,0.0385,6.8544
0.330363,0.005549,N0,package,0.5341,96.2447
0.330519,0.005496,N0,ram,0.0688,12.5213
0.330606,0.005474,N1,package,0.5578,101.8983
0.330619,0.005469,N1,ram,0.0582,10.6383
0.335822,0.005459,N0,package,0.6141,112.4982
0.336071,0.005552,N0,ram,0.0808,14.5578
0.336186,0.005580,N1,package,0.3909,70.0489
0.336207,0.005588,N1,ram,0.0396,7.0862
0.341386,0.005564,N0,package,0.5645,101.4478
0.341406,0.005335,N0,ram,0.0788,14.7666
0.341494,0.005308,N1,package,0.3781,71.2210
0.341507,0.005300,N1,ram,0.0370,6.9902
0.346810,0.005424,N0,package,0.5241,96.6273
0.347010,0.005604,N0,ram,0.0723,12.8958
0.347108,0.005614,N1,package,0.5577,99.3514
0.347119,0.005612,N1,ram,0.0584,10.4134
0.352312,0.005502,N0,package,0.6425,116.7791
0.352473,0.005463,N0,ram,0.0900,16.4650
0.352558,0.005450,N1,package,0.3832,70.3079
0.352570,0.005451,N1,ram,0.0401,7.3509
0.357816,0.005504,N0,package,0.5124,93.0959
0.358006,0.005533,N0,ram,0.0708,12.7879
0.358113,0.005555,N1,package,0.3984,71.7130
0.358125,0.005555,N1,ram,0.0408,7.3370
0.363288,0.005472,N0,package,0.5876,107.3926
0.363464,0.005458,N0,ram,0.0839,15.3647
0.363549,0.005436,N1,package,0.3821,70.2989
0.363561,0.005436,N1,ram,0.0387,7.1270
0.368823,0.005535,N0,package,0.5436,98.2164
0.369024,0.005560,N0,ram,0.0757,13.6178
