#timestamp,interval,socket,domain,energy,power
0.005195,0.005541,N0,package,0.3350,60.4640
0.005541,0.005676,N0,ram,0.0442,7.7799
0.005652,0.005664,N1,package,0.2661,46.9843
0.005668,0.005668,N1,ram,0.0436,7.6860
0.010848,0.005653,N0,package,0.3198,56.5746
0.010864,0.005323,N0,ram,0.0405,7.6109
0.010956,0.005304,N1,package,0.2463,46.4429
0.010982,0.005314,N1,ram,0.0471,8.8639
0.016155,0.005307,N0,package,0.3472,65.4290
0.016170,0.005306,N0,ram,0.0436,8.2218
0.016449,0.005493,N1,package,0.1945,35.4126
0.016547,0.005565,N1,ram,0.0325,5.8459
0.021742,0.005587,N0,package,0.3962,70.9096
0.021760,0.005590,N0,ram,0.0531,9.4911
0.021837,0.005388,N1,package,0.3162,58.6900
0.021850,0.005303,N1,ram,0.0527,9.9469
0.027043,0.005301,N0,package,0.3203,60.4249
0.027061,0.005301,N0,ram,0.0417,7.8611
0.027150,0.005313,N1,package,0.2298,43.2526
0.027164,0.005314,N1,ram,0.0365,6.8772
0.032474,0.005431,N0,package,0.3408,62.7553
0.032632,0.005571,N0,ram,0.0394,7.0667
0.032731,0.005581,N1,package,0.2957,52.9847
0.032753,0.005589,N1,ram,0.0464,8.2969
0.037932,0.005458,N0,package,0.4951,90.7161
0.038065,0.005433,N0,ram,0.0511,9.4000
0.038159,0.005428,N1,package,0.2619,48.2516
0.038172,0.005419,N1,ram,0.0437,8.0672
0.043489,0.005557,N0,package,0.3757,67.6025
0.043608,0.005543,N0,ram,0.0377,6.8049
0.043707,0.005548,N1,package,0.2780,50.1109
0.043730,0.005558,N1,ram,0.0448,8.0631
0.048900,0.005411,N0,package,0.4418,81.6560
0.048913,0.005305,N0,ram,0.0459,8.6605
0.049001,0.005294,N1,package,0.2274,42.9568
0.049014,0.005284,N1,ram,0.0349,6.6042
0.054219,0.005319,N0,package,0.4308,80.9883
0.054232,0.005319,N0,ram,0.0459,8.6265
0.054570,0.005569,N1,package,0.3767,67.6441
0.054694,0.005680,N1,ram,0.0575,10.1307
0.059868,0.005649,N0,package,0.3829,67.7870
0.060051,0.005819,N0,ram,0.0425,7.3081
0.060139,0.005569,N1,package,0.2864,51.4345
0.060152,0.005458,N1,ram,0.0413,7.5649
0.065453,0.005585,N0,package,0.4666,83.5374
0.065563,0.005512,N0,ram,0.0807,14.6332
0.065662,0.005523,N1,package,0.3025,54.7695
0.065674,0.005522,N1,ram,0.0461,8.3534
0.070874,0.005421,N0,package,0.4748,87.5852
0.071050,0.005487,N0,ram,0.0653,11.9023
0.071138,0.005476,N1,package,0.2368,43.2463
0.071150,0.005476,N1,ram,0.0368,6.7210
0.076445,0.005571,N0,package,0.2641,47.4050
0.076564,0.005514,N0,ram,0.0329,5.9744
0.076684,0.005546,N1,package,0.2726,49.1487
0.076713,0.005563,N1,ram,0.0406,7.3071
0.081967,0.005522,N0,package,0.4122,74.6446
0.082145,0.005581,N0,ram,0.0440,7.8852
0.082233,0.005549,N1,package,0.3809,68.6362
0.082460,0.005747,N1,ram,0.0547,9.5214
0.087661,0.005694,N0,package,0.4428,77.7658
0.087838,0.005693,N0,ram,0.0487,8.5555
0.087942,0.005709,N1,package,0.2869,50.2485
0.087977,0.005517,N1,ram,0.0393,7.1163
0.093194,0.005533,N0,package,0.3983,71.9893
0.093208,0.005370,N0,ram,0.0464,8.6407
0.093468,0.005526,N1,package,0.2849,51.5579
0.093562,0.005585,N1,ram,0.0414,7.4095
0.098757,0.005563,N0,package,0.3585,64.4471
0.098975,0.005767,N0,ram,0.0435,7.5436
0.099064,0.005596,N1,package,0.4203,75.1061
0.099076,0.005514,N1,ram,0.0572,10.3687
0.104427,0.005670,N0,package,0.3706,65.3617
0.104545,0.005570,N0,ram,0.0436,7.8240
0.104668,0.005604,N1,package,0.2944,52.5396
0.104704,0.005628,N1,ram,0.0403,7.1524
0.109903,0.005476,N0,package,0.4505,82.2682
0.110082,0.005537,N0,ram,0.0486,8.7854
0.110184,0.005516,N1,package,0.2629,47.6680
0.110219,0.005515,N1,ram,0.0379,6.8781
0.115468,0.005565,N0,package,0.2649,47.6004
0.115586,0.005504,N0,ram,0.0349,6.3346
0.115709,0.005525,N1,package,0.4103,74.2570
0.115743,0.005524,N1,ram,0.0561,10.1543
0.120945,0.005477,N0,package,0.4863,88.7843
0.121119,0.005533,N0,ram,0.0546,9.8619
0.121207,0.005498,N1,package,0.2928,53.2538
0.121219,0.005476,N1,ram,0.0438,8.0000
0.126463,0.005518,N0,package,0.2943,53.3370
0.126581,0.005462,N0,ram,0.0367,6.7271
0.126699,0.005492,N1,package,0.2849,51.8779
0.126733,0.005514,N1,ram,0.0398,7.2252
0.131942,0.005479,N0,package,0.4772,87.0897
0.132083,0.005502,N0,ram,0.0521,9.4654
0.132170,0.005471,N1,package,0.2695,49.2655
0.132183,0.005450,N1,ram,0.0364,6.6831
0.137462,0.005520,N0,package,0.3405,61.6890
0.137581,0.005498,N0,ram,0.0398,7.2465
0.137699,0.005529,N1,package,0.4559,82.4521
0.137734,0.005551,N1,ram,0.0618,11.1413
0.142934,0.005472,N0,package,0.4358,79.6375
0.143111,0.005530,N0,ram,0.0473,8.5536
0.143213,0.005514,N1,package,0.2951,53.5178
0.143252,0.005518,N1,ram,0.0397,7.1925
0.148512,0.005578,N0,package,0.4344,77.8888
0.148618,0.005507,N0,ram,0.0485,8.8084
0.148711,0.005498,N1,package,0.2935,53.3759
0.148722,0.005470,N1,ram,0.0387,7.0686
0.153914,0.005402,N0,package,0.3522,65.1920
0.154093,0.005475,N0,ram,0.0397,7.2601
0.154198,0.005487,N1,package,0.3035,55.3069
0.154232,0.005510,N1,ram,0.0376,6.8317
0.159508,0.005594,N0,package,0.4512,80.6635
0.159620,0.005527,N0,ram,0.0463,8.3734
0.159713,0.005515,N1,package,0.4616,83.6991
0.159725,0.005493,N1,ram,0.0600,10.9227
0.164918,0.005410,N0,package,0.3901,72.1146
0.165099,0.005479,N0,ram,0.0413,7.5419
0.165199,0.005486,N1,package,0.3098,56.4735
0.165234,0.005509,N1,ram,0.0389,7.0656
0.170541,0.005623,N0,package,0.2903,51.6342
0.170647,0.005548,N0,ram,0.0345,6.2130
