index,package_cycles,dram_cycles,package_ms,dram_ms
1,2185170,2351254,0.993259091,1.068751818
2,2143167,2118363,0.974166818,0.962892273
3,2218532,2195989,1.008423636,0.998176818
4,2259373,2255989,1.026987727,1.025449545
5,2052754,2062859,0.93307,0.937663182
6,2229298,2278181,1.013317273,1.035536818
7,2220404,2254536,1.009274545,1.024789091
8,2248057,2145585,1.021844091,0.975265909
9,2236514,2135050,1.016597273,0.970477273
10,2139480,2232730,0.972490909,1.014877273
11,2194469,2228879,0.997485909,1.013126818
12,2237424,2155512,1.017010909,0.979778182
13,2141501,2287263,0.973409545,1.039665
14,2294627,2194465,1.043012273,0.997484091
15,2327670,2167055,1.058031818,0.985025
16,2062010,2219093,0.937277273,1.008678636
17,2257318,2094115,1.026053636,0.951870455
18,2054418,2252627,0.933826364,1.023921364
19,2163620,2231607,0.983463636,1.014366818
20,2359553,2215410,1.072524091,1.007004545
21,2164402,2290287,0.983819091,1.041039545
22,2142488,2050560,0.973858182,0.932072727
23,2335115,2189734,1.061415909,0.995333636
24,2156122,2236872,0.980055455,1.01676
25,2248664,2188827,1.02212,0.994921364
26,2182236,2211625,0.991925455,1.005284091
27,2196098,2228582,0.998226364,1.012991818
28,2062328,2264947,0.937421818,1.029521364
29,2371415,2140776,1.077915909,0.97308
30,2054275,2148724,0.933761364,0.976692727
31,2284189,2233436,1.038267727,1.015198182
32,2154097,2189202,0.979135,0.995091818
33,2247026,2252080,1.021375455,1.023672727
34,2244407,2143004,1.020185,0.974092727
35,2053513,2245207,0.933415,1.020548636
36,2367932,2293729,1.076332727,1.042604091
37,2213051,2055608,1.005932273,0.934367273
38,2029890,2247680,0.922677273,1.021672727
39,2258523,2232479,1.026601364,1.014763182
40,2199463,2205440,0.999755909,1.002472727
41,2216817,2059322,1.007644091,0.936055455
42,2223593,2268060,1.010724091,1.030936364
43,2235971,2132355,1.016350455,0.969252273
44,2179569,2357472,0.990713182,1.071578182
45,2198045,2139702,0.999111364,0.972591818
46,2203147,2224603,1.001430455,1.011183182
47,2173970,2184015,0.988168182,0.992734091
48,2201651,2169272,1.000750455,0.986032727
49,2277844,2266192,1.035383636,1.030087273
50,2219402,2224536,1.008819091,1.011152727
51,2174595,2058855,0.988452273,0.935843182
52,2089166,2383762,0.949620909,1.083528182
53,2247323,2225468,1.021510455,1.011576364
54,2158309,2185410,0.981049545,0.993368182
55,2407665,2195685,1.094393182,0.998038636
56,2004427,2234038,0.911103182,1.015471818
57,2212578,2065515,1.005717273,0.938870455
58,2322888,2200273,1.055858182,1.000124091
59,2180983,2222294,0.991355909,1.010133636
60,2184921,4380352,0.993145909,1.991069091
61,2156616,2267724,0.98028,1.030783636
62,2204953,2238295,1.002251364,1.017406818
63,2231856,2179435,1.01448,0.990652273
64,2150070,2131066,0.977304545,0.968666364
65,2168187,2243481,0.985539545,1.019764091
66,2193236,2061367,0.996925455,0.936985
67,2201250,2273510,1.000568182,1.033413636
68,2365112,2227923,1.075050909,1.012692273
69,2207401,2226691,1.003364091,1.012132273
70,2132811,2233246,0.969459545,1.015111818
71,2120770,2253200,0.963986364,1.024181818
72,2331748,2137456,1.059885455,0.971570909
73,2060753,2188764,0.936705909,0.994892727
74,2209665,2256426,1.004393182,1.025648182
75,2382054,2210745,1.082751818,1.004884091
76,1955387,2242581,0.888812273,1.019355
77,2400091,1983631,1.090950455,0.901650455
78,2042095,2374604,0.928225,1.079365455
79,2219736,2154920,1.008970909,0.979509091
80,2315529,2259224,1.052513182,1.02692
81,2105991,2198323,0.957268636,0.999237727
82,2275775,2160099,1.034443182,0.981863182
83,2056177,2204953,0.934625909,1.002251364
84,2400449,2223796,1.091113182,1.010816364
85,2054384,2154161,0.933810909,0.979164091
86,2338995,2180409,1.063179545,0.991095
87,2083415,2212779,0.947006818,1.005808636
88,2247523,2184533,1.021601364,0.992969545
89,2288900,2258899,1.040409091,1.026772273
90,2059602,2254408,0.936182727,1.024730909
91,2260817,2055926,1.027644091,0.934511818
92,2279261,2306225,1.036027727,1.048284091
93,2198191,2248588,0.999177727,1.022085455
94,2017728,2198717,0.917149091,0.999416818
95,2325691,2108871,1.057132273,0.958577727
96,2182758,2206097,0.992162727,1.002771364
97,2187598,2209680,0.994362727,1.0044
98,2297629,2175815,1.044376818,0.989006818
99,2170550,2159034,0.986613636,0.981379091
100,2173606,2410715,0.988002727,1.095779545
101,2215655,2157292,1.007115909,0.980587273
102,2083807,2185183,0.947185,0.993265
103,2303533,2071350,1.047060455,0.941522727
104,2151327,2269472,0.977875909,1.031578182
105,2376649,2174910,1.080295,0.988595455
106,2129118,2163650,0.967780909,0.983477273
107,2179235,2184033,0.990561364,0.992742273
108,2112085,2272287,0.960038636,1.032857727
109,2293872,2185808,1.042669091,0.993549091
110,2116281,2161744,0.961945909,0.982610909
111,2204091,2211689,1.001859545,1.005313182
112,2235713,2254940,1.016233182,1.024972727
113,2208863,2140621,1.004028636,0.973009545
114,2193321,2262601,0.996964091,1.028455
115,2343735,2207277,1.065334091,1.003307727
116,2047001,2274314,0.930455,1.033779091
117,2174893,2046061,0.988587727,0.930027727
118,2200085,2294910,1.000038636,1.043140909
119,2244692,2143479,1.020314545,0.974308636
120,2225313,2266999,1.011505909,1.030454091
121,2147813,2085024,0.976278636,0.947738182
122,2178164,2240686,0.990074545,1.018493636
123,2233708,2323064,1.015321818,1.055938182
124,2202148,2200151,1.000976364,1.000068636
125,2230026,2195685,1.013648182,0.998038636
126,2188187,2217910,0.994630455,1.008140909
127,2206861,2192832,1.003118636,0.996741818
128,2231146,2195873,1.014157273,0.998124091
129,2209559,2220863,1.004345,1.009483182
130,2057959,1998801,0.935435909,0.908545909
131,2363668,2233046,1.074394545,1.015020909
132,2037712,2233770,0.926232727,1.01535
133,2255990,2230100,1.02545,1.013681818
134,2210323,2271016,1.004692273,1.03228
135,2257258,2101385,1.026026364,0.955175
136,2236532,2268221,1.016605455,1.031009545
137,2089186,2241157,0.94963,1.018707727
138,2400061,2214532,1.090936818,1.006605455
139,2015254,2150438,0.916024545,0.977471818
140,2242996,2224731,1.019543636,1.011241364
141,2192274,2161113,0.996488182,0.982324091
142,2242152,2247159,1.01916,1.021435909
143,2239664,2208384,1.018029091,1.003810909
144,2080387,2188099,0.945630455,0.994590455
145,2358415,2040756,1.072006818,0.927616364
146,2144505,2310046,0.974775,1.050020909
147,2210378,2247444,1.004717273,1.021565455
148,2209589,2228567,1.004358636,1.012985
149,2144949,2216510,0.974976818,1.007504545
150,2150856,2127385,0.977661818,0.966993182
151,2295004,2234836,1.043183636,1.015834545
152,2223004,2205392,1.010456364,1.002450909
153,2190287,2222191,0.995585,1.010086818
154,2198580,2232345,0.999354545,1.014702273
155,2241809,2090528,1.019004091,0.95024
156,2172271,2291650,0.987395909,1.041659091
157,2212165,2177800,1.005529545,0.989909091
158,2188454,2255085,0.994751818,1.025038636
159,2131202,2081446,0.968728182,0.946111818
160,2111818,2346990,0.959917273,1.066813636
161,2368013,2061367,1.076369545,0.936985
162,2144603,2211233,0.974819545,1.005105909
163,2239645,2181484,1.018020455,0.991583636
164,2112137,2286804,0.960062273,1.039456364
165,2225444,2245867,1.011565455,1.020848636
166,2369679,2065639,1.077126818,0.938926818
167,1959211,2284619,0.890550455,1.038463182
168,2261372,2135454,1.027896364,0.970660909
169,2198880,2182039,0.999490909,0.991835909
170,2207244,2210985,1.003292727,1.004993182
171,2180567,2275828,0.991166818,1.034467273
172,2372346,2139608,1.078339091,0.972549091
173,2145195,2203960,0.975088636,1.0018
174,2174015,2268849,0.988188636,1.031295
175,2173224,2240138,0.987829091,1.018244545
176,2229926,2073480,1.013602727,0.942490909
177,2119923,2280089,0.963601364,1.036404091
178,2196435,2134749,0.998379545,0.970340455
179,2355584,2189274,1.07072,0.995124545
180,2193767,2138554,0.997166818,0.97207
181,2149118,2264164,0.976871818,1.029165455
182,2149615,2206078,0.977097727,1.002762727
183,2169770,2219227,0.986259091,1.008739545
184,2334483,2210169,1.061128636,1.004622273
185,2111038,2260808,0.959562727,1.02764
186,2311681,4305530,1.050764091,1.957059091
187,2202694,2274603,1.001224545,1.033910455
188,2132626,2165024,0.969375455,0.984101818
189,2148945,2320266,0.976793182,1.054666364
190,2275825,2148596,1.034465909,0.976634545
191,2221227,2094057,1.009648636,0.951844091
192,2149730,2244580,0.97715,1.020263636
193,2212706,2193694,1.005775455,0.997133636
194,2132947,2277604,0.969521364,1.035274545
195,2179113,2097589,0.990505909,0.953449545
196,2412102,2214872,1.09641,1.00676
197,2023893,2138057,0.919951364,0.971844091
198,2174499,2326329,0.988408636,1.057422273
199,2205437,2177420,1.002471364,0.989736364
200,2199724,2107609,0.999874545,0.958004091
201,2215091,2288804,1.006859545,1.040365455
202,2349357,2215670,1.067889545,1.007122727
203,2060939,2224989,0.936790455,1.011358636
204,2232162,2118518,1.014619091,0.962962727
205,2153752,2240784,0.978978182,1.018538182
206,2261764,2162032,1.028074545,0.982741818
207,2209173,2166921,1.004169545,0.984964091
208,2153123,2304496,0.978692273,1.047498182
209,2215955,2202631,1.007252273,1.001195909
210,2154693,2258037,0.979405909,1.026380455
211,2306203,2042444,1.048274091,0.928383636
212,2130274,2298700,0.968306364,1.044863636
213,2172587,2090961,0.987539545,0.950436818
214,2217153,2292579,1.007796818,1.042081364
215,2207520,2235771,1.003418182,1.016259545
216,2275601,2263157,1.034364091,1.028707727
217,2163192,2138682,0.983269091,0.972128182
218,2152437,2175575,0.978380455,0.988897727
219,2236284,2198544,1.016492727,0.999338182
220,2171108,2226306,0.986867273,1.011957273
221,2346636,2295240,1.066652727,1.043290909
222,2034493,1993173,0.924769545,0.905987727
223,2227465,2282944,1.012484091,1.037701818
224,2209820,2190596,1.004463636,0.995725455
225,2201696,2185350,1.000770909,0.993340909
226,2228375,2197891,1.012897727,0.999041364
227,2219339,2364599,1.008790455,1.074817727
228,2198088,2178198,0.999130909,0.99009
229,2182922,2008448,0.992237273,0.912930909
230,2205535,2352018,1.002515909,1.069099091
231,2306168,2204840,1.048258182,1.0022
232,2089220,2260939,0.949645455,1.027699545
233,2178373,2185974,0.990169545,0.993624545
234,2216146,2205320,1.007339091,1.002418182
235,2136501,2181068,0.971136818,0.991394545
236,2310158,2170441,1.050071818,0.986564091
237,2190092,2198376,0.995496364,0.999261818
238,2176091,2207820,0.989132273,1.003554545
239,2210755,2262750,1.004888636,1.028522727
240,2186393,2000608,0.993815,0.909367273
241,2185884,2409937,0.993583636,1.095425909
242,2198100,2037155,0.999136364,0.925979545
243,2318281,2205328,1.053764091,1.002421818
244,2270940,2157527,1.032245455,0.980694091
245,2026561,2381971,0.921164091,1.082714091
246,2136640,2063992,0.9712,0.938178182
247,2265175,2254165,1.029625,1.024620455
248,2218070,2176586,1.008213636,0.989357273
249,2210630,2240140,1.004831818,1.018245455
250,2156461,2319407,0.980209545,1.054275909
251,2315833,2110189,1.052651364,0.959176818
252,2223271,2104040,1.010577727,0.956381818
253,2025982,2330316,0.920900909,1.059234545
254,2274581,2148666,1.033900455,0.976666364
255,2181663,2199020,0.991665,0.999554545
256,2221654,2217967,1.009842727,1.008166818
257,2308367,2237090,1.049257727,1.016859091
258,2219985,2121817,1.009084091,0.964462273
259,2024346,2276566,0.920157273,1.034802727
260,2166776,2254945,0.984898182,1.024975
261,2372461,2160686,1.078391364,0.98213
262,2168469,2178427,0.985667727,0.990194091
263,2165507,2198450,0.984321364,0.999295455
264,2177053,2260289,0.989569545,1.027404091
265,2176641,2049119,0.989382273,0.931417727
266,2213443,2326699,1.006110455,1.057590455
267,2180840,2215370,0.991290909,1.006986364
268,2199824,2085660,0.99992,0.948027273
269,2215931,2218917,1.007241364,1.008598636
270,2296767,2156662,1.043985,0.980300909
271,2240516,2240331,1.018416364,1.018332273
272,2146126,2262174,0.975511818,1.028260909
273,2172046,2143847,0.987293636,0.974475909
274,2229122,4459309,1.013237273,2.026958636
275,2248157,2137359,1.021889545,0.971526818
276,2224965,2319968,1.011347727,1.054530909
277,2167128,2179171,0.985058182,0.990532273
278,2165859,2158910,0.984481364,0.981322727
279,2274162,2245639,1.03371,1.020745
280,2201378,2120184,1.000626364,0.96372
281,2213391,2207131,1.006086818,1.003241364
282,2061761,2166436,0.937164091,0.984743636
283,2224680,2252876,1.011218182,1.024034545
284,2199150,2291368,0.999613636,1.041530909
285,2189385,1995348,0.995175,0.906976364
286,2416353,2401754,1.098342273,1.091706364
287,1957457,2205462,0.889753182,1.002482727
288,2362942,2050476,1.074064545,0.932034545
289,2148539,2252220,0.976608636,1.023736364
290,2196428,2230676,0.998376364,1.013943636
291,2244853,2144973,1.020387727,0.974987727
292,2038495,2138976,0.926588636,0.972261818
293,2252485,2243533,1.023856818,1.019787727
294,2226916,2199041,1.012234545,0.999564091
295,2188356,2308261,0.994707273,1.049209545
296,2194056,2105597,0.997298182,0.957089545
297,2219933,2310395,1.009060455,1.050179545
298,2186864,2136767,0.994029091,0.971257727
299,2267469,2209680,1.030667727,1.0044
300,2240474,2100369,1.018397273,0.954713182
301,2156324,2396019,0.980147273,1.089099545
302,2182737,2171063,0.992153182,0.986846818
303,2152489,2236426,0.978404091,1.016557273
304,2236863,2061111,1.016755909,0.936868636
305,2262596,2337799,1.028452727,1.062635909
306,2168611,2196662,0.985732273,0.998482727
307,2249996,2065482,1.022725455,0.938855455
308,2187692,2203602,0.994405455,1.001637273
309,2169953,2287308,0.986342273,1.039685455
310,2176786,2201927,0.989448182,1.000875909
311,2157969,2043014,0.980895,0.928642727
312,2330783,2249498,1.059446818,1.022499091
313,2151522,2226673,0.977964545,1.012124091
314,2148055,2247611,0.976388636,1.021641364
315,2170435,2214696,0.986561364,1.00668
316,2198659,2146976,0.999390455,0.975898182
317,2357377,2220449,1.071535,1.009295
318,2125716,2123810,0.966234545,0.965368182
319,2259956,2362112,1.027252727,1.073687273
320,2189088,2040031,0.99504,0.927286818
321,2195757,2251544,0.998071364,1.023429091
322,2131257,2206584,0.968753182,1.002992727
323,2161280,2221054,0.9824,1.00957
324,2179593,2197639,0.990724091,0.998926818
325,2359648,2305105,1.072567273,1.047775
326,2008493,2066328,0.912951364,0.93924
327,2234326,2292479,1.015602727,1.042035909
328,2362327,2240571,1.073785,1.018441364
329,2151746,2209358,0.978066364,1.004253636
330,2164690,2065840,0.98395,0.939018182
331,2178641,2255234,0.990291364,1.025106364
332,2202206,2189218,1.001002727,0.995099091
333,2248388,2214262,1.021994545,1.006482727
334,2240009,2167653,1.018185909,0.985296818
335,2202182,2341500,1.000991818,1.064318182
336,2152471,2221011,0.978395909,1.009550455
337,2172423,2199226,0.987465,0.999648182
338,2231825,2035707,1.014465909,0.925321364
339,2229896,2332016,1.013589091,1.060007273
340,2226910,2109387,1.012231818,0.958812273
341,2194504,2213242,0.997501818,1.006019091
342,2192487,2147370,0.996585,0.976077273
343,2216423,2196717,1.007465,0.998507727
344,2152058,2199615,0.978208182,0.999825
345,2225693,2242549,1.011678636,1.019340455
346,2274812,2189810,1.034005455,0.995368182
347,2175697,2205547,0.988953182,1.002521364
348,2149803,2219048,0.977183182,1.008658182
349,2231346,2118205,1.014248182,0.962820455
350,2061182,2246131,0.936900909,1.020968636
351,2212678,2162144,1.005762727,0.982792727
352,2216823,2401423,1.007646818,1.091555909
353,2229577,2183362,1.013444091,0.992437273
354,2328016,2180895,1.058189091,0.991315909
355,1991470,2198301,0.905213636,0.999227727
356,2290018,2195463,1.040917273,0.997937727
357,2200786,2240028,1.000357273,1.018194545
358,2200170,2159906,1.000077273,0.981775455
359,2181211,2247996,0.991459545,1.021816364
360,2280007,2138916,1.036366818,0.972234545
361,2173873,2200658,0.988124091,1.000299091
362,2204106,2241099,1.001866364,1.018681364
363,2198173,2216462,0.999169545,1.007482727
364,2220728,2208630,1.009421818,1.003922727
365,2193161,2203872,0.996891364,1.00176
366,2187267,2204124,0.994212273,1.001874545
367,2173600,2210569,0.988,1.004804091
368,2162430,2158589,0.982922727,0.981176818
369,2365473,2163286,1.075215,0.983311818
370,2038554,2275604,0.926615455,1.034365455
371,2249935,2028573,1.022697727,0.922078636
372,2213246,2220349,1.006020909,1.009249545
373,2208405,2253046,1.003820455,1.024111818
374,2310747,2214832,1.050339545,1.006741818
375,2182667,2260074,0.992121364,1.027306364
376,2200534,2198719,1.000242727,0.999417727
377,2190675,2212812,0.995761364,1.005823636
378,2105485,2218759,0.957038636,1.008526818
379,2189237,2138516,0.995107727,0.972052727
380,2163753,2217499,0.983524091,1.007954091
381,2230918,2154061,1.014053636,0.979118636
382,2237084,2161778,1.016856364,0.982626364
