index,package_cycles,dram_cycles,package_ms,dram_ms
1,1648568,1679376,0.824284,0.839688
2,1805092,1726742,0.902546,0.863371
3,1556084,1890028,0.778042,0.945014
4,2012334,1616640,1.006167,0.80832
5,1899910,3240940,0.949955,1.62047
6,1746930,1641898,0.873465,0.820949
7,1823350,1616850,0.911675,0.808425
8,1606076,1747530,0.803038,0.873765
9,1720968,2985572,0.860484,1.492786
10,1740148,1761996,0.870074,0.880998
11,1744964,1773536,0.872482,0.886768
12,1506120,1489242,0.75306,0.744621
13,1781276,1705156,0.890638,0.852578
14,1823480,2805660,0.91174,1.40283
15,1819118,1903922,0.909559,0.951961
16,1551580,1769516,0.77579,0.884758
17,1679176,1754402,0.839588,0.877201
18,1434196,1663570,0.717098,0.831785
19,1479430,2976188,0.739715,1.488094
20,2816730,1725560,1.408365,0.86278
21,1679924,1520408,0.839962,0.760204
22,1554444,2689460,0.777222,1.34473
23,2860816,1497814,1.430408,0.748907
24,1593416,1574800,0.796708,0.7874
25,1748686,2849950,0.874343,1.424975
26,1726854,1466406,0.863427,0.733203
27,2952960,2651290,1.47648,1.325645
28,1646374,1574686,0.823187,0.787343
29,1500292,1496724,0.750146,0.748362
30,2560666,2865060,1.280333,1.43253
31,1747754,1666836,0.873877,0.833418
32,1528660,1737882,0.76433,0.868941
33,2615848,2639586,1.307924,1.319793
34,1487252,1797452,0.743626,0.898726
35,2858568,1647938,1.429284,0.823969
36,1555360,2591160,0.77768,1.29558
37,1622264,1660240,0.811132,0.83012
38,2899970,1460552,1.449985,0.730276
39,1322706,2656546,0.661353,1.328273
40,1808774,1757550,0.904387,0.878775
41,2688742,1584576,1.344371,0.792288
42,1537392,2626746,0.768696,1.313373
43,1515262,1716452,0.757631,0.858226
44,2799020,2489142,1.39951,1.244571
45,1787920,1592742,0.89396,0.796371
46,1753240,1498426,0.87662,0.749213
47,2752388,2709900,1.376194,1.35495
48,1554988,1467926,0.777494,0.733963
49,1896992,2674408,0.948496,1.337204
50,1645172,1616892,0.822586,0.808446
51,2864700,2846068,1.43235,1.423034
52,1689556,1249044,0.844778,0.624522
53,2111550,1408968,1.055775,0.704484
54,1804690,2576464,0.902345,1.288232
55,1511212,1531226,0.755606,0.765613
56,2775006,2551854,1.387503,1.275927
57,1531052,1580910,0.765526,0.790455
58,1550974,2709424,0.775487,1.354712
59,2880116,1534040,1.440058,0.76702
60,1560058,1771972,0.780029,0.885986
61,1728528,2991826,0.864264,1.495913
62,2712260,1888676,1.35613,0.944338
63,1410396,1779214,0.705198,0.889607
64,2655308,1905762,1.327654,0.952881
65,1643510,1822226,0.821755,0.911113
66,1634946,1625642,0.817473,0.812821
67,3305764,2820824,1.652882,1.410412
68,1541286,1599284,0.770643,0.799642
69,1746276,1784734,0.873138,0.892367
70,1945532,1763034,0.972766,0.881517
71,1870382,3128072,0.935191,1.564036
72,1769178,1838404,0.884589,0.919202
73,2187320,1977032,1.09366,0.988516
